"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"19213.955","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","19222","0.0-0.0","jcp60qol","","","","","","","",""
"134936.675","","","instructions","1","154161","0.0-1.0","jcp60qol","[{""page_index"":0,""viewing_time"":134936.53}]","","","","","","",""
"16472.86500000002","","","instructions","2","170635","0.0-2.0","jcp60qol","[{""page_index"":0,""viewing_time"":1777.0500000000175},{""page_index"":1,""viewing_time"":6730.75},{""page_index"":2,""viewing_time"":7964.944999999978}]","","","","","","",""
"2641.1749999999884","","","instructions","3","173276","0.0-3.0","jcp60qol","[{""page_index"":0,""viewing_time"":2641.0750000000116}]","","","","","","",""
"null","","","video-keyboard-response","4","176353","0.0-4.0","jcp60qol","","","null","","","","",""
"18691.07500000001","","","instructions","5","195045","0.0-5.0","jcp60qol","[{""page_index"":0,""viewing_time"":5298.130000000005},{""page_index"":1,""viewing_time"":3539.0899999999965},{""page_index"":2,""viewing_time"":1191.640000000014},{""page_index"":3,""viewing_time"":2675.095000000001},{""page_index"":4,""viewing_time"":5986.994999999995}]","","","","","","",""
"4177.475000000006","","","instructions","6","199223","0.0-6.0","jcp60qol","[{""page_index"":0,""viewing_time"":4177.350000000006}]","","","","","","",""
"","","","call-function","7","199223","0.0-7.0","jcp60qol","","","","","","","",""
"null","","","html-keyboard-response","8","200725","0.0-8.0","jcp60qol","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","203798","0.0-9.0","jcp60qol","","","null","","Agent A","veridical","STIM_SET_1/497950.bmp_pp151_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","205300","0.0-10.0","jcp60qol","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","208372","0.0-11.0","jcp60qol","","","null","","Agent B","scrambled","STIM_SET_1/497950.bmp_pp151_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","208372","0.0-12.0","jcp60qol","","","","","","","",""
"2391.540000000008","{""judgement"":0}","[0]","survey-likert","13","210765","0.0-13.0","jcp60qol","","","","","","","","0"
"4845.504999999976","{""confidence"":3}","[0]","survey-likert","14","215612","0.0-14.0","jcp60qol","","","","","","","",""
"","","","call-function","15","215612","0.0-15.0","jcp60qol","","","","","","","",""
"null","","","html-keyboard-response","16","217116","0.0-16.0","jcp60qol","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","220189","0.0-17.0","jcp60qol","","","null","","Agent A","scrambled","STIM_SET_1/713089.bmp_pp60_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","221694","0.0-18.0","jcp60qol","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","224764","0.0-19.0","jcp60qol","","","null","","Agent B","veridical","STIM_SET_1/713089.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","20","224764","0.0-20.0","jcp60qol","","","","","","","",""
"3008.470000000001","{""judgement"":1}","[0]","survey-likert","21","227775","0.0-21.0","jcp60qol","","","","","","","","1"
"3776.1449999999895","{""confidence"":2}","[0]","survey-likert","22","231552","0.0-22.0","jcp60qol","","","","","","","",""
"","","","call-function","23","231552","0.0-23.0","jcp60qol","","","","","","","",""
"null","","","html-keyboard-response","24","233054","0.0-24.0","jcp60qol","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","236173","0.0-25.0","jcp60qol","","","null","","Agent A","scrambled","STIM_SET_1/285751.bmp_pp55_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","237678","0.0-26.0","jcp60qol","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","240754","0.0-27.0","jcp60qol","","","null","","Agent B","veridical","STIM_SET_1/285751.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","240755","0.0-28.0","jcp60qol","","","","","","","",""
"4488.375","{""judgement"":1}","[0]","survey-likert","29","245244","0.0-29.0","jcp60qol","","","","","","","","1"
"1845.0500000000175","{""confidence"":1}","[0]","survey-likert","30","247090","0.0-30.0","jcp60qol","","","","","","","",""
"","","","call-function","31","247091","0.0-31.0","jcp60qol","","","","","","","",""
