"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"23519.204999999998","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","23540","0.0-0.0","jd44aya5","","","","","","","",""
"13130.145","","","instructions","1","36673","0.0-1.0","jd44aya5","[{""page_index"":0,""viewing_time"":13129.969999999998}]","","","","","","",""
"14703.46","","","instructions","2","51378","0.0-2.0","jd44aya5","[{""page_index"":0,""viewing_time"":2732.290000000001},{""page_index"":1,""viewing_time"":8458.059999999998},{""page_index"":2,""viewing_time"":3512.9749999999985}]","","","","","","",""
"1322.6200000000026","","","instructions","3","52703","0.0-3.0","jd44aya5","[{""page_index"":0,""viewing_time"":1322.510000000002}]","","","","","","",""
"null","","","video-keyboard-response","4","55783","0.0-4.0","jd44aya5","","","null","","","","",""
"15131.204999999994","","","instructions","5","70915","0.0-5.0","jd44aya5","[{""page_index"":0,""viewing_time"":2705.0699999999997},{""page_index"":1,""viewing_time"":2435.0250000000015},{""page_index"":2,""viewing_time"":1491.8799999999974},{""page_index"":3,""viewing_time"":3792.1199999999953},{""page_index"":4,""viewing_time"":4706.975000000006}]","","","","","","",""
"5157.565000000002","","","instructions","6","76075","0.0-6.0","jd44aya5","[{""page_index"":0,""viewing_time"":5157.429999999993}]","","","","","","",""
"","","","call-function","7","76076","0.0-7.0","jd44aya5","","","","","","","",""
"null","","","html-keyboard-response","8","77580","0.0-8.0","jd44aya5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","80437","0.0-9.0","jd44aya5","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1591961.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","81942","0.0-10.0","jd44aya5","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","84794","0.0-11.0","jd44aya5","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1591961.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","84796","0.0-12.0","jd44aya5","","","","","","","",""
"2869.3650000000052","{""judgement"":0}","[0]","survey-likert","13","87667","0.0-13.0","jd44aya5","","","","","","","","1"
"1633.520000000004","{""confidence"":2}","[0]","survey-likert","14","89303","0.0-14.0","jd44aya5","","","","","","","",""
"","","","call-function","15","89304","0.0-15.0","jd44aya5","","","","","","","",""
"null","","","html-keyboard-response","16","90807","0.0-16.0","jd44aya5","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
