"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"14370.52","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","14380","0.0-0.0","k61ukkxc","","","","","","","",""
"1765866.275","","","instructions","1","1780253","0.0-1.0","k61ukkxc","[{""page_index"":0,""viewing_time"":1765866.055}]","","","","","","",""
"25243.27000000002","","","instructions","2","1805498","0.0-2.0","k61ukkxc","[{""page_index"":0,""viewing_time"":1473.7849999999162},{""page_index"":1,""viewing_time"":12112.370000000112},{""page_index"":2,""viewing_time"":11656.98999999999}]","","","","","","",""
"3469.310000000056","","","instructions","3","1808969","0.0-3.0","k61ukkxc","[{""page_index"":0,""viewing_time"":3469.1999999999534}]","","","","","","",""
"null","","","video-keyboard-response","4","1812048","0.0-4.0","k61ukkxc","","","null","","","","",""
"30380.25","","","instructions","5","1842430","0.0-5.0","k61ukkxc","[{""page_index"":0,""viewing_time"":3409.219999999972},{""page_index"":1,""viewing_time"":3257.8799999998882},{""page_index"":2,""viewing_time"":1246.0900000000838},{""page_index"":3,""viewing_time"":5393.050000000047},{""page_index"":4,""viewing_time"":17073.87999999989}]","","","","","","",""
"4895.239999999991","","","instructions","6","1847326","0.0-6.0","k61ukkxc","[{""page_index"":0,""viewing_time"":4895.10999999987}]","","","","","","",""
"","","","call-function","7","1847327","0.0-7.0","k61ukkxc","","","","","","","",""
"null","","","html-keyboard-response","8","1848830","0.0-8.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","1851908","0.0-9.0","k61ukkxc","","","null","","Agent A","veridical","STIM_SET_1_REAL/61537.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","1853413","0.0-10.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","1856508","0.0-11.0","k61ukkxc","","","null","","Agent B","scrambled","STIM_SET_3/713770.bmp_pp89_L1_V2_veridical_freeview_isoFalsemismatch_61537.bmp_L3_fps90.mp4",""
"","","","call-function","12","1856510","0.0-12.0","k61ukkxc","","","","","","","",""
"8319.429999999935","{""judgement"":0}","[0]","survey-likert","13","1864830","0.0-13.0","k61ukkxc","","","","","","","","0"
"5240.5800000000745","{""confidence"":0}","[0]","survey-likert","14","1870073","0.0-14.0","k61ukkxc","","","","","","","",""
"","","","call-function","15","1870074","0.0-15.0","k61ukkxc","","","","","","","",""
"null","","","html-keyboard-response","16","1871579","0.0-16.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","1874660","0.0-17.0","k61ukkxc","","","null","","Agent A","veridical","STIM_SET_1_REAL/712977.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","1876167","0.0-18.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","1879232","0.0-19.0","k61ukkxc","","","null","","Agent B","scrambled","STIM_SET_3/1592951.bmp_pp80_L3_V2_veridical_freeview_isoFalsemismatch_712977.bmp_L1_fps90.mp4",""
"","","","call-function","20","1879233","0.0-20.0","k61ukkxc","","","","","","","",""
"17737.13500000001","{""judgement"":0}","[0]","survey-likert","21","1896972","0.0-21.0","k61ukkxc","","","","","","","","0"
"1801.9199999999255","{""confidence"":0}","[0]","survey-likert","22","1898776","0.0-22.0","k61ukkxc","","","","","","","",""
"","","","call-function","23","1898777","0.0-23.0","k61ukkxc","","","","","","","",""
"null","","","html-keyboard-response","24","1900278","0.0-24.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","1903366","0.0-25.0","k61ukkxc","","","null","","Agent A","veridical","STIM_SET_1_REAL/1159572.bmp_pp71_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","1904868","0.0-26.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","1907971","0.0-27.0","k61ukkxc","","","null","","Agent B","scrambled","STIM_SET_3/713381.bmp_pp82_L2_V2_veridical_freeview_isoFalsemismatch_1159572.bmp_L1_fps90.mp4",""
"","","","call-function","28","1907972","0.0-28.0","k61ukkxc","","","","","","","",""
"2619.494999999879","{""judgement"":0}","[0]","survey-likert","29","1910592","0.0-29.0","k61ukkxc","","","","","","","","0"
"2681.5049999998882","{""confidence"":2}","[0]","survey-likert","30","1913275","0.0-30.0","k61ukkxc","","","","","","","",""
"","","","call-function","31","1913276","0.0-31.0","k61ukkxc","","","","","","","",""
"null","","","html-keyboard-response","32","1914781","0.0-32.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","1917866","0.0-33.0","k61ukkxc","","","null","","Agent A","veridical","STIM_SET_1_REAL/1593041.bmp_pp58_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","1919370","0.0-34.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","1922447","0.0-35.0","k61ukkxc","","","null","","Agent B","scrambled","STIM_SET_3/1591781.bmp_pp63_L1_V2_veridical_freeview_isoFalsemismatch_1593041.bmp_L1_fps90.mp4",""
"","","","call-function","36","1922448","0.0-36.0","k61ukkxc","","","","","","","",""
"5161.039999999804","{""judgement"":0}","[0]","survey-likert","37","1927610","0.0-37.0","k61ukkxc","","","","","","","","0"
"2860.3600000001024","{""confidence"":1}","[0]","survey-likert","38","1930472","0.0-38.0","k61ukkxc","","","","","","","",""
"","","","call-function","39","1930473","0.0-39.0","k61ukkxc","","","","","","","",""
"null","","","html-keyboard-response","40","1931978","0.0-40.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","1935087","0.0-41.0","k61ukkxc","","","null","","Agent A","veridical","STIM_SET_1_REAL/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","1936592","0.0-42.0","k61ukkxc","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
