"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"8154.265000000001","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","8162","0.0-0.0","ka742usk","","","","","","","",""
"16995.94","","","instructions","1","25160","0.0-1.0","ka742usk","[{""page_index"":0,""viewing_time"":16995.39}]","","","","","","",""
"12284.015","","","instructions","2","37445","0.0-2.0","ka742usk","[{""page_index"":0,""viewing_time"":742.9400000000023},{""page_index"":1,""viewing_time"":6845.940000000002},{""page_index"":2,""viewing_time"":4695.014999999999}]","","","","","","",""
"1765.0400000000009","","","instructions","3","39211","0.0-3.0","ka742usk","[{""page_index"":0,""viewing_time"":1764.935000000005}]","","","","","","",""
"null","","","video-keyboard-response","4","42285","0.0-4.0","ka742usk","","","null","","","","",""
"14735.845000000001","","","instructions","5","57022","0.0-5.0","ka742usk","[{""page_index"":0,""viewing_time"":3174.760000000002},{""page_index"":1,""viewing_time"":2572.8699999999953},{""page_index"":2,""viewing_time"":1289.0149999999994},{""page_index"":3,""viewing_time"":5156.955000000002},{""page_index"":4,""viewing_time"":2542.1200000000026}]","","","","","","",""
"2195.7750000000015","","","instructions","6","59218","0.0-6.0","ka742usk","[{""page_index"":0,""viewing_time"":2195.6500000000015}]","","","","","","",""
"","","","call-function","7","59218","0.0-7.0","ka742usk","","","","","","","",""
"null","","","html-keyboard-response","8","60724","0.0-8.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","63807","0.0-9.0","ka742usk","","","null","","Agent A","veridical","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","65310","0.0-10.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","68392","0.0-11.0","ka742usk","","","null","","Agent B","scrambled","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","68393","0.0-12.0","ka742usk","","","","","","","",""
"1849.8999999999942","{""judgement"":0}","[0]","survey-likert","13","70244","0.0-13.0","ka742usk","","","","","","","","0"
"1664.4850000000006","{""confidence"":3}","[0]","survey-likert","14","71910","0.0-14.0","ka742usk","","","","","","","",""
"","","","call-function","15","71910","0.0-15.0","ka742usk","","","","","","","",""
"null","","","html-keyboard-response","16","73414","0.0-16.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","76490","0.0-17.0","ka742usk","","","null","","Agent A","veridical","STIM_SET_1/498111.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","77996","0.0-18.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","81102","0.0-19.0","ka742usk","","","null","","Agent B","scrambled","STIM_SET_1/498111.bmp_pp88_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","81102","0.0-20.0","ka742usk","","","","","","","",""
"2360.0350000000035","{""judgement"":1}","[0]","survey-likert","21","83464","0.0-21.0","ka742usk","","","","","","","","0"
"2909.1149999999907","{""confidence"":3}","[0]","survey-likert","22","86374","0.0-22.0","ka742usk","","","","","","","",""
"","","","call-function","23","86374","0.0-23.0","ka742usk","","","","","","","",""
"null","","","html-keyboard-response","24","87879","0.0-24.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","90992","0.0-25.0","ka742usk","","","null","","Agent A","veridical","STIM_SET_1/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","92494","0.0-26.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","95606","0.0-27.0","ka742usk","","","null","","Agent B","scrambled","STIM_SET_1/1592362.bmp_pp95_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","28","95607","0.0-28.0","ka742usk","","","","","","","",""
"2050.3499999999913","{""judgement"":1}","[0]","survey-likert","29","97658","0.0-29.0","ka742usk","","","","","","","","0"
"1218.7649999999994","{""confidence"":2}","[0]","survey-likert","30","98878","0.0-30.0","ka742usk","","","","","","","",""
"","","","call-function","31","98878","0.0-31.0","ka742usk","","","","","","","",""
"null","","","html-keyboard-response","32","100381","0.0-32.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","103490","0.0-33.0","ka742usk","","","null","","Agent A","scrambled","STIM_SET_1/285994.bmp_pp92_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","104996","0.0-34.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","108062","0.0-35.0","ka742usk","","","null","","Agent B","veridical","STIM_SET_1/285994.bmp_pp92_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","36","108062","0.0-36.0","ka742usk","","","","","","","",""
"1508.6199999999953","{""judgement"":0}","[0]","survey-likert","37","109572","0.0-37.0","ka742usk","","","","","","","","1"
"1210.9699999999866","{""confidence"":2}","[0]","survey-likert","38","110784","0.0-38.0","ka742usk","","","","","","","",""
"","","","call-function","39","110784","0.0-39.0","ka742usk","","","","","","","",""
"null","","","html-keyboard-response","40","112286","0.0-40.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","115404","0.0-41.0","ka742usk","","","null","","Agent A","scrambled","STIM_SET_1/285905.bmp_pp57_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","42","116907","0.0-42.0","ka742usk","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
