"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"24141.32","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","24150","0.0-0.0","knesqyz0","","","","","","","",""
"3822.165000000001","","","instructions","1","27973","0.0-1.0","knesqyz0","[{""page_index"":0,""viewing_time"":3822.0099999999984}]","","","","","","",""
"7281.684999999998","","","instructions","2","35256","0.0-2.0","knesqyz0","[{""page_index"":0,""viewing_time"":4385.605},{""page_index"":1,""viewing_time"":1109.9650000000001},{""page_index"":2,""viewing_time"":1785.989999999998}]","","","","","","",""
"1420.4650000000038","","","instructions","3","36677","0.0-3.0","knesqyz0","[{""page_index"":0,""viewing_time"":1420.3600000000006}]","","","","","","",""
"null","","","video-keyboard-response","4","39751","0.0-4.0","knesqyz0","","","null","","","","",""
"25625.595","","","instructions","5","65377","0.0-5.0","knesqyz0","[{""page_index"":0,""viewing_time"":1338.050000000003},{""page_index"":1,""viewing_time"":2311.5650000000023},{""page_index"":2,""viewing_time"":21975.875}]","","","","","","",""
"1767.4600000000064","","","instructions","6","67145","0.0-6.0","knesqyz0","[{""page_index"":0,""viewing_time"":1767.3550000000105}]","","","","","","",""
"1525.4750000000058","","","instructions","7","68671","0.0-7.0","knesqyz0","[{""page_index"":0,""viewing_time"":1525.2599999999948}]","","","","","","",""
"null","","","video-keyboard-response","8","71749","0.0-8.0","knesqyz0","","","null","","","","",""
"4709.465000000011","","","instructions","9","76459","0.0-9.0","knesqyz0","[{""page_index"":0,""viewing_time"":918.6350000000093},{""page_index"":1,""viewing_time"":1465.824999999997},{""page_index"":2,""viewing_time"":2324.8699999999953}]","","","","","","",""
"1617.550000000003","","","instructions","10","78077","0.0-10.0","knesqyz0","[{""page_index"":0,""viewing_time"":1617.4349999999977}]","","","","","","",""
"","","","call-function","11","78078","0.0-11.0","knesqyz0","","","","","","","",""
"null","","","html-keyboard-response","12","79581","0.0-12.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","82662","0.0-13.0","knesqyz0","","","null","","Agent A","veridical","STIM_SET_2/713858.bmp_pp57_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","84166","0.0-14.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","87246","0.0-15.0","knesqyz0","","","null","","Agent B","scrambled","STIM_SET_2/713858.bmp_pp57_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","16","87246","0.0-16.0","knesqyz0","","","","","","","",""
"2273.7149999999965","{""judgement"":0}","[0]","survey-likert","17","89521","0.0-17.0","knesqyz0","","","","","","","","0"
"2541.720000000001","{""confidence"":3}","[0]","survey-likert","18","92064","0.0-18.0","knesqyz0","","","","","","","",""
"","","","call-function","19","92065","0.0-19.0","knesqyz0","","","","","","","",""
"null","","","html-keyboard-response","20","93567","0.0-20.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","96668","0.0-21.0","knesqyz0","","","null","","Agent A","veridical","STIM_SET_2/1592047.bmp_pp51_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","98169","0.0-22.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","101269","0.0-23.0","knesqyz0","","","null","","Agent B","scrambled","STIM_SET_2/1592047.bmp_pp51_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","24","101269","0.0-24.0","knesqyz0","","","","","","","",""
"1389.2250000000058","{""judgement"":0}","[0]","survey-likert","25","102659","0.0-25.0","knesqyz0","","","","","","","","0"
"1373.7949999999983","{""confidence"":3}","[0]","survey-likert","26","104034","0.0-26.0","knesqyz0","","","","","","","",""
"","","","call-function","27","104035","0.0-27.0","knesqyz0","","","","","","","",""
"null","","","html-keyboard-response","28","105538","0.0-28.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","108610","0.0-29.0","knesqyz0","","","null","","Agent A","scrambled","STIM_SET_2/61513.bmp_pp75_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","110115","0.0-30.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","113180","0.0-31.0","knesqyz0","","","null","","Agent B","veridical","STIM_SET_2/61513.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","113181","0.0-32.0","knesqyz0","","","","","","","",""
"1655.8649999999907","{""judgement"":1}","[0]","survey-likert","33","114838","0.0-33.0","knesqyz0","","","","","","","","1"
"1625.5050000000047","{""confidence"":3}","[0]","survey-likert","34","116465","0.0-34.0","knesqyz0","","","","","","","",""
"","","","call-function","35","116465","0.0-35.0","knesqyz0","","","","","","","",""
"null","","","html-keyboard-response","36","117968","0.0-36.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","121040","0.0-37.0","knesqyz0","","","null","","Agent A","veridical","STIM_SET_2/1159956.bmp_pp59_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","122545","0.0-38.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","125618","0.0-39.0","knesqyz0","","","null","","Agent B","scrambled","STIM_SET_2/1159956.bmp_pp59_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","40","125619","0.0-40.0","knesqyz0","","","","","","","",""
"1415.0599999999977","{""judgement"":0}","[0]","survey-likert","41","127035","0.0-41.0","knesqyz0","","","","","","","","0"
"1937.375","{""confidence"":2}","[0]","survey-likert","42","128974","0.0-42.0","knesqyz0","","","","","","","",""
"","","","call-function","43","128974","0.0-43.0","knesqyz0","","","","","","","",""
"null","","","html-keyboard-response","44","130481","0.0-44.0","knesqyz0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
