"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"71447.565","{""Experimenter"":[""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","71457","0.0-0.0","kowune8c","","","","","","","",""
"44083.405","","","instructions","1","115542","0.0-1.0","kowune8c","[{""page_index"":0,""viewing_time"":44083.19}]","","","","","","",""
"21767.58","","","instructions","2","137311","0.0-2.0","kowune8c","[{""page_index"":0,""viewing_time"":9801.375},{""page_index"":1,""viewing_time"":2082.270000000004},{""page_index"":2,""viewing_time"":9883.809999999998}]","","","","","","",""
"3453.5800000000163","","","instructions","3","140765","0.0-3.0","kowune8c","[{""page_index"":0,""viewing_time"":3453.475000000006}]","","","","","","",""
"null","","","video-keyboard-response","4","143839","0.0-4.0","kowune8c","","","null","","","","",""
"23479.005000000005","","","instructions","5","167319","0.0-5.0","kowune8c","[{""page_index"":0,""viewing_time"":4430.934999999998},{""page_index"":1,""viewing_time"":4740.0199999999895},{""page_index"":2,""viewing_time"":14307.945000000007}]","","","","","","",""
"4434.334999999992","","","instructions","6","171754","0.0-6.0","kowune8c","[{""page_index"":0,""viewing_time"":4434.229999999981}]","","","","","","",""
"1531.625","","","instructions","7","173286","0.0-7.0","kowune8c","[{""page_index"":0,""viewing_time"":1531.4100000000035}]","","","","","","",""
"null","","","video-keyboard-response","8","176358","0.0-8.0","kowune8c","","","null","","","","",""
"16163.035000000003","","","instructions","9","192522","0.0-9.0","kowune8c","[{""page_index"":0,""viewing_time"":2215.0599999999977},{""page_index"":1,""viewing_time"":4998.950000000012},{""page_index"":2,""viewing_time"":8948.889999999985}]","","","","","","",""
"9370.600000000006","","","instructions","10","201893","0.0-10.0","kowune8c","[{""page_index"":0,""viewing_time"":9370.48999999999}]","","","","","","",""
"","","","call-function","11","201894","0.0-11.0","kowune8c","","","","","","","",""
"null","","","html-keyboard-response","12","203399","0.0-12.0","kowune8c","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","206461","0.0-13.0","kowune8c","","","null","","Agent A","scrambled","STIM_SET_5/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","207965","0.0-14.0","kowune8c","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
