"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"10574.785","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","10582","0.0-0.0","kp5vktju","","","","","","","",""
"1804190.66","","","instructions","1","1814776","0.0-1.0","kp5vktju","[{""page_index"":0,""viewing_time"":1804190.455}]","","","","","","",""
"8385.679999999935","{""Age"":5,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","1823165","0.0-2.0","kp5vktju","","","","","","","",""
"13314.589999999851","","","instructions","3","1836480","0.0-3.0","kp5vktju","[{""page_index"":0,""viewing_time"":3787.6399999998976},{""page_index"":1,""viewing_time"":2552.8600000001024},{""page_index"":2,""viewing_time"":6973.969999999972}]","","","","","","",""
"4528.084999999963","","","instructions","4","1841008","0.0-4.0","kp5vktju","[{""page_index"":0,""viewing_time"":4527.979999999981}]","","","","","","",""
"null","","","video-keyboard-response","5","1844084","0.0-5.0","kp5vktju","","","null","","","","",""
"11787.764999999898","","","instructions","6","1855872","0.0-6.0","kp5vktju","[{""page_index"":0,""viewing_time"":3531.784999999916},{""page_index"":1,""viewing_time"":2163.8700000001118},{""page_index"":2,""viewing_time"":6092.004999999888}]","","","","","","",""
"2725.4749999998603","","","instructions","7","1858598","0.0-7.0","kp5vktju","[{""page_index"":0,""viewing_time"":2725.375}]","","","","","","",""
"1343.8500000000931","","","instructions","8","1859942","0.0-8.0","kp5vktju","[{""page_index"":0,""viewing_time"":1343.6350000000093}]","","","","","","",""
"null","","","video-keyboard-response","9","1863013","0.0-9.0","kp5vktju","","","null","","","","",""
"10728.054999999935","","","instructions","10","1873742","0.0-10.0","kp5vktju","[{""page_index"":0,""viewing_time"":2638.655000000028},{""page_index"":1,""viewing_time"":4763.725000000093},{""page_index"":2,""viewing_time"":3325.0399999998044}]","","","","","","",""
"3583.1999999999534","","","instructions","11","1877326","0.0-11.0","kp5vktju","[{""page_index"":0,""viewing_time"":3583.090000000084}]","","","","","","",""
"","","","call-function","12","1877327","0.0-12.0","kp5vktju","","","","","","","",""
"null","","","html-keyboard-response","13","1878830","0.0-13.0","kp5vktju","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","1881586","0.0-14.0","kp5vktju","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","15","1883090","0.0-15.0","kp5vktju","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","1885848","0.0-16.0","kp5vktju","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","17","1885849","0.0-17.0","kp5vktju","","","","","","","",""
"2216.3199999998324","{""judgement"":0}","[0]","survey-likert","18","1888066","0.0-18.0","kp5vktju","","","","","","","","0"
"1877.7900000000373","{""confidence"":0}","[0]","survey-likert","19","1889945","0.0-19.0","kp5vktju","","","","","","","",""
"","","","call-function","20","1889945","0.0-20.0","kp5vktju","","","","","","","",""
"null","","","html-keyboard-response","21","1891451","0.0-21.0","kp5vktju","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","1894217","0.0-22.0","kp5vktju","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592044.bmp_pp94_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","23","1895721","0.0-23.0","kp5vktju","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","1898486","0.0-24.0","kp5vktju","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592044.bmp_pp94_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","25","1898487","0.0-25.0","kp5vktju","","","","","","","",""
"2350.4599999999627","{""judgement"":1}","[0]","survey-likert","26","1900839","0.0-26.0","kp5vktju","","","","","","","","0"
"4762.739999999991","{""confidence"":0}","[0]","survey-likert","27","1905603","0.0-27.0","kp5vktju","","","","","","","",""
"","","","call-function","28","1905603","0.0-28.0","kp5vktju","","","","","","","",""
"null","","","html-keyboard-response","29","1907107","0.0-29.0","kp5vktju","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","30","1909879","0.0-30.0","kp5vktju","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592168.bmp_pp71_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","31","1911382","0.0-31.0","kp5vktju","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
