"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"89245.52","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","89254","0.0-0.0","kqohc30j","","","","","","","",""
"26931.5","","","instructions","1","116187","0.0-1.0","kqohc30j","[{""page_index"":0,""viewing_time"":26931.35500000001}]","","","","","","",""
"11881.935000000012","","","instructions","2","128069","0.0-2.0","kqohc30j","[{""page_index"":0,""viewing_time"":1609.7649999999994},{""page_index"":1,""viewing_time"":6237.985000000001},{""page_index"":2,""viewing_time"":4034.0650000000023}]","","","","","","",""
"4048.7899999999936","","","instructions","3","132119","0.0-3.0","kqohc30j","[{""page_index"":0,""viewing_time"":4048.6399999999994}]","","","","","","",""
"null","","","video-keyboard-response","4","135193","0.0-4.0","kqohc30j","","","null","","","","",""
"26947.959999999992","","","instructions","5","162141","0.0-5.0","kqohc30j","[{""page_index"":0,""viewing_time"":7484.529999999999},{""page_index"":1,""viewing_time"":3178.8649999999907},{""page_index"":2,""viewing_time"":1428.304999999993},{""page_index"":3,""viewing_time"":5436.804999999993},{""page_index"":4,""viewing_time"":9418.860000000015}]","","","","","","",""
"5692.235000000015","","","instructions","6","167835","0.0-6.0","kqohc30j","[{""page_index"":0,""viewing_time"":5692.119999999995}]","","","","","","",""
"","","","call-function","7","167836","0.0-7.0","kqohc30j","","","","","","","",""
"null","","","html-keyboard-response","8","169338","0.0-8.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","172409","0.0-9.0","kqohc30j","","","null","","Agent A","veridical","STIM_SET_1/713017.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","173913","0.0-10.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","176985","0.0-11.0","kqohc30j","","","null","","Agent B","scrambled","STIM_SET_1/713017.bmp_pp152_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","12","176985","0.0-12.0","kqohc30j","","","","","","","",""
"3961.8850000000093","{""judgement"":1}","[0]","survey-likert","13","180948","0.0-13.0","kqohc30j","","","","","","","","0"
"2737.665000000008","{""confidence"":0}","[0]","survey-likert","14","183687","0.0-14.0","kqohc30j","","","","","","","",""
"","","","call-function","15","183688","0.0-15.0","kqohc30j","","","","","","","",""
"null","","","html-keyboard-response","16","185192","0.0-16.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","188272","0.0-17.0","kqohc30j","","","null","","Agent A","veridical","STIM_SET_1/1593146.bmp_pp93_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","189775","0.0-18.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","192852","0.0-19.0","kqohc30j","","","null","","Agent B","scrambled","STIM_SET_1/1593146.bmp_pp93_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","192852","0.0-20.0","kqohc30j","","","","","","","",""
"2422.600000000006","{""judgement"":0}","[0]","survey-likert","21","195276","0.0-21.0","kqohc30j","","","","","","","","0"
"2062.029999999999","{""confidence"":1}","[0]","survey-likert","22","197340","0.0-22.0","kqohc30j","","","","","","","",""
"","","","call-function","23","197340","0.0-23.0","kqohc30j","","","","","","","",""
"null","","","html-keyboard-response","24","198842","0.0-24.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","201956","0.0-25.0","kqohc30j","","","null","","Agent A","veridical","STIM_SET_1/1592362.bmp_pp95_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","203459","0.0-26.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","206569","0.0-27.0","kqohc30j","","","null","","Agent B","scrambled","STIM_SET_1/1592362.bmp_pp95_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","28","206569","0.0-28.0","kqohc30j","","","","","","","",""
"2086.305000000022","{""judgement"":0}","[0]","survey-likert","29","208656","0.0-29.0","kqohc30j","","","","","","","","0"
"1772.2200000000012","{""confidence"":1}","[0]","survey-likert","30","210429","0.0-30.0","kqohc30j","","","","","","","",""
"","","","call-function","31","210430","0.0-31.0","kqohc30j","","","","","","","",""
"null","","","html-keyboard-response","32","211933","0.0-32.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","215043","0.0-33.0","kqohc30j","","","null","","Agent A","veridical","STIM_SET_1/1159572.bmp_pp71_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","216546","0.0-34.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","219657","0.0-35.0","kqohc30j","","","null","","Agent B","scrambled","STIM_SET_1/1159572.bmp_pp71_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","36","219657","0.0-36.0","kqohc30j","","","","","","","",""
"2013.945000000007","{""judgement"":0}","[0]","survey-likert","37","221673","0.0-37.0","kqohc30j","","","","","","","","0"
"1435.195000000007","{""confidence"":2}","[0]","survey-likert","38","223109","0.0-38.0","kqohc30j","","","","","","","",""
"","","","call-function","39","223110","0.0-39.0","kqohc30j","","","","","","","",""
"null","","","html-keyboard-response","40","224611","0.0-40.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","227678","0.0-41.0","kqohc30j","","","null","","Agent A","scrambled","STIM_SET_1/1592133.bmp_pp75_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","42","229183","0.0-42.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","232251","0.0-43.0","kqohc30j","","","null","","Agent B","veridical","STIM_SET_1/1592133.bmp_pp75_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","44","232252","0.0-44.0","kqohc30j","","","","","","","",""
"2346.5050000000047","{""judgement"":1}","[0]","survey-likert","45","234599","0.0-45.0","kqohc30j","","","","","","","","1"
"4974.420000000013","{""confidence"":0}","[0]","survey-likert","46","239575","0.0-46.0","kqohc30j","","","","","","","",""
"","","","call-function","47","239576","0.0-47.0","kqohc30j","","","","","","","",""
"null","","","html-keyboard-response","48","241079","0.0-48.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","244162","0.0-49.0","kqohc30j","","","null","","Agent A","veridical","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","50","245665","0.0-50.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","248745","0.0-51.0","kqohc30j","","","null","","Agent B","scrambled","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","52","248746","0.0-52.0","kqohc30j","","","","","","","",""
"2992.1750000000175","{""judgement"":1}","[0]","survey-likert","53","251739","0.0-53.0","kqohc30j","","","","","","","","0"
"1415.4100000000035","{""confidence"":2}","[0]","survey-likert","54","253155","0.0-54.0","kqohc30j","","","","","","","",""
"","","","call-function","55","253156","0.0-55.0","kqohc30j","","","","","","","",""
"null","","","html-keyboard-response","56","254657","0.0-56.0","kqohc30j","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","257728","0.0-57.0","kqohc30j","","","null","","Agent A","veridical","STIM_SET_1/1592727.bmp_pp59_L3_V1.0_veridical_freeview_isoFalse.mp4",""
