"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"120459.75000000001","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","120467","0.0-0.0","lddhfboh","","","","","","","",""
"52744.380000000005","","","instructions","1","173213","0.0-1.0","lddhfboh","[{""page_index"":0,""viewing_time"":52744.22}]","","","","","","",""
"8456.279999999999","{""Age"":6,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","181671","0.0-2.0","lddhfboh","","","","","","","",""
"8491.964999999997","","","instructions","3","190164","0.0-3.0","lddhfboh","[{""page_index"":0,""viewing_time"":5469.8399999999965},{""page_index"":1,""viewing_time"":1409.9300000000221},{""page_index"":2,""viewing_time"":1612.0649999999732}]","","","","","","",""
"1340.4899999999907","","","instructions","4","191505","0.0-4.0","lddhfboh","[{""page_index"":0,""viewing_time"":1340.3800000000047}]","","","","","","",""
"null","","","video-keyboard-response","5","194582","0.0-5.0","lddhfboh","","","null","","","","",""
"9598.86500000002","","","instructions","6","204182","0.0-6.0","lddhfboh","[{""page_index"":0,""viewing_time"":1235.1650000000081},{""page_index"":1,""viewing_time"":1652.2699999999895},{""page_index"":2,""viewing_time"":6710.8399999999965}]","","","","","","",""
"2895.2299999999814","","","instructions","7","207078","0.0-7.0","lddhfboh","[{""page_index"":0,""viewing_time"":2895.1199999999953}]","","","","","","",""
"1140.8150000000023","","","instructions","8","208220","0.0-8.0","lddhfboh","[{""page_index"":0,""viewing_time"":1140.7049999999872}]","","","","","","",""
"null","","","video-keyboard-response","9","211293","0.0-9.0","lddhfboh","","","null","","","","",""
"6255.304999999993","","","instructions","10","217549","0.0-10.0","lddhfboh","[{""page_index"":0,""viewing_time"":1242.0849999999919},{""page_index"":1,""viewing_time"":1182.9750000000058},{""page_index"":2,""viewing_time"":3830.109999999986}]","","","","","","",""
