"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"9049.61","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","9059","0.0-0.0","lphmzv2n","","","","","","","",""
"2633608.3699999996","","","instructions","1","2642675","0.0-1.0","lphmzv2n","[{""page_index"":0,""viewing_time"":2633607.7399999998}]","","","","","","",""
"26382.055000000168","","","instructions","2","2669058","0.0-2.0","lphmzv2n","[{""page_index"":0,""viewing_time"":5778.430000000168},{""page_index"":1,""viewing_time"":1243.9899999997579},{""page_index"":2,""viewing_time"":19359.450000000186}]","","","","","","",""
"1951.125","","","instructions","3","2671010","0.0-3.0","lphmzv2n","[{""page_index"":0,""viewing_time"":1951.0200000000186}]","","","","","","",""
"null","","","video-keyboard-response","4","2674088","0.0-4.0","lphmzv2n","","","null","","","","",""
"8193.584999999963","","","instructions","5","2682282","0.0-5.0","lphmzv2n","[{""page_index"":0,""viewing_time"":2552.4950000001118},{""page_index"":1,""viewing_time"":3163.8950000000186},{""page_index"":2,""viewing_time"":2477.0849999999627}]","","","","","","",""
"2084.6400000001304","","","instructions","6","2684367","0.0-6.0","lphmzv2n","[{""page_index"":0,""viewing_time"":2084.535000000149}]","","","","","","",""
"911.5649999999441","","","instructions","7","2685279","0.0-7.0","lphmzv2n","[{""page_index"":0,""viewing_time"":911.3449999997392}]","","","","","","",""
"null","","","video-keyboard-response","8","2688356","0.0-8.0","lphmzv2n","","","null","","","","",""
"12143.549999999814","","","instructions","9","2700500","0.0-9.0","lphmzv2n","[{""page_index"":0,""viewing_time"":1591.904999999795},{""page_index"":1,""viewing_time"":3870.4300000001676},{""page_index"":2,""viewing_time"":6681.0800000000745}]","","","","","","",""
"2723.445000000298","","","instructions","10","2703224","0.0-10.0","lphmzv2n","[{""page_index"":0,""viewing_time"":2723.3300000000745}]","","","","","","",""
"","","","call-function","11","2703225","0.0-11.0","lphmzv2n","","","","","","","",""
"null","","","html-keyboard-response","12","2704732","0.0-12.0","lphmzv2n","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","2707815","0.0-13.0","lphmzv2n","","","null","","Agent A","scrambled","STIM_SET_2/1591781.bmp_pp63_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
