"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"102689.95","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","102697","0.0-0.0","n8tb5t59","","","","","","","",""
"56217.270000000004","","","instructions","1","158916","0.0-1.0","n8tb5t59","[{""page_index"":0,""viewing_time"":56217.06500000002}]","","","","","","",""
"6749.399999999994","{""Age"":1,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","165668","0.0-2.0","n8tb5t59","","","","","","","",""
"6922.195000000007","","","instructions","3","172591","0.0-3.0","n8tb5t59","[{""page_index"":0,""viewing_time"":3326.1199999999953},{""page_index"":1,""viewing_time"":974.8850000000093},{""page_index"":2,""viewing_time"":2621.070000000007}]","","","","","","",""
"1519.4300000000221","","","instructions","4","174111","0.0-4.0","n8tb5t59","[{""page_index"":0,""viewing_time"":1519.3300000000163}]","","","","","","",""
"null","","","video-keyboard-response","5","177228","0.0-5.0","n8tb5t59","","","null","","","","",""
"5557.4800000000105","","","instructions","6","182786","0.0-6.0","n8tb5t59","[{""page_index"":0,""viewing_time"":2196.75},{""page_index"":1,""viewing_time"":1898.7550000000047},{""page_index"":2,""viewing_time"":1461.8699999999953}]","","","","","","",""
"1503.8349999999919","","","instructions","7","184290","0.0-7.0","n8tb5t59","[{""page_index"":0,""viewing_time"":1503.7300000000105}]","","","","","","",""
"801.625","","","instructions","8","185092","0.0-8.0","n8tb5t59","[{""page_index"":0,""viewing_time"":801.4100000000035}]","","","","","","",""
"null","","","video-keyboard-response","9","188170","0.0-9.0","n8tb5t59","","","null","","","","",""
"9468.51000000001","","","instructions","10","197639","0.0-10.0","n8tb5t59","[{""page_index"":0,""viewing_time"":763.5100000000093},{""page_index"":1,""viewing_time"":1402.914999999979},{""page_index"":2,""viewing_time"":7301.955000000016}]","","","","","","",""
"1978.2950000000128","","","instructions","11","199617","0.0-11.0","n8tb5t59","[{""page_index"":0,""viewing_time"":1978.1849999999977}]","","","","","","",""
"","","","call-function","12","199618","0.0-12.0","n8tb5t59","","","","","","","",""
"null","","","html-keyboard-response","13","201124","0.0-13.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","203941","0.0-14.0","n8tb5t59","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1159508.bmp_pp151_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","15","205443","0.0-15.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","208262","0.0-16.0","n8tb5t59","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1159508.bmp_pp151_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","17","208263","0.0-17.0","n8tb5t59","","","","","","","",""
"2091.600000000006","{""judgement"":0}","[0]","survey-likert","18","210355","0.0-18.0","n8tb5t59","","","","","","","","0"
"2004.7449999999953","{""confidence"":1}","[0]","survey-likert","19","212361","0.0-19.0","n8tb5t59","","","","","","","",""
"","","","call-function","20","212361","0.0-20.0","n8tb5t59","","","","","","","",""
"null","","","html-keyboard-response","21","213867","0.0-21.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","216707","0.0-22.0","n8tb5t59","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","23","218214","0.0-23.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","220990","0.0-24.0","n8tb5t59","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","25","220991","0.0-25.0","n8tb5t59","","","","","","","",""
"2389.125","{""judgement"":0}","[0]","survey-likert","26","223381","0.0-26.0","n8tb5t59","","","","","","","","0"
"2192.790000000008","{""confidence"":2}","[0]","survey-likert","27","225576","0.0-27.0","n8tb5t59","","","","","","","",""
"","","","call-function","28","225577","0.0-28.0","n8tb5t59","","","","","","","",""
"null","","","html-keyboard-response","29","227082","0.0-29.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","30","229174","0.0-30.0","n8tb5t59","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1159973.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","31","230677","0.0-31.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","32","232765","0.0-32.0","n8tb5t59","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1159973.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","33","232766","0.0-33.0","n8tb5t59","","","","","","","",""
"2223.819999999978","{""judgement"":1}","[0]","survey-likert","34","234992","0.0-34.0","n8tb5t59","","","","","","","","0"
"1745.6549999999988","{""confidence"":1}","[0]","survey-likert","35","236738","0.0-35.0","n8tb5t59","","","","","","","",""
"","","","call-function","36","236739","0.0-36.0","n8tb5t59","","","","","","","",""
"null","","","html-keyboard-response","37","238240","0.0-37.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","38","240140","0.0-38.0","n8tb5t59","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/285946.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","39","241642","0.0-39.0","n8tb5t59","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","40","243525","0.0-40.0","n8tb5t59","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/285946.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","41","243526","0.0-41.0","n8tb5t59","","","","","","","",""
"1974.960000000021","{""judgement"":1}","[0]","survey-likert","42","245501","0.0-42.0","n8tb5t59","","","","","","","","1"
"1419.9400000000023","{""confidence"":1}","[0]","survey-likert","43","246922","0.0-43.0","n8tb5t59","","","","","","","",""
"","","","call-function","44","246922","0.0-44.0","n8tb5t59","","","","","","","",""
