"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"114765.88","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","114774","0.0-0.0","nz5snwtu","","","","","","","",""
"90648.96","","","instructions","1","205425","0.0-1.0","nz5snwtu","[{""page_index"":0,""viewing_time"":90648.80500000001}]","","","","","","",""
"27246.630000000005","","","instructions","2","232672","0.0-2.0","nz5snwtu","[{""page_index"":0,""viewing_time"":13933.475000000006},{""page_index"":1,""viewing_time"":1699.015000000014},{""page_index"":2,""viewing_time"":11614.01999999999}]","","","","","","",""
"4822.414999999979","","","instructions","3","237495","0.0-3.0","nz5snwtu","[{""page_index"":0,""viewing_time"":4822.309999999998}]","","","","","","",""
"null","","","video-keyboard-response","4","240573","0.0-4.0","nz5snwtu","","","null","","","","",""
"15224.889999999985","","","instructions","5","255799","0.0-5.0","nz5snwtu","[{""page_index"":0,""viewing_time"":3585.875},{""page_index"":1,""viewing_time"":4993.389999999985},{""page_index"":2,""viewing_time"":6645.445000000007}]","","","","","","",""
"3435.804999999993","","","instructions","6","259236","0.0-6.0","nz5snwtu","[{""page_index"":0,""viewing_time"":3435.694999999978}]","","","","","","",""
"1418.3600000000151","","","instructions","7","260655","0.0-7.0","nz5snwtu","[{""page_index"":0,""viewing_time"":1418.2450000000244}]","","","","","","",""
"null","","","video-keyboard-response","8","263731","0.0-8.0","nz5snwtu","","","null","","","","",""
"17915.5","","","instructions","9","281648","0.0-9.0","nz5snwtu","[{""page_index"":0,""viewing_time"":1683.3300000000163},{""page_index"":1,""viewing_time"":5353.885000000009},{""page_index"":2,""viewing_time"":10878.15499999997}]","","","","","","",""
"8468.339999999967","","","instructions","10","290116","0.0-10.0","nz5snwtu","[{""page_index"":0,""viewing_time"":8468.229999999981}]","","","","","","",""
"","","","call-function","11","290117","0.0-11.0","nz5snwtu","","","","","","","",""
"null","","","html-keyboard-response","12","291623","0.0-12.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","294699","0.0-13.0","nz5snwtu","","","null","","Agent A","veridical","STIM_SET_2/1592129.bmp_pp153_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","296201","0.0-14.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","299274","0.0-15.0","nz5snwtu","","","null","","Agent B","scrambled","STIM_SET_2/1592129.bmp_pp153_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","16","299275","0.0-16.0","nz5snwtu","","","","","","","",""
"2695.3250000000116","{""judgement"":0}","[0]","survey-likert","17","301971","0.0-17.0","nz5snwtu","","","","","","","","0"
"4969.505000000005","{""confidence"":2}","[0]","survey-likert","18","306942","0.0-18.0","nz5snwtu","","","","","","","",""
"","","","call-function","19","306943","0.0-19.0","nz5snwtu","","","","","","","",""
"null","","","html-keyboard-response","20","308445","0.0-20.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","311523","0.0-21.0","nz5snwtu","","","null","","Agent A","veridical","STIM_SET_2/713381.bmp_pp82_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","313028","0.0-22.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","316135","0.0-23.0","nz5snwtu","","","null","","Agent B","scrambled","STIM_SET_2/713381.bmp_pp82_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","24","316136","0.0-24.0","nz5snwtu","","","","","","","",""
"2976.929999999993","{""judgement"":0}","[0]","survey-likert","25","319114","0.0-25.0","nz5snwtu","","","","","","","","0"
"2213.125","{""confidence"":2}","[0]","survey-likert","26","321328","0.0-26.0","nz5snwtu","","","","","","","",""
"","","","call-function","27","321329","0.0-27.0","nz5snwtu","","","","","","","",""
"null","","","html-keyboard-response","28","322833","0.0-28.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","325915","0.0-29.0","nz5snwtu","","","null","","Agent A","scrambled","STIM_SET_2/498398.bmp_pp81_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","327416","0.0-30.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","330482","0.0-31.0","nz5snwtu","","","null","","Agent B","veridical","STIM_SET_2/498398.bmp_pp81_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","330482","0.0-32.0","nz5snwtu","","","","","","","",""
"3350.969999999972","{""judgement"":1}","[0]","survey-likert","33","333834","0.0-33.0","nz5snwtu","","","","","","","","1"
"3014.0299999999697","{""confidence"":3}","[0]","survey-likert","34","336849","0.0-34.0","nz5snwtu","","","","","","","",""
"","","","call-function","35","336850","0.0-35.0","nz5snwtu","","","","","","","",""
"null","","","html-keyboard-response","36","338352","0.0-36.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","341455","0.0-37.0","nz5snwtu","","","null","","Agent A","veridical","STIM_SET_2/498396.bmp_pp99_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","342961","0.0-38.0","nz5snwtu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","346065","0.0-39.0","nz5snwtu","","","null","","Agent B","scrambled","STIM_SET_2/498396.bmp_pp99_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","40","346066","0.0-40.0","nz5snwtu","","","","","","","",""
"2819.445000000007","{""judgement"":0}","[0]","survey-likert","41","348886","0.0-41.0","nz5snwtu","","","","","","","","0"
"2094.8549999999814","{""confidence"":1}","[0]","survey-likert","42","350982","0.0-42.0","nz5snwtu","","","","","","","",""
