"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"93868.99","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","93877","0.0-0.0","o6tv81tt","","","","","","","",""
"125711.98499999999","","","instructions","1","219590","0.0-1.0","o6tv81tt","[{""page_index"":0,""viewing_time"":125711.82999999999}]","","","","","","",""
"18297.73999999999","","","instructions","2","237889","0.0-2.0","o6tv81tt","[{""page_index"":0,""viewing_time"":8819.440000000002},{""page_index"":1,""viewing_time"":1147.0499999999884},{""page_index"":2,""viewing_time"":8331.130000000005}]","","","","","","",""
"2687.8099999999977","","","instructions","3","240578","0.0-3.0","o6tv81tt","[{""page_index"":0,""viewing_time"":2687.704999999987}]","","","","","","",""
"null","","","video-keyboard-response","4","243651","0.0-4.0","o6tv81tt","","","null","","","","",""
"8977.24000000002","","","instructions","5","252629","0.0-5.0","o6tv81tt","[{""page_index"":0,""viewing_time"":2355.2700000000186},{""page_index"":1,""viewing_time"":2089.0499999999884},{""page_index"":2,""viewing_time"":4532.815000000002}]","","","","","","",""
"17484.630000000034","","","instructions","6","270114","0.0-6.0","o6tv81tt","[{""page_index"":0,""viewing_time"":17484.524999999994}]","","","","","","",""
"859.4500000000116","","","instructions","7","270974","0.0-7.0","o6tv81tt","[{""page_index"":0,""viewing_time"":859.2399999999907}]","","","","","","",""
"null","","","video-keyboard-response","8","274053","0.0-8.0","o6tv81tt","","","null","","","","",""
"14472.155000000028","","","instructions","9","288525","0.0-9.0","o6tv81tt","[{""page_index"":0,""viewing_time"":1198.045000000042},{""page_index"":1,""viewing_time"":2892.899999999965},{""page_index"":2,""viewing_time"":10380.984999999986}]","","","","","","",""
"7227.339999999967","","","instructions","10","295753","0.0-10.0","o6tv81tt","[{""page_index"":0,""viewing_time"":7227.224999999977}]","","","","","","",""
"","","","call-function","11","295754","0.0-11.0","o6tv81tt","","","","","","","",""
"null","","","html-keyboard-response","12","297256","0.0-12.0","o6tv81tt","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","300318","0.0-13.0","o6tv81tt","","","null","","Agent A","scrambled","STIM_SET_5/1159392.bmp_pp96_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","301824","0.0-14.0","o6tv81tt","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","304888","0.0-15.0","o6tv81tt","","","null","","Agent B","veridical","STIM_SET_2_144/1159392.bmp_pp96_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","304888","0.0-16.0","o6tv81tt","","","","","","","",""
"7069.439999999944","{""judgement"":0}","[0]","survey-likert","17","311959","0.0-17.0","o6tv81tt","","","","","","","","1"
"2020.390000000014","{""confidence"":0}","[0]","survey-likert","18","313980","0.0-18.0","o6tv81tt","","","","","","","",""
"","","","call-function","19","313981","0.0-19.0","o6tv81tt","","","","","","","",""
"null","","","html-keyboard-response","20","315483","0.0-20.0","o6tv81tt","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","318549","0.0-21.0","o6tv81tt","","","null","","Agent A","scrambled","STIM_SET_5/713652.bmp_pp89_L1_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","22","320052","0.0-22.0","o6tv81tt","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","323130","0.0-23.0","o6tv81tt","","","null","","Agent B","veridical","STIM_SET_2_144/713652.bmp_pp89_L1_V1_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","24","323130","0.0-24.0","o6tv81tt","","","","","","","",""
"4706.450000000012","{""judgement"":0}","[0]","survey-likert","25","327838","0.0-25.0","o6tv81tt","","","","","","","","1"
