"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"10405.23","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","10414","0.0-0.0","o8bjcubj","","","","","","","",""
"9559.750000000002","","","instructions","1","19975","0.0-1.0","o8bjcubj","[{""page_index"":0,""viewing_time"":9559.6}]","","","","","","",""
"6817.049999999999","","","instructions","2","26793","0.0-2.0","o8bjcubj","[{""page_index"":0,""viewing_time"":1694.875},{""page_index"":1,""viewing_time"":2489.010000000002},{""page_index"":2,""viewing_time"":2633.0449999999983}]","","","","","","",""
"2055.4799999999996","","","instructions","3","28848","0.0-3.0","o8bjcubj","[{""page_index"":0,""viewing_time"":2055.380000000001}]","","","","","","",""
"null","","","video-keyboard-response","4","31923","0.0-4.0","o8bjcubj","","","null","","","","",""
"6726.459999999999","","","instructions","5","38649","0.0-5.0","o8bjcubj","[{""page_index"":0,""viewing_time"":2403.3150000000023},{""page_index"":1,""viewing_time"":1796.0049999999974},{""page_index"":2,""viewing_time"":754.0900000000038},{""page_index"":3,""viewing_time"":1158.9749999999985},{""page_index"":4,""viewing_time"":613.9499999999971}]","","","","","","",""
"1554.675000000003","","","instructions","6","40205","0.0-6.0","o8bjcubj","[{""page_index"":0,""viewing_time"":1554.5550000000003}]","","","","","","",""
"","","","call-function","7","40205","0.0-7.0","o8bjcubj","","","","","","","",""
"null","","","html-keyboard-response","8","41708","0.0-8.0","o8bjcubj","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","44788","0.0-9.0","o8bjcubj","","","null","","Agent A","scrambled","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","46290","0.0-10.0","o8bjcubj","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","49372","0.0-11.0","o8bjcubj","","","null","","Agent B","veridical","STIM_SET_1/1591994.bmp_pp69_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","49372","0.0-12.0","o8bjcubj","","","","","","","",""
"8384.599999999999","{""judgement"":0}","[0]","survey-likert","13","57758","0.0-13.0","o8bjcubj","","","","","","","","1"
"5304.949999999997","{""confidence"":1}","[0]","survey-likert","14","63064","0.0-14.0","o8bjcubj","","","","","","","",""
"","","","call-function","15","63064","0.0-15.0","o8bjcubj","","","","","","","",""
"null","","","html-keyboard-response","16","64567","0.0-16.0","o8bjcubj","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","67644","0.0-17.0","o8bjcubj","","","null","","Agent A","veridical","STIM_SET_1/1592657.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","69147","0.0-18.0","o8bjcubj","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","72268","0.0-19.0","o8bjcubj","","","null","","Agent B","scrambled","STIM_SET_1/1592657.bmp_pp98_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","20","72269","0.0-20.0","o8bjcubj","","","","","","","",""
"2220.020000000004","{""judgement"":0}","[0]","survey-likert","21","74491","0.0-21.0","o8bjcubj","","","","","","","","0"
"1660.2250000000058","{""confidence"":2}","[0]","survey-likert","22","76152","0.0-22.0","o8bjcubj","","","","","","","",""
"","","","call-function","23","76152","0.0-23.0","o8bjcubj","","","","","","","",""
"null","","","html-keyboard-response","24","77655","0.0-24.0","o8bjcubj","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","80754","0.0-25.0","o8bjcubj","","","null","","Agent A","scrambled","STIM_SET_1/286001.bmp_pp54_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","82256","0.0-26.0","o8bjcubj","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","85356","0.0-27.0","o8bjcubj","","","null","","Agent B","veridical","STIM_SET_1/286001.bmp_pp54_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","85356","0.0-28.0","o8bjcubj","","","","","","","",""
"1728.3399999999965","{""judgement"":1}","[0]","survey-likert","29","87085","0.0-29.0","o8bjcubj","","","","","","","","1"
