"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"21009.48","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","21017","0.0-0.0","ojg83n7h","","","","","","","",""
"8050.855","","","instructions","1","29070","0.0-1.0","ojg83n7h","[{""page_index"":0,""viewing_time"":8050.699999999997}]","","","","","","",""
"30321.545000000002","","","instructions","2","59393","0.0-2.0","ojg83n7h","[{""page_index"":0,""viewing_time"":16883.38},{""page_index"":1,""viewing_time"":54.520000000004075},{""page_index"":2,""viewing_time"":13383.519999999997}]","","","","","","",""
"4358.379999999997","","","instructions","3","63752","0.0-3.0","ojg83n7h","[{""page_index"":0,""viewing_time"":4358.2049999999945}]","","","","","","",""
"null","","","video-keyboard-response","4","66830","0.0-4.0","ojg83n7h","","","null","","","","",""
"22203.515","","","instructions","5","89034","0.0-5.0","ojg83n7h","[{""page_index"":0,""viewing_time"":4108.449999999997},{""page_index"":1,""viewing_time"":2400.9850000000006},{""page_index"":0,""viewing_time"":1578.7900000000081},{""page_index"":1,""viewing_time"":4863.134999999995},{""page_index"":2,""viewing_time"":9252.050000000003}]","","","","","","",""
"3066.279999999999","","","instructions","6","92101","0.0-6.0","ojg83n7h","[{""page_index"":0,""viewing_time"":3066.159999999989}]","","","","","","",""
"62.79999999998836","","","instructions","7","92164","0.0-7.0","ojg83n7h","[{""page_index"":0,""viewing_time"":62.58999999999651}]","","","","","","",""
"null","","","video-keyboard-response","8","95238","0.0-8.0","ojg83n7h","","","null","","","","",""
"17337.47","","","instructions","9","112576","0.0-9.0","ojg83n7h","[{""page_index"":0,""viewing_time"":2657.2050000000017},{""page_index"":1,""viewing_time"":5061.059999999998},{""page_index"":2,""viewing_time"":9619.074999999997}]","","","","","","",""
"3857.350000000006","","","instructions","10","116434","0.0-10.0","ojg83n7h","[{""page_index"":0,""viewing_time"":3857.2350000000006}]","","","","","","",""
"","","","call-function","11","116435","0.0-11.0","ojg83n7h","","","","","","","",""
"null","","","html-keyboard-response","12","117940","0.0-12.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","121011","0.0-13.0","ojg83n7h","","","null","","Agent A","scrambled","STIM_SET_2/1160049.bmp_pp53_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","122516","0.0-14.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","125590","0.0-15.0","ojg83n7h","","","null","","Agent B","veridical","STIM_SET_2/1160049.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","125591","0.0-16.0","ojg83n7h","","","","","","","",""
"11768.5","{""judgement"":0}","[0]","survey-likert","17","137361","0.0-17.0","ojg83n7h","","","","","","","","1"
"7115.795000000013","{""confidence"":1}","[0]","survey-likert","18","144478","0.0-18.0","ojg83n7h","","","","","","","",""
"","","","call-function","19","144478","0.0-19.0","ojg83n7h","","","","","","","",""
"null","","","html-keyboard-response","20","145983","0.0-20.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","149042","0.0-21.0","ojg83n7h","","","null","","Agent A","scrambled","STIM_SET_2/1159325.bmp_pp67_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","150546","0.0-22.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","153620","0.0-23.0","ojg83n7h","","","null","","Agent B","veridical","STIM_SET_2/1159325.bmp_pp67_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","153620","0.0-24.0","ojg83n7h","","","","","","","",""
"3696.579999999987","{""judgement"":1}","[0]","survey-likert","25","157318","0.0-25.0","ojg83n7h","","","","","","","","1"
"3524.2000000000116","{""confidence"":2}","[0]","survey-likert","26","160844","0.0-26.0","ojg83n7h","","","","","","","",""
"","","","call-function","27","160844","0.0-27.0","ojg83n7h","","","","","","","",""
"null","","","html-keyboard-response","28","162347","0.0-28.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","165419","0.0-29.0","ojg83n7h","","","null","","Agent A","veridical","STIM_SET_2/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","166921","0.0-30.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","170016","0.0-31.0","ojg83n7h","","","null","","Agent B","scrambled","STIM_SET_2/1160204.bmp_pp54_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","32","170016","0.0-32.0","ojg83n7h","","","","","","","",""
"10720.660000000003","{""judgement"":0}","[0]","survey-likert","33","180738","0.0-33.0","ojg83n7h","","","","","","","","0"
"5467.7699999999895","{""confidence"":1}","[0]","survey-likert","34","186207","0.0-34.0","ojg83n7h","","","","","","","",""
"","","","call-function","35","186207","0.0-35.0","ojg83n7h","","","","","","","",""
"null","","","html-keyboard-response","36","187710","0.0-36.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","190785","0.0-37.0","ojg83n7h","","","null","","Agent A","veridical","STIM_SET_2/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","192290","0.0-38.0","ojg83n7h","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","195364","0.0-39.0","ojg83n7h","","","null","","Agent B","scrambled","STIM_SET_2/1592025.bmp_pp68_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
