"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"64469.015","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","64476","0.0-0.0","okhto9fo","","","","","","","",""
"12599.375","","","instructions","1","77076","0.0-1.0","okhto9fo","[{""page_index"":0,""viewing_time"":12599.229999999996}]","","","","","","",""
"23440.88500000001","","","instructions","2","100518","0.0-2.0","okhto9fo","[{""page_index"":0,""viewing_time"":3116.979999999996},{""page_index"":1,""viewing_time"":10318.300000000003},{""page_index"":2,""viewing_time"":10005.48000000001}]","","","","","","",""
"2308.7550000000047","","","instructions","3","102827","0.0-3.0","okhto9fo","[{""page_index"":0,""viewing_time"":2308.649999999994}]","","","","","","",""
"null","","","video-keyboard-response","4","105904","0.0-4.0","okhto9fo","","","null","","","","",""
"12005.86","","","instructions","5","117910","0.0-5.0","okhto9fo","[{""page_index"":0,""viewing_time"":3307.6649999999936},{""page_index"":1,""viewing_time"":5543.395000000004},{""page_index"":2,""viewing_time"":3154.6900000000023}]","","","","","","",""
"2775.6449999999895","","","instructions","6","120686","0.0-6.0","okhto9fo","[{""page_index"":0,""viewing_time"":2775.5399999999936}]","","","","","","",""
"1506.729999999996","","","instructions","7","122193","0.0-7.0","okhto9fo","[{""page_index"":0,""viewing_time"":1506.5149999999994}]","","","","","","",""
"null","","","video-keyboard-response","8","125266","0.0-8.0","okhto9fo","","","null","","","","",""
"14783.99500000001","","","instructions","9","140050","0.0-9.0","okhto9fo","[{""page_index"":0,""viewing_time"":1263.9850000000006},{""page_index"":1,""viewing_time"":2895.0149999999994},{""page_index"":2,""viewing_time"":10624.86}]","","","","","","",""
"8598.825000000012","","","instructions","10","148649","0.0-10.0","okhto9fo","[{""page_index"":0,""viewing_time"":8598.705000000016}]","","","","","","",""
"","","","call-function","11","148650","0.0-11.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","12","150157","0.0-12.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","153231","0.0-13.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/1160204.bmp_pp54_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","154734","0.0-14.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","157807","0.0-15.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","157808","0.0-16.0","okhto9fo","","","","","","","",""
"2770.429999999993","{""judgement"":0}","[0]","survey-likert","17","160579","0.0-17.0","okhto9fo","","","","","","","","1"
"2891.045000000013","{""confidence"":1}","[0]","survey-likert","18","163472","0.0-18.0","okhto9fo","","","","","","","",""
"","","","call-function","19","163472","0.0-19.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","20","164976","0.0-20.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","168066","0.0-21.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/1592567.bmp_pp70_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","169568","0.0-22.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","172632","0.0-23.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","172632","0.0-24.0","okhto9fo","","","","","","","",""
"2804.4400000000023","{""judgement"":1}","[0]","survey-likert","25","175438","0.0-25.0","okhto9fo","","","","","","","","1"
"2172.9100000000035","{""confidence"":2}","[0]","survey-likert","26","177612","0.0-26.0","okhto9fo","","","","","","","",""
"","","","call-function","27","177612","0.0-27.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","28","179114","0.0-28.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","182213","0.0-29.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/713689.bmp_pp153_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","183718","0.0-30.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","186815","0.0-31.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/713689.bmp_pp153_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","186816","0.0-32.0","okhto9fo","","","","","","","",""
"5203.664999999979","{""judgement"":0}","[0]","survey-likert","33","192021","0.0-33.0","okhto9fo","","","","","","","","1"
"1793.0249999999942","{""confidence"":2}","[0]","survey-likert","34","193816","0.0-34.0","okhto9fo","","","","","","","",""
"","","","call-function","35","193817","0.0-35.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","36","195322","0.0-36.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","198398","0.0-37.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/1592530.bmp_pp75_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","199904","0.0-38.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","202978","0.0-39.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/1592530.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","40","202979","0.0-40.0","okhto9fo","","","","","","","",""
"3149.015000000014","{""judgement"":1}","[0]","survey-likert","41","206129","0.0-41.0","okhto9fo","","","","","","","","1"
"3519.889999999985","{""confidence"":0}","[0]","survey-likert","42","209650","0.0-42.0","okhto9fo","","","","","","","",""
"","","","call-function","43","209651","0.0-43.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","44","211154","0.0-44.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","214212","0.0-45.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/1159325.bmp_pp67_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","46","215716","0.0-46.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","218778","0.0-47.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/1159325.bmp_pp67_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","48","218779","0.0-48.0","okhto9fo","","","","","","","",""
"3701.0650000000023","{""judgement"":1}","[0]","survey-likert","49","222481","0.0-49.0","okhto9fo","","","","","","","","1"
"1698.1049999999814","{""confidence"":2}","[0]","survey-likert","50","224180","0.0-50.0","okhto9fo","","","","","","","",""
"","","","call-function","51","224180","0.0-51.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","52","225681","0.0-52.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","53","228782","0.0-53.0","okhto9fo","","","null","","Agent A","veridical","STIM_SET_2/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","54","230285","0.0-54.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","55","233388","0.0-55.0","okhto9fo","","","null","","Agent B","scrambled","STIM_SET_2/498372.bmp_pp95_L2_V1_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","56","233388","0.0-56.0","okhto9fo","","","","","","","",""
"3956.9499999999825","{""judgement"":1}","[0]","survey-likert","57","237346","0.0-57.0","okhto9fo","","","","","","","","0"
"3236.9649999999965","{""confidence"":0}","[0]","survey-likert","58","240584","0.0-58.0","okhto9fo","","","","","","","",""
"","","","call-function","59","240585","0.0-59.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","60","242086","0.0-60.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","61","245186","0.0-61.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/1592201.bmp_pp97_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","62","246692","0.0-62.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","63","249793","0.0-63.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/1592201.bmp_pp97_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","64","249793","0.0-64.0","okhto9fo","","","","","","","",""
"4431.479999999981","{""judgement"":0}","[0]","survey-likert","65","254225","0.0-65.0","okhto9fo","","","","","","","","1"
"2208.1849999999977","{""confidence"":0}","[0]","survey-likert","66","256435","0.0-66.0","okhto9fo","","","","","","","",""
"","","","call-function","67","256435","0.0-67.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","68","257936","0.0-68.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","69","261038","0.0-69.0","okhto9fo","","","null","","Agent A","veridical","STIM_SET_2/1592044.bmp_pp94_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","70","262540","0.0-70.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","71","265609","0.0-71.0","okhto9fo","","","null","","Agent B","scrambled","STIM_SET_2/1592044.bmp_pp94_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","72","265610","0.0-72.0","okhto9fo","","","","","","","",""
"2386.7000000000116","{""judgement"":0}","[0]","survey-likert","73","267997","0.0-73.0","okhto9fo","","","","","","","","0"
"4212.494999999995","{""confidence"":2}","[0]","survey-likert","74","272211","0.0-74.0","okhto9fo","","","","","","","",""
"","","","call-function","75","272211","0.0-75.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","76","273717","0.0-76.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","77","276786","0.0-77.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/1592017.bmp_pp154_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","78","278290","0.0-78.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","79","281358","0.0-79.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","80","281359","0.0-80.0","okhto9fo","","","","","","","",""
"1932.9349999999977","{""judgement"":1}","[0]","survey-likert","81","283293","0.0-81.0","okhto9fo","","","","","","","","1"
"2042.0800000000163","{""confidence"":3}","[0]","survey-likert","82","285336","0.0-82.0","okhto9fo","","","","","","","",""
"","","","call-function","83","285336","0.0-83.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","84","286838","0.0-84.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","85","289912","0.0-85.0","okhto9fo","","","null","","Agent A","veridical","STIM_SET_2/1592038.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","86","291417","0.0-86.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","87","294511","0.0-87.0","okhto9fo","","","null","","Agent B","scrambled","STIM_SET_2/1592038.bmp_pp79_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","88","294511","0.0-88.0","okhto9fo","","","","","","","",""
"2430.179999999993","{""judgement"":0}","[0]","survey-likert","89","296943","0.0-89.0","okhto9fo","","","","","","","","0"
"2392.8099999999977","{""confidence"":1}","[0]","survey-likert","90","299337","0.0-90.0","okhto9fo","","","","","","","",""
"142032.315","","","instructions","91","441370","0.0-91.0","okhto9fo","[{""page_index"":0,""viewing_time"":1237.0299999999697},{""page_index"":1,""viewing_time"":139066.95},{""page_index"":2,""viewing_time"":1728.054999999993}]","","","","","","",""
"5856.304999999993","","","instructions","92","447227","0.0-92.0","okhto9fo","[{""page_index"":0,""viewing_time"":940.2149999999674},{""page_index"":1,""viewing_time"":3986.0950000000303},{""page_index"":2,""viewing_time"":929.8850000000093}]","","","","","","",""
"","","","call-function","93","447227","0.0-93.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","94","448732","0.0-94.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","95","451814","0.0-95.0","okhto9fo","","","null","","Agent A","scrambled","STIM_SET_2/1159592.bmp_pp91_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","96","453316","0.0-96.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","97","456397","0.0-97.0","okhto9fo","","","null","","Agent B","veridical","STIM_SET_2/1159592.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","98","456397","0.0-98.0","okhto9fo","","","","","","","",""
"3218.2449999999953","{""judgement"":1}","[0]","survey-likert","99","459616","0.0-99.0","okhto9fo","","","","","","","","1"
"1466.1849999999977","{""confidence"":2}","[0]","survey-likert","100","461083","0.0-100.0","okhto9fo","","","","","","","",""
"","","","call-function","101","461084","0.0-101.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","102","462586","0.0-102.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","103","465661","0.0-103.0","okhto9fo","","","null","","Agent A","veridical","STIM_SET_2/1159973.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","104","467162","0.0-104.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","105","470233","0.0-105.0","okhto9fo","","","null","","Agent B","scrambled","STIM_SET_2/1159973.bmp_pp98_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","106","470235","0.0-106.0","okhto9fo","","","","","","","",""
"2235.2600000000093","{""judgement"":0}","[0]","survey-likert","107","472471","0.0-107.0","okhto9fo","","","","","","","","0"
"1846.414999999979","{""confidence"":2}","[0]","survey-likert","108","474318","0.0-108.0","okhto9fo","","","","","","","",""
"","","","call-function","109","474319","0.0-109.0","okhto9fo","","","","","","","",""
"null","","","html-keyboard-response","110","475821","0.0-110.0","okhto9fo","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
