"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"8749.449999999999","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","8759","0.0-0.0","opvszfeg","","","","","","","",""
"530252.88","","","instructions","1","539015","0.0-1.0","opvszfeg","[{""page_index"":0,""viewing_time"":530252.33}]","","","","","","",""
"10952.905000000028","","","instructions","2","549969","0.0-2.0","opvszfeg","[{""page_index"":0,""viewing_time"":4686.984999999986},{""page_index"":1,""viewing_time"":1303.795000000042},{""page_index"":2,""viewing_time"":4962}]","","","","","","",""
"3086.7200000000885","","","instructions","3","553057","0.0-3.0","opvszfeg","[{""page_index"":0,""viewing_time"":3086.6199999999953}]","","","","","","",""
"null","","","video-keyboard-response","4","556134","0.0-4.0","opvszfeg","","","null","","","","",""
"8109.784999999916","","","instructions","5","564245","0.0-5.0","opvszfeg","[{""page_index"":0,""viewing_time"":2617.7449999999953},{""page_index"":1,""viewing_time"":2415.0200000000186},{""page_index"":2,""viewing_time"":3076.914999999921}]","","","","","","",""
"2431.555000000051","","","instructions","6","566677","0.0-6.0","opvszfeg","[{""page_index"":0,""viewing_time"":2431.45000000007}]","","","","","","",""
"4639.5","","","instructions","7","571317","0.0-7.0","opvszfeg","[{""page_index"":0,""viewing_time"":4639.290000000037}]","","","","","","",""
"null","","","video-keyboard-response","8","574394","0.0-8.0","opvszfeg","","","null","","","","",""
"11092.795000000042","","","instructions","9","585488","0.0-9.0","opvszfeg","[{""page_index"":0,""viewing_time"":1601.875},{""page_index"":1,""viewing_time"":5045.834999999963},{""page_index"":2,""viewing_time"":4444.925000000047}]","","","","","","",""
"5882.5650000000605","","","instructions","10","591371","0.0-10.0","opvszfeg","[{""page_index"":0,""viewing_time"":5882.445000000065}]","","","","","","",""
"","","","call-function","11","591372","0.0-11.0","opvszfeg","","","","","","","",""
"null","","","html-keyboard-response","12","592874","0.0-12.0","opvszfeg","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","595949","0.0-13.0","opvszfeg","","","null","","Agent A","veridical","STIM_SET_2_144/1592921.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","597452","0.0-14.0","opvszfeg","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","600524","0.0-15.0","opvszfeg","","","null","","Agent B","scrambled","STIM_SET_5/1592921.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","600525","0.0-16.0","opvszfeg","","","","","","","",""
"3166.234999999986","{""judgement"":0}","[0]","survey-likert","17","603693","0.0-17.0","opvszfeg","","","","","","","","0"
"4331.530000000028","{""confidence"":1}","[0]","survey-likert","18","608026","0.0-18.0","opvszfeg","","","","","","","",""
"","","","call-function","19","608026","0.0-19.0","opvszfeg","","","","","","","",""
"null","","","html-keyboard-response","20","609528","0.0-20.0","opvszfeg","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","612620","0.0-21.0","opvszfeg","","","null","","Agent A","scrambled","STIM_SET_5/713770.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
