"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"42943.835","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","42951","0.0-0.0","ow3vo1cr","","","","","","","",""
"26262.615000000005","","","instructions","1","69215","0.0-1.0","ow3vo1cr","[{""page_index"":0,""viewing_time"":26262.460000000006}]","","","","","","",""
"16857.75","","","instructions","2","86074","0.0-2.0","ow3vo1cr","[{""page_index"":0,""viewing_time"":9488.634999999995},{""page_index"":1,""viewing_time"":2132.0550000000076},{""page_index"":2,""viewing_time"":5236.940000000002}]","","","","","","",""
"1850.4850000000006","","","instructions","3","87925","0.0-3.0","ow3vo1cr","[{""page_index"":0,""viewing_time"":1850.3800000000047}]","","","","","","",""
"null","","","video-keyboard-response","4","91008","0.0-4.0","ow3vo1cr","","","null","","","","",""
"14247.12000000001","","","instructions","5","105255","0.0-5.0","ow3vo1cr","[{""page_index"":0,""viewing_time"":2501.8250000000116},{""page_index"":1,""viewing_time"":2865.9449999999924},{""page_index"":2,""viewing_time"":819.0449999999983},{""page_index"":3,""viewing_time"":4056.8600000000006},{""page_index"":4,""viewing_time"":4003.3150000000023}]","","","","","","",""
"7840.395000000004","","","instructions","6","113096","0.0-6.0","ow3vo1cr","[{""page_index"":0,""viewing_time"":7840.270000000004}]","","","","","","",""
"","","","call-function","7","113097","0.0-7.0","ow3vo1cr","","","","","","","",""
"null","","","html-keyboard-response","8","114603","0.0-8.0","ow3vo1cr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","117683","0.0-9.0","ow3vo1cr","","","null","","Agent A","scrambled","STIM_SET_1/1592807.bmp_pp68_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","119188","0.0-10.0","ow3vo1cr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","122269","0.0-11.0","ow3vo1cr","","","null","","Agent B","veridical","STIM_SET_1/1592807.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","122270","0.0-12.0","ow3vo1cr","","","","","","","",""
"8301.37000000001","{""judgement"":0}","[0]","survey-likert","13","130573","0.0-13.0","ow3vo1cr","","","","","","","","1"
"4647.9499999999825","{""confidence"":1}","[0]","survey-likert","14","135222","0.0-14.0","ow3vo1cr","","","","","","","",""
"","","","call-function","15","135223","0.0-15.0","ow3vo1cr","","","","","","","",""
"null","","","html-keyboard-response","16","136725","0.0-16.0","ow3vo1cr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","139808","0.0-17.0","ow3vo1cr","","","null","","Agent A","scrambled","STIM_SET_1/1159675.bmp_pp77_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","141310","0.0-18.0","ow3vo1cr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","144393","0.0-19.0","ow3vo1cr","","","null","","Agent B","veridical","STIM_SET_1/1159675.bmp_pp77_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","20","144394","0.0-20.0","ow3vo1cr","","","","","","","",""
"6980.8949999999895","{""judgement"":0}","[0]","survey-likert","21","151376","0.0-21.0","ow3vo1cr","","","","","","","","1"
"1892.3450000000012","{""confidence"":2}","[0]","survey-likert","22","153270","0.0-22.0","ow3vo1cr","","","","","","","",""
"","","","call-function","23","153270","0.0-23.0","ow3vo1cr","","","","","","","",""
"null","","","html-keyboard-response","24","154771","0.0-24.0","ow3vo1cr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","157849","0.0-25.0","ow3vo1cr","","","null","","Agent A","scrambled","STIM_SET_1/713017.bmp_pp152_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","159352","0.0-26.0","ow3vo1cr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","162429","0.0-27.0","ow3vo1cr","","","null","","Agent B","veridical","STIM_SET_1/713017.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","162430","0.0-28.0","ow3vo1cr","","","","","","","",""
"2626.8399999999965","{""judgement"":0}","[0]","survey-likert","29","165058","0.0-29.0","ow3vo1cr","","","","","","","","1"
"2524.4100000000035","{""confidence"":1}","[0]","survey-likert","30","167583","0.0-30.0","ow3vo1cr","","","","","","","",""
"","","","call-function","31","167584","0.0-31.0","ow3vo1cr","","","","","","","",""
