"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"18488.190000000002","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","18546","0.0-0.0","oy5a3mcb","","","","","","","",""
"14078.135000000002","","","instructions","1","32626","0.0-1.0","oy5a3mcb","[{""page_index"":0,""viewing_time"":14077.965000000004}]","","","","","","",""
"7261.93","","","instructions","2","39890","0.0-2.0","oy5a3mcb","[{""page_index"":0,""viewing_time"":903.6800000000003},{""page_index"":1,""viewing_time"":2081.875},{""page_index"":2,""viewing_time"":4276.239999999998}]","","","","","","",""
"1561.4749999999985","","","instructions","3","41453","0.0-3.0","oy5a3mcb","[{""page_index"":0,""viewing_time"":1561.3550000000032}]","","","","","","",""
"null","","","video-keyboard-response","4","44533","0.0-4.0","oy5a3mcb","","","null","","","","",""
"10728.43","","","instructions","5","55263","0.0-5.0","oy5a3mcb","[{""page_index"":0,""viewing_time"":2445.0149999999994},{""page_index"":1,""viewing_time"":1926.280000000006},{""page_index"":2,""viewing_time"":1114.844999999994},{""page_index"":3,""viewing_time"":2186.8350000000064},{""page_index"":4,""viewing_time"":3055.3050000000003}]","","","","","","",""
"7332.125","","","instructions","6","62597","0.0-6.0","oy5a3mcb","[{""page_index"":0,""viewing_time"":7331.9649999999965}]","","","","","","",""
"","","","call-function","7","62599","0.0-7.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","8","64102","0.0-8.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","66951","0.0-9.0","oy5a3mcb","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/285751.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","10","68452","0.0-10.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","71365","0.0-11.0","oy5a3mcb","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/285751.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","71367","0.0-12.0","oy5a3mcb","","","","","","","",""
"3163.5449999999983","{""judgement"":1}","[0]","survey-likert","13","74531","0.0-13.0","oy5a3mcb","","","","","","","","1"
"2768.3650000000052","{""confidence"":2}","[0]","survey-likert","14","77302","0.0-14.0","oy5a3mcb","","","","","","","",""
"","","","call-function","15","77303","0.0-15.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","16","78805","0.0-16.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","81691","0.0-17.0","oy5a3mcb","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1591961.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","83195","0.0-18.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","86057","0.0-19.0","oy5a3mcb","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1591961.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","86058","0.0-20.0","oy5a3mcb","","","","","","","",""
"1786.5350000000035","{""judgement"":0}","[0]","survey-likert","21","87847","0.0-21.0","oy5a3mcb","","","","","","","","0"
"1140.4000000000087","{""confidence"":1}","[0]","survey-likert","22","88990","0.0-22.0","oy5a3mcb","","","","","","","",""
"","","","call-function","23","88992","0.0-23.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","24","90493","0.0-24.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","93361","0.0-25.0","oy5a3mcb","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1159882.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","26","94874","0.0-26.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","97750","0.0-27.0","oy5a3mcb","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1159882.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","97752","0.0-28.0","oy5a3mcb","","","","","","","",""
"2610.12999999999","{""judgement"":1}","[0]","survey-likert","29","100364","0.0-29.0","oy5a3mcb","","","","","","","","1"
"1198.6399999999994","{""confidence"":2}","[0]","survey-likert","30","101565","0.0-30.0","oy5a3mcb","","","","","","","",""
"","","","call-function","31","101566","0.0-31.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","32","103073","0.0-32.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","105616","0.0-33.0","oy5a3mcb","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","107121","0.0-34.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","109669","0.0-35.0","oy5a3mcb","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","36","109671","0.0-36.0","oy5a3mcb","","","","","","","",""
"1484.5449999999983","{""judgement"":1}","[0]","survey-likert","37","111157","0.0-37.0","oy5a3mcb","","","","","","","","0"
"1748.8500000000058","{""confidence"":1}","[0]","survey-likert","38","112908","0.0-38.0","oy5a3mcb","","","","","","","",""
"","","","call-function","39","112910","0.0-39.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","40","114411","0.0-40.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","116955","0.0-41.0","oy5a3mcb","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1591876.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","118457","0.0-42.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","121023","0.0-43.0","oy5a3mcb","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1591876.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","44","121024","0.0-44.0","oy5a3mcb","","","","","","","",""
"2022.8699999999953","{""judgement"":0}","[0]","survey-likert","45","123048","0.0-45.0","oy5a3mcb","","","","","","","","0"
"2613.1849999999977","{""confidence"":3}","[0]","survey-likert","46","125664","0.0-46.0","oy5a3mcb","","","","","","","",""
"","","","call-function","47","125665","0.0-47.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","48","127168","0.0-48.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","129983","0.0-49.0","oy5a3mcb","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1159784.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","50","131486","0.0-50.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","134304","0.0-51.0","oy5a3mcb","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1159784.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","134305","0.0-52.0","oy5a3mcb","","","","","","","",""
"2148.7699999999895","{""judgement"":0}","[0]","survey-likert","53","136455","0.0-53.0","oy5a3mcb","","","","","","","","1"
"1066.1350000000093","{""confidence"":1}","[0]","survey-likert","54","137523","0.0-54.0","oy5a3mcb","","","","","","","",""
"","","","call-function","55","137524","0.0-55.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","56","139029","0.0-56.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","141648","0.0-57.0","oy5a3mcb","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592397.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","58","143153","0.0-58.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","145835","0.0-59.0","oy5a3mcb","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592397.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","60","145836","0.0-60.0","oy5a3mcb","","","","","","","",""
"1656.0849999999919","{""judgement"":0}","[0]","survey-likert","61","147493","0.0-61.0","oy5a3mcb","","","","","","","","1"
"1424.7149999999965","{""confidence"":2}","[0]","survey-likert","62","148920","0.0-62.0","oy5a3mcb","","","","","","","",""
"","","","call-function","63","148921","0.0-63.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","64","150437","0.0-64.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","153184","0.0-65.0","oy5a3mcb","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","66","154690","0.0-66.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","157371","0.0-67.0","oy5a3mcb","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","68","157372","0.0-68.0","oy5a3mcb","","","","","","","",""
"1296.8800000000047","{""judgement"":0}","[0]","survey-likert","69","158670","0.0-69.0","oy5a3mcb","","","","","","","","1"
"1692.1600000000035","{""confidence"":3}","[0]","survey-likert","70","160364","0.0-70.0","oy5a3mcb","","","","","","","",""
"","","","call-function","71","160366","0.0-71.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","72","161868","0.0-72.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","164507","0.0-73.0","oy5a3mcb","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/61537.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","74","166011","0.0-74.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","168624","0.0-75.0","oy5a3mcb","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/61537.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","76","168625","0.0-76.0","oy5a3mcb","","","","","","","",""
"1393.710000000021","{""judgement"":1}","[0]","survey-likert","77","170034","0.0-77.0","oy5a3mcb","","","","","","","","1"
"1306.9349999999977","{""confidence"":3}","[0]","survey-likert","78","171343","0.0-78.0","oy5a3mcb","","","","","","","",""
"","","","call-function","79","171345","0.0-79.0","oy5a3mcb","","","","","","","",""
"null","","","html-keyboard-response","80","172845","0.0-80.0","oy5a3mcb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
