,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,ID,view_history,key_press,stimulus,agent,condition,image,correct_answer,proportion_correct
0,14336.055,"{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}",[0],survey-multi-select,0,14344,0.0-0.0,g7w9ueww,,,,,,,,
1,169732.62,,,instructions,1,184079,0.0-1.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":169732.465}]",,,,,,,
2,13989.140000000000,,,instructions,2,198068,0.0-2.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":5775.924999999988},{""page_index"":1,""viewing_time"":1629.0350000000035},{""page_index"":2,""viewing_time"":6584.054999999993}]",,,,,,,
3,3005.375,,,instructions,3,201074,0.0-3.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":3005.2699999999895}]",,,,,,,
4,Nothing,,,video-keyboard-response,4,204150,0.0-4.0,g7w9ueww,,Nothing,,,,,,
5,13426.090000000000,,,instructions,5,217576,0.0-5.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":4455.985000000015},{""page_index"":1,""viewing_time"":2825.929999999993},{""page_index"":2,""viewing_time"":6144.070000000007}]",,,,,,,
6,3546.540000000010,,,instructions,6,221123,0.0-6.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":3546.4349999999977}]",,,,,,,
7,2011.7800000000000,,,instructions,7,223135,0.0-7.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":2011.5599999999977}]",,,,,,,
8,Nothing,,,video-keyboard-response,8,226214,0.0-8.0,g7w9ueww,,Nothing,,,,,,
9,17084.875,,,instructions,9,243299,0.0-9.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":1313.8249999999825},{""page_index"":1,""viewing_time"":4271.995000000024},{""page_index"":2,""viewing_time"":11498.919999999984}]",,,,,,,
10,4961.679999999990,,,instructions,10,248261,0.0-10.0,g7w9ueww,"[{""page_index"":0,""viewing_time"":4961.559999999998}]",,,,,,,
11,,,,call-function,11,248262,0.0-11.0,g7w9ueww,,,,,,,,
12,Nothing,,,html-keyboard-response,12,249766,0.0-12.0,g7w9ueww,,Nothing,['Agent A'],,,,,
13,Nothing,,,video-keyboard-response,13,252836,0.0-13.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/1592567.bmp_pp70_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
14,Nothing,,,html-keyboard-response,14,254341,0.0-14.0,g7w9ueww,,Nothing,['Agent B'],,,,,
15,Nothing,,,video-keyboard-response,15,257411,0.0-15.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue.mp4,,
16,,,,call-function,16,257411,0.0-16.0,g7w9ueww,,,,,,,,
17,10481.035000000000,"{""judgement"":0}",[0],survey-likert,17,267894,0.0-17.0,g7w9ueww,,,,,,,1.0,0
18,4173.885000000010,"{""confidence"":0}",[0],survey-likert,18,272069,0.0-18.0,g7w9ueww,,,,,,,,
19,,,,call-function,19,272069,0.0-19.0,g7w9ueww,,,,,,,,
20,Nothing,,,html-keyboard-response,20,273571,0.0-20.0,g7w9ueww,,Nothing,['Agent A'],,,,,
21,Nothing,,,video-keyboard-response,21,276649,0.0-21.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/285959.bmp_pp93_L1_V1.0_scrambled_freeview_isoTrue.mp4,,
22,Nothing,,,html-keyboard-response,22,278150,0.0-22.0,g7w9ueww,,Nothing,['Agent B'],,,,,
23,Nothing,,,video-keyboard-response,23,281258,0.0-23.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/285959.bmp_pp93_L1_V1.0_veridical_freeview_isoTrue.mp4,,
24,,,,call-function,24,281258,0.0-24.0,g7w9ueww,,,,,,,,
25,3260.024999999970,"{""judgement"":0}",[0],survey-likert,25,284519,0.0-25.0,g7w9ueww,,,,,,,1.0,0
26,2058.5800000000200,"{""confidence"":1}",[0],survey-likert,26,286579,0.0-26.0,g7w9ueww,,,,,,,,
27,,,,call-function,27,286579,0.0-27.0,g7w9ueww,,,,,,,,
28,Nothing,,,html-keyboard-response,28,288081,0.0-28.0,g7w9ueww,,Nothing,['Agent A'],,,,,
29,Nothing,,,video-keyboard-response,29,291159,0.0-29.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/1592568.bmp_pp71_L1_V1.0_scrambled_freeview_isoTrue.mp4,,
30,Nothing,,,html-keyboard-response,30,292666,0.0-30.0,g7w9ueww,,Nothing,['Agent B'],,,,,
31,Nothing,,,video-keyboard-response,31,295731,0.0-31.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/1592568.bmp_pp71_L1_V1.0_veridical_freeview_isoTrue.mp4,,
32,,,,call-function,32,295732,0.0-32.0,g7w9ueww,,,,,,,,
33,3907.1350000000100,"{""judgement"":0}",[0],survey-likert,33,299640,0.0-33.0,g7w9ueww,,,,,,,1.0,0
34,3531.945000000010,"{""confidence"":2}",[0],survey-likert,34,303173,0.0-34.0,g7w9ueww,,,,,,,,
35,,,,call-function,35,303173,0.0-35.0,g7w9ueww,,,,,,,,
36,Nothing,,,html-keyboard-response,36,304674,0.0-36.0,g7w9ueww,,Nothing,['Agent A'],,,,,
37,Nothing,,,video-keyboard-response,37,307775,0.0-37.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/107955.bmp_pp90_L2_V1.0_veridical_freeview_isoTrue.mp4,,
38,Nothing,,,html-keyboard-response,38,309277,0.0-38.0,g7w9ueww,,Nothing,['Agent B'],,,,,
39,Nothing,,,video-keyboard-response,39,312334,0.0-39.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/107955.bmp_pp90_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
40,,,,call-function,40,312334,0.0-40.0,g7w9ueww,,,,,,,,
41,3086.570000000010,"{""judgement"":1}",[0],survey-likert,41,315422,0.0-41.0,g7w9ueww,,,,,,,0.0,0
42,2237.015000000010,"{""confidence"":1}",[0],survey-likert,42,317660,0.0-42.0,g7w9ueww,,,,,,,,
43,,,,call-function,43,317660,0.0-43.0,g7w9ueww,,,,,,,,
44,Nothing,,,html-keyboard-response,44,319163,0.0-44.0,g7w9ueww,,Nothing,['Agent A'],,,,,
45,Nothing,,,video-keyboard-response,45,322229,0.0-45.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1592314.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue.mp4,,
46,Nothing,,,html-keyboard-response,46,323735,0.0-46.0,g7w9ueww,,Nothing,['Agent B'],,,,,
47,Nothing,,,video-keyboard-response,47,326801,0.0-47.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1592314.bmp_pp100_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
48,,,,call-function,48,326802,0.0-48.0,g7w9ueww,,,,,,,,
49,5123.575000000010,"{""judgement"":0}",[0],survey-likert,49,331927,0.0-49.0,g7w9ueww,,,,,,,0.0,1
50,1280.1149999999900,"{""confidence"":0}",[0],survey-likert,50,333209,0.0-50.0,g7w9ueww,,,,,,,,
51,,,,call-function,51,333210,0.0-51.0,g7w9ueww,,,,,,,,
52,Nothing,,,html-keyboard-response,52,334714,0.0-52.0,g7w9ueww,,Nothing,['Agent A'],,,,,
53,Nothing,,,video-keyboard-response,53,337792,0.0-53.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/1159592.bmp_pp91_L3_V1.0_scrambled_freeview_isoTrue.mp4,,
54,Nothing,,,html-keyboard-response,54,339297,0.0-54.0,g7w9ueww,,Nothing,['Agent B'],,,,,
55,Nothing,,,video-keyboard-response,55,342376,0.0-55.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/1159592.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue.mp4,,
56,,,,call-function,56,342376,0.0-56.0,g7w9ueww,,,,,,,,
57,3944.875,"{""judgement"":1}",[0],survey-likert,57,346322,0.0-57.0,g7w9ueww,,,,,,,1.0,1
58,2454.045000000040,"{""confidence"":1}",[0],survey-likert,58,348777,0.0-58.0,g7w9ueww,,,,,,,,
59,,,,call-function,59,348777,0.0-59.0,g7w9ueww,,,,,,,,
60,Nothing,,,html-keyboard-response,60,350282,0.0-60.0,g7w9ueww,,Nothing,['Agent A'],,,,,
61,Nothing,,,video-keyboard-response,61,353358,0.0-61.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/1591781.bmp_pp63_L1_V1.0_veridical_freeview_isoTrue.mp4,,
62,Nothing,,,html-keyboard-response,62,354865,0.0-62.0,g7w9ueww,,Nothing,['Agent B'],,,,,
63,Nothing,,,video-keyboard-response,63,357946,0.0-63.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/1591781.bmp_pp63_L1_V1.0_scrambled_freeview_isoTrue.mp4,,
64,,,,call-function,64,357947,0.0-64.0,g7w9ueww,,,,,,,,
65,3008.2849999999700,"{""judgement"":1}",[0],survey-likert,65,360956,0.0-65.0,g7w9ueww,,,,,,,0.0,0
66,1887.7050000000200,"{""confidence"":1}",[0],survey-likert,66,362844,0.0-66.0,g7w9ueww,,,,,,,,
67,,,,call-function,67,362845,0.0-67.0,g7w9ueww,,,,,,,,
68,Nothing,,,html-keyboard-response,68,364348,0.0-68.0,g7w9ueww,,Nothing,['Agent A'],,,,,
69,Nothing,,,video-keyboard-response,69,367455,0.0-69.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/713790.bmp_pp100_L3_V1_veridical_freeview_isoTrue.mp4,,
70,Nothing,,,html-keyboard-response,70,368957,0.0-70.0,g7w9ueww,,Nothing,['Agent B'],,,,,
71,Nothing,,,video-keyboard-response,71,372067,0.0-71.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/713790.bmp_pp100_L3_V1_scrambled_freeview_isoTrue.mp4,,
72,,,,call-function,72,372067,0.0-72.0,g7w9ueww,,,,,,,,
73,8003.429999999990,"{""judgement"":0}",[0],survey-likert,73,380072,0.0-73.0,g7w9ueww,,,,,,,0.0,1
74,1277.5699999999500,"{""confidence"":1}",[0],survey-likert,74,381350,0.0-74.0,g7w9ueww,,,,,,,,
75,,,,call-function,75,381350,0.0-75.0,g7w9ueww,,,,,,,,
76,Nothing,,,html-keyboard-response,76,382856,0.0-76.0,g7w9ueww,,Nothing,['Agent A'],,,,,
77,Nothing,,,video-keyboard-response,77,385953,0.0-77.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/1592038.bmp_pp79_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
78,Nothing,,,html-keyboard-response,78,387458,0.0-78.0,g7w9ueww,,Nothing,['Agent B'],,,,,
79,Nothing,,,video-keyboard-response,79,390554,0.0-79.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/1592038.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue.mp4,,
80,,,,call-function,80,390554,0.0-80.0,g7w9ueww,,,,,,,,
81,4346.865000000050,"{""judgement"":1}",[0],survey-likert,81,394902,0.0-81.0,g7w9ueww,,,,,,,1.0,1
82,3555.3400000000300,"{""confidence"":2}",[0],survey-likert,82,398458,0.0-82.0,g7w9ueww,,,,,,,,
83,,,,call-function,83,398458,0.0-83.0,g7w9ueww,,,,,,,,
