"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"34390.445","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","34400","0.0-0.0","q2nkmydt","","","","","","","",""
"11214.049999999996","","","instructions","1","45615","0.0-1.0","q2nkmydt","[{""page_index"":0,""viewing_time"":11213.894999999997}]","","","","","","",""
"8139.175000000003","{""Age"":1,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","53756","0.0-2.0","q2nkmydt","","","","","","","",""
"14050.349999999999","","","instructions","3","67807","0.0-3.0","q2nkmydt","[{""page_index"":0,""viewing_time"":9426.36},{""page_index"":1,""viewing_time"":1398.9249999999956},{""page_index"":2,""viewing_time"":3224.949999999997}]","","","","","","",""
"2478.6100000000006","","","instructions","4","70286","0.0-4.0","q2nkmydt","[{""page_index"":0,""viewing_time"":2478.5100000000093}]","","","","","","",""
"null","","","video-keyboard-response","5","73359","0.0-5.0","q2nkmydt","","","null","","","","",""
"17316.339999999997","","","instructions","6","90676","0.0-6.0","q2nkmydt","[{""page_index"":0,""viewing_time"":6663.595000000001},{""page_index"":1,""viewing_time"":3317.524999999994},{""page_index"":2,""viewing_time"":7335.119999999995}]","","","","","","",""
"4256.485000000001","","","instructions","7","94932","0.0-7.0","q2nkmydt","[{""page_index"":0,""viewing_time"":4256.37000000001}]","","","","","","",""
"1008.6849999999977","","","instructions","8","95942","0.0-8.0","q2nkmydt","[{""page_index"":0,""viewing_time"":1008.4600000000064}]","","","","","","",""
"null","","","video-keyboard-response","9","99013","0.0-9.0","q2nkmydt","","","null","","","","",""
"11483","","","instructions","10","110497","0.0-10.0","q2nkmydt","[{""page_index"":0,""viewing_time"":1291.9949999999953},{""page_index"":1,""viewing_time"":2820.949999999997},{""page_index"":2,""viewing_time"":7369.919999999998}]","","","","","","",""
"3364.1900000000023","","","instructions","11","113861","0.0-11.0","q2nkmydt","[{""page_index"":0,""viewing_time"":3364.0800000000017}]","","","","","","",""
"","","","call-function","12","113862","0.0-12.0","q2nkmydt","","","","","","","",""
"null","","","html-keyboard-response","13","115365","0.0-13.0","q2nkmydt","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","118170","0.0-14.0","q2nkmydt","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1591920.bmp_pp97_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","15","119676","0.0-15.0","q2nkmydt","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","122482","0.0-16.0","q2nkmydt","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1591920.bmp_pp97_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","17","122483","0.0-17.0","q2nkmydt","","","","","","","",""
"4603.690000000002","{""judgement"":0}","[0]","survey-likert","18","127088","0.0-18.0","q2nkmydt","","","","","","","","1"
"1266.0950000000012","{""confidence"":0}","[0]","survey-likert","19","128356","0.0-19.0","q2nkmydt","","","","","","","",""
"","","","call-function","20","128356","0.0-20.0","q2nkmydt","","","","","","","",""
"null","","","html-keyboard-response","21","129861","0.0-21.0","q2nkmydt","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","132652","0.0-22.0","q2nkmydt","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592305.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
