"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"32747.045000000002","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","32756","0.0-0.0","qfh1j7q9","","","","","","","",""
"34714.765","","","instructions","1","67473","0.0-1.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":34714.56}]","","","","","","",""
"9675.725000000006","","","instructions","2","77149","0.0-2.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":4739.820000000007},{""page_index"":1,""viewing_time"":864.7700000000041},{""page_index"":2,""viewing_time"":4071.0149999999994}]","","","","","","",""
"7934.299999999988","","","instructions","3","85084","0.0-3.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":7934.194999999992}]","","","","","","",""
"null","","","video-keyboard-response","4","88162","0.0-4.0","qfh1j7q9","","","null","","","","",""
"11942.675000000003","","","instructions","5","100105","0.0-5.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":2123.570000000007},{""page_index"":1,""viewing_time"":2102.4199999999983},{""page_index"":0,""viewing_time"":753.7050000000017},{""page_index"":1,""viewing_time"":1517.9400000000023},{""page_index"":2,""viewing_time"":5444.934999999998}]","","","","","","",""
"4102.470000000001","","","instructions","6","104208","0.0-6.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":4102.354999999996}]","","","","","","",""
"1019.5349999999889","","","instructions","7","105228","0.0-7.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":1019.3450000000012}]","","","","","","",""
"null","","","video-keyboard-response","8","108302","0.0-8.0","qfh1j7q9","","","null","","","","",""
"10754.099999999991","","","instructions","9","119056","0.0-9.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":1594.229999999996},{""page_index"":1,""viewing_time"":3695.9149999999936},{""page_index"":2,""viewing_time"":5463.820000000007}]","","","","","","",""
"1901.3600000000006","","","instructions","10","120959","0.0-10.0","qfh1j7q9","[{""page_index"":0,""viewing_time"":1901.2449999999953}]","","","","","","",""
"","","","call-function","11","120960","0.0-11.0","qfh1j7q9","","","","","","","",""
"null","","","html-keyboard-response","12","122461","0.0-12.0","qfh1j7q9","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","125540","0.0-13.0","qfh1j7q9","","","null","","Agent A","scrambled","STIM_SET_5/713770.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","127042","0.0-14.0","qfh1j7q9","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","130122","0.0-15.0","qfh1j7q9","","","null","","Agent B","veridical","STIM_SET_2_144/713770.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","130122","0.0-16.0","qfh1j7q9","","","","","","","",""
"4242.849999999991","{""judgement"":0}","[0]","survey-likert","17","134366","0.0-17.0","qfh1j7q9","","","","","","","","1"
"3556.389999999985","{""confidence"":0}","[0]","survey-likert","18","137924","0.0-18.0","qfh1j7q9","","","","","","","",""
"","","","call-function","19","137925","0.0-19.0","qfh1j7q9","","","","","","","",""
"null","","","html-keyboard-response","20","139429","0.0-20.0","qfh1j7q9","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","142524","0.0-21.0","qfh1j7q9","","","null","","Agent A","scrambled","STIM_SET_5/1591781.bmp_pp63_L1_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","22","144028","0.0-22.0","qfh1j7q9","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
