"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"11733.85","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","11743","0.0-0.0","qj02trg4","","","","","","","",""
"76494.12","","","instructions","1","88240","0.0-1.0","qj02trg4","[{""page_index"":0,""viewing_time"":76493.535}]","","","","","","",""
"7568.409999999989","","","instructions","2","95810","0.0-2.0","qj02trg4","[{""page_index"":0,""viewing_time"":1405.179999999993},{""page_index"":1,""viewing_time"":3964.970000000001},{""page_index"":2,""viewing_time"":2198.1349999999948}]","","","","","","",""
"2891.279999999999","","","instructions","3","98703","0.0-3.0","qj02trg4","[{""page_index"":0,""viewing_time"":2891.175000000003}]","","","","","","",""
"null","","","video-keyboard-response","4","101778","0.0-4.0","qj02trg4","","","null","","","","",""
"17288.244999999995","","","instructions","5","119068","0.0-5.0","qj02trg4","[{""page_index"":0,""viewing_time"":2689.979999999996},{""page_index"":1,""viewing_time"":3108.070000000007},{""page_index"":2,""viewing_time"":1350.8099999999977},{""page_index"":3,""viewing_time"":5042.125},{""page_index"":4,""viewing_time"":5097.12999999999}]","","","","","","",""
"6014.414999999994","","","instructions","6","125083","0.0-6.0","qj02trg4","[{""page_index"":0,""viewing_time"":6014.279999999999}]","","","","","","",""
"","","","call-function","7","125084","0.0-7.0","qj02trg4","","","","","","","",""
"null","","","html-keyboard-response","8","126587","0.0-8.0","qj02trg4","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","129659","0.0-9.0","qj02trg4","","","null","","Agent A","veridical","STIM_SET_1_REAL/1159768.bmp_pp89_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","131165","0.0-10.0","qj02trg4","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","134252","0.0-11.0","qj02trg4","","","null","","Agent B","scrambled","STIM_SET_3/713788.bmp_pp52_L1_V2_veridical_freeview_isoFalsemismatch_1159768.bmp_L1_fps90.mp4",""
"","","","call-function","12","134254","0.0-12.0","qj02trg4","","","","","","","",""
"2693.3949999999895","{""judgement"":1}","[0]","survey-likert","13","136948","0.0-13.0","qj02trg4","","","","","","","","0"
"2540.00999999998","{""confidence"":0}","[0]","survey-likert","14","139490","0.0-14.0","qj02trg4","","","","","","","",""
"","","","call-function","15","139491","0.0-15.0","qj02trg4","","","","","","","",""
"null","","","html-keyboard-response","16","140991","0.0-16.0","qj02trg4","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","144072","0.0-17.0","qj02trg4","","","null","","Agent A","scrambled","STIM_SET_3/1592857.bmp_pp52_L1_V2_veridical_freeview_isoFalsemismatch_1160168.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","18","145575","0.0-18.0","qj02trg4","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","148683","0.0-19.0","qj02trg4","","","null","","Agent B","veridical","STIM_SET_1_REAL/1160168.bmp_pp53_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","20","148684","0.0-20.0","qj02trg4","","","","","","","",""
"2059.2299999999814","{""judgement"":1}","[0]","survey-likert","21","150746","0.0-21.0","qj02trg4","","","","","","","","1"
"2046.625","{""confidence"":1}","[0]","survey-likert","22","152794","0.0-22.0","qj02trg4","","","","","","","",""
"","","","call-function","23","152795","0.0-23.0","qj02trg4","","","","","","","",""
"null","","","html-keyboard-response","24","154299","0.0-24.0","qj02trg4","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","157409","0.0-25.0","qj02trg4","","","null","","Agent A","scrambled","STIM_SET_3/1159956.bmp_pp59_L3_V2_veridical_freeview_isoFalsemismatch_1159829.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","26","158911","0.0-26.0","qj02trg4","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
