"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"217161.93","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","217169","0.0-0.0","r4bbrfu3","","","","","","","",""
"54053.044999999984","","","instructions","1","271224","0.0-1.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":54052.47999999998}]","","","","","","",""
"15176.76000000001","{""Age"":13,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","286404","0.0-2.0","r4bbrfu3","","","","","","","",""
"22617.784999999974","","","instructions","3","309022","0.0-3.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":8269.645000000019},{""page_index"":1,""viewing_time"":2136.9049999999697},{""page_index"":2,""viewing_time"":12211.109999999986}]","","","","","","",""
"4384.794999999984","","","instructions","4","313407","0.0-4.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":4384.684999999998}]","","","","","","",""
"null","","","video-keyboard-response","5","316515","0.0-5.0","r4bbrfu3","","","null","","","","",""
"18282.98999999999","","","instructions","6","334798","0.0-6.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":6477.90499999997},{""page_index"":1,""viewing_time"":3574.865000000049},{""page_index"":2,""viewing_time"":8230.11499999999}]","","","","","","",""
"5075.27999999997","","","instructions","7","339874","0.0-7.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":5075.179999999993}]","","","","","","",""
"2258.8349999999627","","","instructions","8","342133","0.0-8.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":2258.625}]","","","","","","",""
"null","","","video-keyboard-response","9","345226","0.0-9.0","r4bbrfu3","","","null","","","","",""
"15851.834999999963","","","instructions","10","361078","0.0-10.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":2254.1549999999697},{""page_index"":1,""viewing_time"":4356.734999999986},{""page_index"":2,""viewing_time"":9240.815000000002}]","","","","","","",""
"9627.774999999965","","","instructions","11","370706","0.0-11.0","r4bbrfu3","[{""page_index"":0,""viewing_time"":9627.659999999974}]","","","","","","",""
"","","","call-function","12","370707","0.0-12.0","r4bbrfu3","","","","","","","",""
"null","","","html-keyboard-response","13","372208","0.0-13.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","375005","0.0-14.0","r4bbrfu3","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/713790.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","15","376512","0.0-15.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","379311","0.0-16.0","r4bbrfu3","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/713790.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","17","379311","0.0-17.0","r4bbrfu3","","","","","","","",""
"5753.650000000023","{""judgement"":1}","[0]","survey-likert","18","385066","0.0-18.0","r4bbrfu3","","","","","","","","1"
"4798.979999999981","{""confidence"":1}","[0]","survey-likert","19","389867","0.0-19.0","r4bbrfu3","","","","","","","",""
"","","","call-function","20","389868","0.0-20.0","r4bbrfu3","","","","","","","",""
"null","","","html-keyboard-response","21","391372","0.0-21.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","394139","0.0-22.0","r4bbrfu3","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592044.bmp_pp94_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","23","395640","0.0-23.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","398418","0.0-24.0","r4bbrfu3","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592044.bmp_pp94_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","25","398418","0.0-25.0","r4bbrfu3","","","","","","","",""
"8229.48000000004","{""judgement"":1}","[0]","survey-likert","26","406649","0.0-26.0","r4bbrfu3","","","","","","","","0"
"3515.054999999993","{""confidence"":1}","[0]","survey-likert","27","410166","0.0-27.0","r4bbrfu3","","","","","","","",""
"","","","call-function","28","410167","0.0-28.0","r4bbrfu3","","","","","","","",""
"null","","","html-keyboard-response","29","411670","0.0-29.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","30","414434","0.0-30.0","r4bbrfu3","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592129.bmp_pp153_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","31","415940","0.0-31.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","32","418711","0.0-32.0","r4bbrfu3","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592129.bmp_pp153_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","33","418712","0.0-33.0","r4bbrfu3","","","","","","","",""
"3656.539999999979","{""judgement"":0}","[0]","survey-likert","34","422370","0.0-34.0","r4bbrfu3","","","","","","","","1"
"2717.3349999999627","{""confidence"":1}","[0]","survey-likert","35","425089","0.0-35.0","r4bbrfu3","","","","","","","",""
"","","","call-function","36","425089","0.0-36.0","r4bbrfu3","","","","","","","",""
"null","","","html-keyboard-response","37","426592","0.0-37.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","38","428492","0.0-38.0","r4bbrfu3","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/285946.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","39","429998","0.0-39.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","40","431884","0.0-40.0","r4bbrfu3","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/285946.bmp_pp79_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","41","431884","0.0-41.0","r4bbrfu3","","","","","","","",""
"4806.390000000014","{""judgement"":0}","[0]","survey-likert","42","436691","0.0-42.0","r4bbrfu3","","","","","","","","0"
"2922.3099999999977","{""confidence"":0}","[0]","survey-likert","43","439614","0.0-43.0","r4bbrfu3","","","","","","","",""
"","","","call-function","44","439615","0.0-44.0","r4bbrfu3","","","","","","","",""
"null","","","html-keyboard-response","45","441120","0.0-45.0","r4bbrfu3","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
