"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"88230.81000000001","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","88238","0.0-0.0","ra8t9q98","","","","","","","",""
"1655.409999999989","","","instructions","1","89895","0.0-1.0","ra8t9q98","[{""page_index"":0,""viewing_time"":1655.25499999999}]","","","","","","",""
"16058.654999999999","{""Age"":8,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","105957","0.0-2.0","ra8t9q98","","","","","","","",""
"41956.70999999999","","","instructions","3","147915","0.0-3.0","ra8t9q98","[{""page_index"":0,""viewing_time"":32918.41},{""page_index"":1,""viewing_time"":1027.9049999999988},{""page_index"":2,""viewing_time"":8010.149999999994}]","","","","","","",""
"2390.9400000000023","","","instructions","4","150307","0.0-4.0","ra8t9q98","[{""page_index"":0,""viewing_time"":2390.8399999999965}]","","","","","","",""
"null","","","video-keyboard-response","5","153453","0.0-5.0","ra8t9q98","","","null","","","","",""
"8142.889999999985","","","instructions","6","161597","0.0-6.0","ra8t9q98","[{""page_index"":0,""viewing_time"":2356.7149999999965},{""page_index"":1,""viewing_time"":2451.470000000001},{""page_index"":2,""viewing_time"":3334.600000000006}]","","","","","","",""
"2365.625","","","instructions","7","163963","0.0-7.0","ra8t9q98","[{""page_index"":0,""viewing_time"":2365.529999999999}]","","","","","","",""
"1098.570000000007","","","instructions","8","165062","0.0-8.0","ra8t9q98","[{""page_index"":0,""viewing_time"":1098.4700000000012}]","","","","","","",""
"null","","","video-keyboard-response","9","168137","0.0-9.0","ra8t9q98","","","null","","","","",""
"8465.369999999995","","","instructions","10","176603","0.0-10.0","ra8t9q98","[{""page_index"":0,""viewing_time"":1399.0950000000012},{""page_index"":1,""viewing_time"":3372.9899999999907},{""page_index"":2,""viewing_time"":3693.045000000013}]","","","","","","",""
"3452.3649999999907","","","instructions","11","180055","0.0-11.0","ra8t9q98","[{""page_index"":0,""viewing_time"":3452.25}]","","","","","","",""
"","","","call-function","12","180056","0.0-12.0","ra8t9q98","","","","","","","",""
"null","","","html-keyboard-response","13","181561","0.0-13.0","ra8t9q98","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","184391","0.0-14.0","ra8t9q98","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","15","185893","0.0-15.0","ra8t9q98","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","188771","0.0-16.0","ra8t9q98","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
