"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"30764.875","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","30774","0.0-0.0","rlnr8fkd","","","","","","","",""
"13066.73","","","instructions","1","43844","0.0-1.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":13066.505000000001}]","","","","","","",""
"16207.155000000006","","","instructions","2","60053","0.0-2.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":4667.915000000001},{""page_index"":1,""viewing_time"":1368.4150000000009},{""page_index"":2,""viewing_time"":10170.695}]","","","","","","",""
"2585.2649999999994","","","instructions","3","62639","0.0-3.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":2585.159999999996}]","","","","","","",""
"null","","","video-keyboard-response","4","65721","0.0-4.0","rlnr8fkd","","","null","","","","",""
"13570.809999999998","","","instructions","5","79293","0.0-5.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":2770.5149999999994},{""page_index"":1,""viewing_time"":2082.125},{""page_index"":2,""viewing_time"":8718.055000000008}]","","","","","","",""
"4053.4449999999924","","","instructions","6","83348","0.0-6.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":4053.334999999992}]","","","","","","",""
"871.8499999999913","","","instructions","7","84222","0.0-7.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":871.6149999999907}]","","","","","","",""
"null","","","video-keyboard-response","8","87297","0.0-8.0","rlnr8fkd","","","null","","","","",""
"14349.580000000002","","","instructions","9","101648","0.0-9.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":1293.8600000000006},{""page_index"":1,""viewing_time"":5324.729999999996},{""page_index"":2,""viewing_time"":7730.845000000001}]","","","","","","",""
"3746.654999999999","","","instructions","10","105397","0.0-10.0","rlnr8fkd","[{""page_index"":0,""viewing_time"":3746.524999999994}]","","","","","","",""
"","","","call-function","11","105399","0.0-11.0","rlnr8fkd","","","","","","","",""
"null","","","html-keyboard-response","12","106905","0.0-12.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","109740","0.0-13.0","rlnr8fkd","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","14","111248","0.0-14.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","114100","0.0-15.0","rlnr8fkd","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","114101","0.0-16.0","rlnr8fkd","","","","","","","",""
"1928.0149999999994","{""judgement"":1}","[0]","survey-likert","17","116030","0.0-17.0","rlnr8fkd","","","","","","","","1"
"2821.845000000001","{""confidence"":3}","[0]","survey-likert","18","118854","0.0-18.0","rlnr8fkd","","","","","","","",""
"","","","call-function","19","118856","0.0-19.0","rlnr8fkd","","","","","","","",""
"null","","","html-keyboard-response","20","120357","0.0-20.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","123168","0.0-21.0","rlnr8fkd","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592289.bmp_pp92_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","124671","0.0-22.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","127469","0.0-23.0","rlnr8fkd","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592289.bmp_pp92_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","24","127470","0.0-24.0","rlnr8fkd","","","","","","","",""
"6462.404999999999","{""judgement"":0}","[0]","survey-likert","25","133933","0.0-25.0","rlnr8fkd","","","","","","","","0"
"1765.7200000000012","{""confidence"":2}","[0]","survey-likert","26","135701","0.0-26.0","rlnr8fkd","","","","","","","",""
"","","","call-function","27","135703","0.0-27.0","rlnr8fkd","","","","","","","",""
"null","","","html-keyboard-response","28","137208","0.0-28.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","139982","0.0-29.0","rlnr8fkd","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/150277.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","30","141485","0.0-30.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","144403","0.0-31.0","rlnr8fkd","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/150277.bmp_pp65_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","32","144405","0.0-32.0","rlnr8fkd","","","","","","","",""
"10770.36499999999","{""judgement"":1}","[0]","survey-likert","33","155177","0.0-33.0","rlnr8fkd","","","","","","","","0"
"1245.2550000000047","{""confidence"":1}","[0]","survey-likert","34","156425","0.0-34.0","rlnr8fkd","","","","","","","",""
"","","","call-function","35","156427","0.0-35.0","rlnr8fkd","","","","","","","",""
"null","","","html-keyboard-response","36","157931","0.0-36.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","160769","0.0-37.0","rlnr8fkd","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1160247.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","38","162273","0.0-38.0","rlnr8fkd","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","165030","0.0-39.0","rlnr8fkd","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1160247.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","40","165031","0.0-40.0","rlnr8fkd","","","","","","","",""
"2229.170000000013","{""judgement"":0}","[0]","survey-likert","41","167261","0.0-41.0","rlnr8fkd","","","","","","","","1"
