"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"73032.015","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","73041","0.0-0.0","rneumf3l","","","","","","","",""
"27345.165000000008","","","instructions","1","100388","0.0-1.0","rneumf3l","[{""page_index"":0,""viewing_time"":27345.01000000001}]","","","","","","",""
"20198.795","","","instructions","2","120588","0.0-2.0","rneumf3l","[{""page_index"":0,""viewing_time"":2305.7999999999884},{""page_index"":1,""viewing_time"":12208.915000000008},{""page_index"":2,""viewing_time"":5683.959999999992}]","","","","","","",""
"2522.199999999997","","","instructions","3","123110","0.0-3.0","rneumf3l","[{""page_index"":0,""viewing_time"":2522.084999999992}]","","","","","","",""
"null","","","video-keyboard-response","4","126187","0.0-4.0","rneumf3l","","","null","","","","",""
"14518.575000000012","","","instructions","5","140706","0.0-5.0","rneumf3l","[{""page_index"":0,""viewing_time"":2219.324999999997},{""page_index"":1,""viewing_time"":3145.0550000000076},{""page_index"":2,""viewing_time"":1622.070000000007},{""page_index"":3,""viewing_time"":3723.970000000001},{""page_index"":4,""viewing_time"":3808.0350000000035}]","","","","","","",""
"5670.4250000000175","","","instructions","6","146377","0.0-6.0","rneumf3l","[{""page_index"":0,""viewing_time"":5670.295000000013}]","","","","","","",""
"","","","call-function","7","146378","0.0-7.0","rneumf3l","","","","","","","",""
"null","","","html-keyboard-response","8","147880","0.0-8.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","150960","0.0-9.0","rneumf3l","","","null","","Agent A","veridical","STIM_SET_1_REAL/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","152463","0.0-10.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","155539","0.0-11.0","rneumf3l","","","null","","Agent B","scrambled","STIM_SET_3/498372.bmp_pp95_L2_V2_veridical_freeview_isoFalsemismatch_1160127.bmp_L2_fps90.mp4",""
"","","","call-function","12","155540","0.0-12.0","rneumf3l","","","","","","","",""
"3063.350000000006","{""judgement"":0}","[0]","survey-likert","13","158604","0.0-13.0","rneumf3l","","","","","","","","0"
"2615.6699999999837","{""confidence"":1}","[0]","survey-likert","14","161221","0.0-14.0","rneumf3l","","","","","","","",""
"","","","call-function","15","161222","0.0-15.0","rneumf3l","","","","","","","",""
"null","","","html-keyboard-response","16","162724","0.0-16.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","165804","0.0-17.0","rneumf3l","","","null","","Agent A","veridical","STIM_SET_1_REAL/713666.bmp_pp97_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","167307","0.0-18.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","170415","0.0-19.0","rneumf3l","","","null","","Agent B","scrambled","STIM_SET_3/1592289.bmp_pp92_L3_V2_veridical_freeview_isoFalsemismatch_713666.bmp_L3_fps90.mp4",""
"","","","call-function","20","170415","0.0-20.0","rneumf3l","","","","","","","",""
"3045.9550000000163","{""judgement"":0}","[0]","survey-likert","21","173463","0.0-21.0","rneumf3l","","","","","","","","0"
"2385.9400000000023","{""confidence"":2}","[0]","survey-likert","22","175850","0.0-22.0","rneumf3l","","","","","","","",""
"","","","call-function","23","175851","0.0-23.0","rneumf3l","","","","","","","",""
"null","","","html-keyboard-response","24","177355","0.0-24.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","180459","0.0-25.0","rneumf3l","","","null","","Agent A","veridical","STIM_SET_1_REAL/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","181963","0.0-26.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","185032","0.0-27.0","rneumf3l","","","null","","Agent B","scrambled","STIM_SET_3/498258.bmp_pp51_L1_V2_veridical_freeview_isoFalsemismatch_498155.bmp_L2_fps90.mp4",""
"","","","call-function","28","185033","0.0-28.0","rneumf3l","","","","","","","",""
"3271.1300000000047","{""judgement"":0}","[0]","survey-likert","29","188305","0.0-29.0","rneumf3l","","","","","","","","0"
"2445.5599999999977","{""confidence"":2}","[0]","survey-likert","30","190752","0.0-30.0","rneumf3l","","","","","","","",""
"","","","call-function","31","190753","0.0-31.0","rneumf3l","","","","","","","",""
"null","","","html-keyboard-response","32","192254","0.0-32.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","195341","0.0-33.0","rneumf3l","","","null","","Agent A","scrambled","STIM_SET_3/1592921.bmp_pp69_L3_V2_veridical_freeview_isoFalsemismatch_713211.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","34","196845","0.0-34.0","rneumf3l","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","199920","0.0-35.0","rneumf3l","","","null","","Agent B","veridical","STIM_SET_1_REAL/713211.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","36","199920","0.0-36.0","rneumf3l","","","","","","","",""
"2876.390000000014","{""judgement"":1}","[0]","survey-likert","37","202797","0.0-37.0","rneumf3l","","","","","","","","1"
