"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"12479.225","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","12488","0.0-0.0","smd3gjzv","","","","","","","",""
"19287.985","","","instructions","1","31777","0.0-1.0","smd3gjzv","[{""page_index"":0,""viewing_time"":19287.835}]","","","","","","",""
"5962.564999999999","","","instructions","2","37741","0.0-2.0","smd3gjzv","[{""page_index"":0,""viewing_time"":1845.7100000000028},{""page_index"":1,""viewing_time"":2424.0899999999965},{""page_index"":2,""viewing_time"":1692.6500000000015}]","","","","","","",""
"2288.0899999999965","","","instructions","3","40030","0.0-3.0","smd3gjzv","[{""page_index"":0,""viewing_time"":2287.9850000000006}]","","","","","","",""
"null","","","video-keyboard-response","4","43107","0.0-4.0","smd3gjzv","","","null","","","","",""
"11619.055","","","instructions","5","54727","0.0-5.0","smd3gjzv","[{""page_index"":0,""viewing_time"":1824.0350000000035},{""page_index"":1,""viewing_time"":3542.894999999997},{""page_index"":2,""viewing_time"":1064.010000000002},{""page_index"":3,""viewing_time"":1906.385000000002},{""page_index"":4,""viewing_time"":3281.595000000001}]","","","","","","",""
"2358.4349999999977","","","instructions","6","57086","0.0-6.0","smd3gjzv","[{""page_index"":0,""viewing_time"":2358.279999999999}]","","","","","","",""
"","","","call-function","7","57087","0.0-7.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","8","58590","0.0-8.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","61652","0.0-9.0","smd3gjzv","","","null","","Agent A","scrambled","STIM_SET_3/1592314.bmp_pp100_L3_V2_veridical_freeview_isoFalsemismatch_713707.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","10","63156","0.0-10.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","66234","0.0-11.0","smd3gjzv","","","null","","Agent B","veridical","STIM_SET_1_REAL/713707.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","66235","0.0-12.0","smd3gjzv","","","","","","","",""
"4837.959999999992","{""judgement"":0}","[0]","survey-likert","13","71074","0.0-13.0","smd3gjzv","","","","","","","","1"
"2273.574999999997","{""confidence"":1}","[0]","survey-likert","14","73349","0.0-14.0","smd3gjzv","","","","","","","",""
"","","","call-function","15","73349","0.0-15.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","16","74853","0.0-16.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","77931","0.0-17.0","smd3gjzv","","","null","","Agent A","veridical","STIM_SET_1_REAL/713593.bmp_pp64_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","79433","0.0-18.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","82540","0.0-19.0","smd3gjzv","","","null","","Agent B","scrambled","STIM_SET_3/1592747.bmp_pp53_L2_V2_veridical_freeview_isoFalsemismatch_713593.bmp_L1_fps90.mp4",""
"","","","call-function","20","82541","0.0-20.0","smd3gjzv","","","","","","","",""
"1571.6699999999983","{""judgement"":0}","[0]","survey-likert","21","84115","0.0-21.0","smd3gjzv","","","","","","","","0"
"1401.8600000000006","{""confidence"":3}","[0]","survey-likert","22","85518","0.0-22.0","smd3gjzv","","","","","","","",""
"","","","call-function","23","85518","0.0-23.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","24","87023","0.0-24.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","90128","0.0-25.0","smd3gjzv","","","null","","Agent A","scrambled","STIM_SET_3/1592129.bmp_pp153_L3_V2_veridical_freeview_isoFalsemismatch_1159813.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","26","91632","0.0-26.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","94751","0.0-27.0","smd3gjzv","","","null","","Agent B","veridical","STIM_SET_1_REAL/1159813.bmp_pp79_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","94752","0.0-28.0","smd3gjzv","","","","","","","",""
"2212.1849999999977","{""judgement"":0}","[0]","survey-likert","29","96965","0.0-29.0","smd3gjzv","","","","","","","","1"
"1962.7200000000012","{""confidence"":1}","[0]","survey-likert","30","98929","0.0-30.0","smd3gjzv","","","","","","","",""
"","","","call-function","31","98929","0.0-31.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","32","100436","0.0-32.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","103526","0.0-33.0","smd3gjzv","","","null","","Agent A","scrambled","STIM_SET_3/1159427.bmp_pp98_L1_V2_veridical_freeview_isoFalsemismatch_1591876.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","34","105032","0.0-34.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","108107","0.0-35.0","smd3gjzv","","","null","","Agent B","veridical","STIM_SET_1_REAL/1591876.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","36","108107","0.0-36.0","smd3gjzv","","","","","","","",""
"4528.554999999993","{""judgement"":0}","[0]","survey-likert","37","112637","0.0-37.0","smd3gjzv","","","","","","","","1"
"1209.9300000000076","{""confidence"":1}","[0]","survey-likert","38","113848","0.0-38.0","smd3gjzv","","","","","","","",""
"","","","call-function","39","113848","0.0-39.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","40","115353","0.0-40.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","118461","0.0-41.0","smd3gjzv","","","null","","Agent A","veridical","STIM_SET_1_REAL/713211.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","119965","0.0-42.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","123084","0.0-43.0","smd3gjzv","","","null","","Agent B","scrambled","STIM_SET_3/1592921.bmp_pp69_L3_V2_veridical_freeview_isoFalsemismatch_713211.bmp_L3_fps90.mp4",""
"","","","call-function","44","123085","0.0-44.0","smd3gjzv","","","","","","","",""
"3968.225000000006","{""judgement"":1}","[0]","survey-likert","45","127055","0.0-45.0","smd3gjzv","","","","","","","","0"
"1337.9900000000052","{""confidence"":1}","[0]","survey-likert","46","128395","0.0-46.0","smd3gjzv","","","","","","","",""
"","","","call-function","47","128396","0.0-47.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","48","129899","0.0-48.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","132961","0.0-49.0","smd3gjzv","","","null","","Agent A","veridical","STIM_SET_1_REAL/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","50","134463","0.0-50.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","137528","0.0-51.0","smd3gjzv","","","null","","Agent B","scrambled","STIM_SET_3/107955.bmp_pp90_L2_V2_veridical_freeview_isoFalsemismatch_498149.bmp_L2_fps90.mp4",""
"","","","call-function","52","137529","0.0-52.0","smd3gjzv","","","","","","","",""
"1880.2999999999884","{""judgement"":1}","[0]","survey-likert","53","139410","0.0-53.0","smd3gjzv","","","","","","","","0"
"1872.5650000000023","{""confidence"":1}","[0]","survey-likert","54","141284","0.0-54.0","smd3gjzv","","","","","","","",""
"","","","call-function","55","141285","0.0-55.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","56","142791","0.0-56.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","145853","0.0-57.0","smd3gjzv","","","null","","Agent A","scrambled","STIM_SET_3/1592044.bmp_pp94_L2_V2_veridical_freeview_isoFalsemismatch_1159446.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","58","147355","0.0-58.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","150416","0.0-59.0","smd3gjzv","","","null","","Agent B","veridical","STIM_SET_1_REAL/1159446.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","60","150417","0.0-60.0","smd3gjzv","","","","","","","",""
"3954.2699999999895","{""judgement"":1}","[0]","survey-likert","61","154372","0.0-61.0","smd3gjzv","","","","","","","","1"
"1694.5100000000093","{""confidence"":2}","[0]","survey-likert","62","156068","0.0-62.0","smd3gjzv","","","","","","","",""
"","","","call-function","63","156068","0.0-63.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","64","157570","0.0-64.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","160673","0.0-65.0","smd3gjzv","","","null","","Agent A","veridical","STIM_SET_1_REAL/1592657.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","66","162175","0.0-66.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","165287","0.0-67.0","smd3gjzv","","","null","","Agent B","scrambled","STIM_SET_3/498261.bmp_pp84_L3_V2_veridical_freeview_isoFalsemismatch_1592657.bmp_L1_fps90.mp4",""
"","","","call-function","68","165288","0.0-68.0","smd3gjzv","","","","","","","",""
"2314.3150000000023","{""judgement"":1}","[0]","survey-likert","69","167603","0.0-69.0","smd3gjzv","","","","","","","","0"
"3728.540000000008","{""confidence"":1}","[0]","survey-likert","70","171333","0.0-70.0","smd3gjzv","","","","","","","",""
"","","","call-function","71","171333","0.0-71.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","72","172837","0.0-72.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","175922","0.0-73.0","smd3gjzv","","","null","","Agent A","scrambled","STIM_SET_3/498398.bmp_pp81_L1_V2_veridical_freeview_isoFalsemismatch_713620.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","74","177425","0.0-74.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","180529","0.0-75.0","smd3gjzv","","","null","","Agent B","veridical","STIM_SET_1_REAL/713620.bmp_pp65_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","76","180529","0.0-76.0","smd3gjzv","","","","","","","",""
"2766.720000000001","{""judgement"":1}","[0]","survey-likert","77","183297","0.0-77.0","smd3gjzv","","","","","","","","1"
"1916.7399999999907","{""confidence"":2}","[0]","survey-likert","78","185215","0.0-78.0","smd3gjzv","","","","","","","",""
"","","","call-function","79","185215","0.0-79.0","smd3gjzv","","","","","","","",""
"null","","","html-keyboard-response","80","186717","0.0-80.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","189820","0.0-81.0","smd3gjzv","","","null","","Agent A","veridical","STIM_SET_1_REAL/1591961.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","82","191322","0.0-82.0","smd3gjzv","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","83","194456","0.0-83.0","smd3gjzv","","","null","","Agent B","scrambled","STIM_SET_3/1592530.bmp_pp75_L1_V2_veridical_freeview_isoFalsemismatch_1591961.bmp_L2_fps90.mp4",""
"","","","call-function","84","194457","0.0-84.0","smd3gjzv","","","","","","","",""
"1913.8399999999965","{""judgement"":0}","[0]","survey-likert","85","196372","0.0-85.0","smd3gjzv","","","","","","","","0"
"1064.570000000007","{""confidence"":1}","[0]","survey-likert","86","197438","0.0-86.0","smd3gjzv","","","","","","","",""
"2591.8099999999977","","","instructions","87","200031","0.0-87.0","smd3gjzv","[{""page_index"":0,""viewing_time"":1463.4100000000035},{""page_index"":1,""viewing_time"":886.5849999999919},{""page_index"":2,""viewing_time"":241.59500000000116}]","","","","","","",""
