"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"146137.72","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","146146","0.0-0.0","smnfj5yg","","","","","","","",""
"19060.660000000003","","","instructions","1","165208","0.0-1.0","smnfj5yg","[{""page_index"":0,""viewing_time"":19060.51000000001}]","","","","","","",""
"24567.535000000003","","","instructions","2","189777","0.0-2.0","smnfj5yg","[{""page_index"":0,""viewing_time"":16858.705000000016},{""page_index"":1,""viewing_time"":1394.8150000000023},{""page_index"":2,""viewing_time"":6313.889999999985}]","","","","","","",""
"2915.595000000001","","","instructions","3","192693","0.0-3.0","smnfj5yg","[{""page_index"":0,""viewing_time"":2915.49000000002}]","","","","","","",""
"null","","","video-keyboard-response","4","195768","0.0-4.0","smnfj5yg","","","null","","","","",""
"6968.444999999978","","","instructions","5","202737","0.0-5.0","smnfj5yg","[{""page_index"":0,""viewing_time"":3903.039999999979},{""page_index"":1,""viewing_time"":2988.045000000013},{""page_index"":2,""viewing_time"":77.24499999999534}]","","","","","","",""
"3316.2600000000093","","","instructions","6","206054","0.0-6.0","smnfj5yg","[{""page_index"":0,""viewing_time"":3316.154999999999}]","","","","","","",""
"1698.6600000000035","","","instructions","7","207753","0.0-7.0","smnfj5yg","[{""page_index"":0,""viewing_time"":1698.4349999999977}]","","","","","","",""
"null","","","video-keyboard-response","8","210830","0.0-8.0","smnfj5yg","","","null","","","","",""
"14151.789999999979","","","instructions","9","224982","0.0-9.0","smnfj5yg","[{""page_index"":0,""viewing_time"":1677.7549999999756},{""page_index"":1,""viewing_time"":5668.955000000016},{""page_index"":2,""viewing_time"":6804.854999999981}]","","","","","","",""
"3999.4500000000116","","","instructions","10","228982","0.0-10.0","smnfj5yg","[{""page_index"":0,""viewing_time"":3999.334999999992}]","","","","","","",""
"","","","call-function","11","228983","0.0-11.0","smnfj5yg","","","","","","","",""
"null","","","html-keyboard-response","12","230489","0.0-12.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","233256","0.0-13.0","smnfj5yg","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/285684.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","14","234762","0.0-14.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","237529","0.0-15.0","smnfj5yg","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/285684.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","237529","0.0-16.0","smnfj5yg","","","","","","","",""
"3696.709999999992","{""judgement"":0}","[0]","survey-likert","17","241227","0.0-17.0","smnfj5yg","","","","","","","","1"
"2852.5349999999744","{""confidence"":2}","[0]","survey-likert","18","244081","0.0-18.0","smnfj5yg","","","","","","","",""
"","","","call-function","19","244081","0.0-19.0","smnfj5yg","","","","","","","",""
"null","","","html-keyboard-response","20","245587","0.0-20.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","248415","0.0-21.0","smnfj5yg","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/713770.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","249917","0.0-22.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","252742","0.0-23.0","smnfj5yg","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/713770.bmp_pp89_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","24","252743","0.0-24.0","smnfj5yg","","","","","","","",""
"8076.600000000006","{""judgement"":1}","[0]","survey-likert","25","260820","0.0-25.0","smnfj5yg","","","","","","","","0"
"4510.885000000009","{""confidence"":0}","[0]","survey-likert","26","265332","0.0-26.0","smnfj5yg","","","","","","","",""
"","","","call-function","27","265333","0.0-27.0","smnfj5yg","","","","","","","",""
"null","","","html-keyboard-response","28","266837","0.0-28.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","269690","0.0-29.0","smnfj5yg","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","30","271194","0.0-30.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","274013","0.0-31.0","smnfj5yg","","","null","","Agent B","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"","","","call-function","32","274014","0.0-32.0","smnfj5yg","","","","","","","",""
"4444.994999999995","{""judgement"":0}","[0]","survey-likert","33","278460","0.0-33.0","smnfj5yg","","","","","","","","0"
"2301.8899999999558","{""confidence"":1}","[0]","survey-likert","34","280764","0.0-34.0","smnfj5yg","","","","","","","",""
"","","","call-function","35","280764","0.0-35.0","smnfj5yg","","","","","","","",""
"null","","","html-keyboard-response","36","282265","0.0-36.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","285032","0.0-37.0","smnfj5yg","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1159329.bmp_pp61_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","38","286538","0.0-38.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","289305","0.0-39.0","smnfj5yg","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1159329.bmp_pp61_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","40","289305","0.0-40.0","smnfj5yg","","","","","","","",""
"4412.755000000005","{""judgement"":0}","[0]","survey-likert","41","293719","0.0-41.0","smnfj5yg","","","","","","","","1"
"2410.2300000000396","{""confidence"":3}","[0]","survey-likert","42","296131","0.0-42.0","smnfj5yg","","","","","","","",""
"","","","call-function","43","296131","0.0-43.0","smnfj5yg","","","","","","","",""
"null","","","html-keyboard-response","44","297632","0.0-44.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","300415","0.0-45.0","smnfj5yg","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","46","301918","0.0-46.0","smnfj5yg","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","304692","0.0-47.0","smnfj5yg","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
