"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"20416.37","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","20426","0.0-0.0","tlolpbpb","","","","","","","",""
"19177.39","","","instructions","1","39605","0.0-1.0","tlolpbpb","[{""page_index"":0,""viewing_time"":19177.235}]","","","","","","",""
"7552.7750000000015","","","instructions","2","47159","0.0-2.0","tlolpbpb","[{""page_index"":0,""viewing_time"":1325.0099999999948},{""page_index"":1,""viewing_time"":3941.720000000001},{""page_index"":2,""viewing_time"":2285.9300000000003}]","","","","","","",""
"2108.5899999999965","","","instructions","3","49268","0.0-3.0","tlolpbpb","[{""page_index"":0,""viewing_time"":2108.479999999996}]","","","","","","",""
"null","","","video-keyboard-response","4","52341","0.0-4.0","tlolpbpb","","","null","","","","",""
"9947.059999999998","","","instructions","5","62289","0.0-5.0","tlolpbpb","[{""page_index"":0,""viewing_time"":1197.9349999999977},{""page_index"":1,""viewing_time"":2542.165000000001},{""page_index"":2,""viewing_time"":645.9449999999997},{""page_index"":3,""viewing_time"":2956.0550000000003},{""page_index"":4,""viewing_time"":2604.834999999999}]","","","","","","",""
"4632.555","","","instructions","6","66922","0.0-6.0","tlolpbpb","[{""page_index"":0,""viewing_time"":4632.424999999996}]","","","","","","",""
"","","","call-function","7","66923","0.0-7.0","tlolpbpb","","","","","","","",""
"null","","","html-keyboard-response","8","68427","0.0-8.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","71187","0.0-9.0","tlolpbpb","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","72693","0.0-10.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","75417","0.0-11.0","tlolpbpb","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1591954.bmp_pp62_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","75418","0.0-12.0","tlolpbpb","","","","","","","",""
"1904.604999999996","{""judgement"":0}","[0]","survey-likert","13","77323","0.0-13.0","tlolpbpb","","","","","","","","0"
"1820.0950000000012","{""confidence"":2}","[0]","survey-likert","14","79145","0.0-14.0","tlolpbpb","","","","","","","",""
"","","","call-function","15","79145","0.0-15.0","tlolpbpb","","","","","","","",""
"null","","","html-keyboard-response","16","80646","0.0-16.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","83513","0.0-17.0","tlolpbpb","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159447.bmp_pp70_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","85014","0.0-18.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","87900","0.0-19.0","tlolpbpb","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159447.bmp_pp70_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","87900","0.0-20.0","tlolpbpb","","","","","","","",""
"1607.8300000000017","{""judgement"":0}","[0]","survey-likert","21","89510","0.0-21.0","tlolpbpb","","","","","","","","0"
"1756.3099999999977","{""confidence"":3}","[0]","survey-likert","22","91268","0.0-22.0","tlolpbpb","","","","","","","",""
"","","","call-function","23","91268","0.0-23.0","tlolpbpb","","","","","","","",""
"null","","","html-keyboard-response","24","92770","0.0-24.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","95513","0.0-25.0","tlolpbpb","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","97018","0.0-26.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","99745","0.0-27.0","tlolpbpb","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592817.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","28","99746","0.0-28.0","tlolpbpb","","","","","","","",""
"1912.409999999989","{""judgement"":0}","[0]","survey-likert","29","101659","0.0-29.0","tlolpbpb","","","","","","","","0"
"1847.6649999999936","{""confidence"":2}","[0]","survey-likert","30","103508","0.0-30.0","tlolpbpb","","","","","","","",""
"","","","call-function","31","103508","0.0-31.0","tlolpbpb","","","","","","","",""
"null","","","html-keyboard-response","32","105011","0.0-32.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","107764","0.0-33.0","tlolpbpb","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","34","109268","0.0-34.0","tlolpbpb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","111998","0.0-35.0","tlolpbpb","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","36","111999","0.0-36.0","tlolpbpb","","","","","","","",""
"1395.3450000000012","{""judgement"":0}","[0]","survey-likert","37","113395","0.0-37.0","tlolpbpb","","","","","","","","1"
"2542.439999999988","{""confidence"":0}","[0]","survey-likert","38","115939","0.0-38.0","tlolpbpb","","","","","","","",""
