"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"197801.20500000002","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","197810","0.0-0.0","u4f7wp70","","","","","","","",""
"130429.20500000002","","","instructions","1","328241","0.0-1.0","u4f7wp70","[{""page_index"":0,""viewing_time"":130428.46500000003}]","","","","","","",""
"64355.11499999999","","","instructions","2","392598","0.0-2.0","u4f7wp70","[{""page_index"":0,""viewing_time"":26519.580000000016},{""page_index"":1,""viewing_time"":6100.089999999967},{""page_index"":2,""viewing_time"":3265.0200000000186},{""page_index"":1,""viewing_time"":14720.844999999972},{""page_index"":2,""viewing_time"":13749.445000000007}]","","","","","","",""
"4714.645000000019","","","instructions","3","397313","0.0-3.0","u4f7wp70","[{""page_index"":0,""viewing_time"":4714.544999999984}]","","","","","","",""
"null","","","video-keyboard-response","4","400464","0.0-4.0","u4f7wp70","","","null","","","","",""
"33859.390000000014","","","instructions","5","434324","0.0-5.0","u4f7wp70","[{""page_index"":0,""viewing_time"":6184.030000000028},{""page_index"":1,""viewing_time"":5867.079999999958},{""page_index"":2,""viewing_time"":2208.0750000000116},{""page_index"":3,""viewing_time"":8443.984999999986},{""page_index"":4,""viewing_time"":11156.080000000016}]","","","","","","",""
"7518.75","","","instructions","6","441843","0.0-6.0","u4f7wp70","[{""page_index"":0,""viewing_time"":7518.630000000005}]","","","","","","",""
"","","","call-function","7","441844","0.0-7.0","u4f7wp70","","","","","","","",""
"null","","","html-keyboard-response","8","443351","0.0-8.0","u4f7wp70","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","446234","0.0-9.0","u4f7wp70","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","447736","0.0-10.0","u4f7wp70","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","450624","0.0-11.0","u4f7wp70","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","450624","0.0-12.0","u4f7wp70","","","","","","","",""
"8381.020000000019","{""judgement"":0}","[0]","survey-likert","13","459006","0.0-13.0","u4f7wp70","","","","","","","","0"
"6885.5","{""confidence"":1}","[0]","survey-likert","14","465893","0.0-14.0","u4f7wp70","","","","","","","",""
"","","","call-function","15","465893","0.0-15.0","u4f7wp70","","","","","","","",""
"null","","","html-keyboard-response","16","467395","0.0-16.0","u4f7wp70","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","470021","0.0-17.0","u4f7wp70","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1593146.bmp_pp93_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","471524","0.0-18.0","u4f7wp70","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","474130","0.0-19.0","u4f7wp70","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1593146.bmp_pp93_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","474130","0.0-20.0","u4f7wp70","","","","","","","",""
"5226.924999999988","{""judgement"":1}","[0]","survey-likert","21","479359","0.0-21.0","u4f7wp70","","","","","","","","0"
"3152.545000000042","{""confidence"":1}","[0]","survey-likert","22","482513","0.0-22.0","u4f7wp70","","","","","","","",""
"","","","call-function","23","482513","0.0-23.0","u4f7wp70","","","","","","","",""
"null","","","html-keyboard-response","24","484016","0.0-24.0","u4f7wp70","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","486934","0.0-25.0","u4f7wp70","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/498253.bmp_pp67_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","488440","0.0-26.0","u4f7wp70","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
