"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"75327.975","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","75340","0.0-0.0","ua7kg9qu","","","","","","","",""
"23910.045","","","instructions","1","99252","0.0-1.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":23909.875}]","","","","","","",""
"17376.850000000006","","","instructions","2","116631","0.0-2.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":7850.625},{""page_index"":1,""viewing_time"":1346.9000000000087},{""page_index"":2,""viewing_time"":8179.189999999988}]","","","","","","",""
"2985.1900000000023","","","instructions","3","119618","0.0-3.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":2985.0800000000017}]","","","","","","",""
"null","","","video-keyboard-response","4","122699","0.0-4.0","ua7kg9qu","","","null","","","","",""
"16362.494999999995","","","instructions","5","139063","0.0-5.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":8074.670000000013},{""page_index"":1,""viewing_time"":4946.8949999999895},{""page_index"":2,""viewing_time"":3340.8150000000023}]","","","","","","",""
"3363.529999999999","","","instructions","6","142428","0.0-6.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":3363.4199999999837}]","","","","","","",""
"1161.7900000000081","","","instructions","7","143591","0.0-7.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":1161.5450000000128}]","","","","","","",""
"null","","","video-keyboard-response","8","146670","0.0-8.0","ua7kg9qu","","","null","","","","",""
"13288.584999999992","","","instructions","9","159960","0.0-9.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":2008.5350000000035},{""page_index"":1,""viewing_time"":4754.819999999978},{""page_index"":2,""viewing_time"":6525.055000000022}]","","","","","","",""
"4391.455000000016","","","instructions","10","164353","0.0-10.0","ua7kg9qu","[{""page_index"":0,""viewing_time"":4391.335000000021}]","","","","","","",""
"","","","call-function","11","164355","0.0-11.0","ua7kg9qu","","","","","","","",""
"null","","","html-keyboard-response","12","165858","0.0-12.0","ua7kg9qu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","168635","0.0-13.0","ua7kg9qu","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","14","170141","0.0-14.0","ua7kg9qu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","172932","0.0-15.0","ua7kg9qu","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","172933","0.0-16.0","ua7kg9qu","","","","","","","",""
"6408.2149999999965","{""judgement"":0}","[0]","survey-likert","17","179343","0.0-17.0","ua7kg9qu","","","","","","","","1"
"2638.5650000000023","{""confidence"":1}","[0]","survey-likert","18","181984","0.0-18.0","ua7kg9qu","","","","","","","",""
"","","","call-function","19","181985","0.0-19.0","ua7kg9qu","","","","","","","",""
"null","","","html-keyboard-response","20","183488","0.0-20.0","ua7kg9qu","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","186273","0.0-21.0","ua7kg9qu","","","null","","Agent A","veridical","FOR_REV_MAP_BLOBBY_STIM/286034.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","187779","0.0-22.0","ua7kg9qu","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
