"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"78519.56999999999","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","78528","0.0-0.0","ut2jqyy7","","","","","","","",""
"26141.559999999998","","","instructions","1","104671","0.0-1.0","ut2jqyy7","[{""page_index"":0,""viewing_time"":26141.395000000004}]","","","","","","",""
"15099.895000000004","","","instructions","2","119772","0.0-2.0","ut2jqyy7","[{""page_index"":0,""viewing_time"":1440.875},{""page_index"":1,""viewing_time"":6098.945000000007},{""page_index"":2,""viewing_time"":7559.944999999992}]","","","","","","",""
"2338.479999999996","","","instructions","3","122111","0.0-3.0","ut2jqyy7","[{""page_index"":0,""viewing_time"":2338.3649999999907}]","","","","","","",""
"null","","","video-keyboard-response","4","125212","0.0-4.0","ut2jqyy7","","","null","","","","",""
"17299.75499999999","","","instructions","5","142513","0.0-5.0","ut2jqyy7","[{""page_index"":0,""viewing_time"":2852.6399999999994},{""page_index"":1,""viewing_time"":2731.0050000000047},{""page_index"":2,""viewing_time"":1122.070000000007},{""page_index"":3,""viewing_time"":3293.8649999999907},{""page_index"":4,""viewing_time"":7300.040000000008}]","","","","","","",""
"3816.4349999999977","","","instructions","6","146330","0.0-6.0","ut2jqyy7","[{""page_index"":0,""viewing_time"":3816.304999999993}]","","","","","","",""
"","","","call-function","7","146330","0.0-7.0","ut2jqyy7","","","","","","","",""
"null","","","html-keyboard-response","8","147836","0.0-8.0","ut2jqyy7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","150662","0.0-9.0","ut2jqyy7","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592286.bmp_pp52_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","152168","0.0-10.0","ut2jqyy7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
