"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"13600.94","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","13609","0.0-0.0","v8fotb86","","","","","","","",""
"101621.375","","","instructions","1","115232","0.0-1.0","v8fotb86","[{""page_index"":0,""viewing_time"":101621.23000000001}]","","","","","","",""
"10588.429999999993","","","instructions","2","125821","0.0-2.0","v8fotb86","[{""page_index"":0,""viewing_time"":998.2549999999901},{""page_index"":1,""viewing_time"":4584.805000000008},{""page_index"":2,""viewing_time"":5005.25}]","","","","","","",""
"3080.3150000000023","","","instructions","3","128902","0.0-3.0","v8fotb86","[{""page_index"":0,""viewing_time"":3080.2100000000064}]","","","","","","",""
"null","","","video-keyboard-response","4","131976","0.0-4.0","v8fotb86","","","null","","","","",""
"15713.51000000001","","","instructions","5","147690","0.0-5.0","v8fotb86","[{""page_index"":0,""viewing_time"":2745.3399999999965},{""page_index"":1,""viewing_time"":1797.0450000000128},{""page_index"":2,""viewing_time"":1352.9799999999814},{""page_index"":3,""viewing_time"":4595.015000000014},{""page_index"":4,""viewing_time"":5222.994999999995}]","","","","","","",""
"4857.609999999986","","","instructions","6","152548","0.0-6.0","v8fotb86","[{""page_index"":0,""viewing_time"":4857.479999999981}]","","","","","","",""
"","","","call-function","7","152549","0.0-7.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","8","154052","0.0-8.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","157134","0.0-9.0","v8fotb86","","","null","","Agent A","scrambled","STIM_SET_1/713371.bmp_pp68_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","158641","0.0-10.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","161726","0.0-11.0","v8fotb86","","","null","","Agent B","veridical","STIM_SET_1/713371.bmp_pp68_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","161726","0.0-12.0","v8fotb86","","","","","","","",""
"2604.625","{""judgement"":0}","[0]","survey-likert","13","164332","0.0-13.0","v8fotb86","","","","","","","","1"
"2995.9100000000035","{""confidence"":2}","[0]","survey-likert","14","167329","0.0-14.0","v8fotb86","","","","","","","",""
"","","","call-function","15","167330","0.0-15.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","16","168834","0.0-16.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","171904","0.0-17.0","v8fotb86","","","null","","Agent A","scrambled","STIM_SET_1/498170.bmp_pp153_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","173411","0.0-18.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","176484","0.0-19.0","v8fotb86","","","null","","Agent B","veridical","STIM_SET_1/498170.bmp_pp153_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","20","176485","0.0-20.0","v8fotb86","","","","","","","",""
"3934.975000000006","{""judgement"":1}","[0]","survey-likert","21","180422","0.0-21.0","v8fotb86","","","","","","","","1"
"1577.9249999999884","{""confidence"":0}","[0]","survey-likert","22","182001","0.0-22.0","v8fotb86","","","","","","","",""
"","","","call-function","23","182001","0.0-23.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","24","183504","0.0-24.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","186590","0.0-25.0","v8fotb86","","","null","","Agent A","veridical","STIM_SET_1/1593041.bmp_pp58_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","188092","0.0-26.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","191177","0.0-27.0","v8fotb86","","","null","","Agent B","scrambled","STIM_SET_1/1593041.bmp_pp58_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","28","191177","0.0-28.0","v8fotb86","","","","","","","",""
"3702.579999999987","{""judgement"":1}","[0]","survey-likert","29","194881","0.0-29.0","v8fotb86","","","","","","","","0"
"5999.545000000013","{""confidence"":0}","[0]","survey-likert","30","200881","0.0-30.0","v8fotb86","","","","","","","",""
"","","","call-function","31","200883","0.0-31.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","32","202388","0.0-32.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","205458","0.0-33.0","v8fotb86","","","null","","Agent A","scrambled","STIM_SET_1/285994.bmp_pp92_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","206960","0.0-34.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","210030","0.0-35.0","v8fotb86","","","null","","Agent B","veridical","STIM_SET_1/285994.bmp_pp92_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","36","210031","0.0-36.0","v8fotb86","","","","","","","",""
"2464.7999999999884","{""judgement"":0}","[0]","survey-likert","37","212496","0.0-37.0","v8fotb86","","","","","","","","1"
"1822.6499999999942","{""confidence"":1}","[0]","survey-likert","38","214320","0.0-38.0","v8fotb86","","","","","","","",""
"","","","call-function","39","214321","0.0-39.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","40","215826","0.0-40.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","218904","0.0-41.0","v8fotb86","","","null","","Agent A","scrambled","STIM_SET_1/1160127.bmp_pp90_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","42","220408","0.0-42.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","223485","0.0-43.0","v8fotb86","","","null","","Agent B","veridical","STIM_SET_1/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","44","223486","0.0-44.0","v8fotb86","","","","","","","",""
"3286.420000000013","{""judgement"":0}","[0]","survey-likert","45","226773","0.0-45.0","v8fotb86","","","","","","","","1"
"1935.5900000000256","{""confidence"":1}","[0]","survey-likert","46","228710","0.0-46.0","v8fotb86","","","","","","","",""
"","","","call-function","47","228710","0.0-47.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","48","230213","0.0-48.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","233295","0.0-49.0","v8fotb86","","","null","","Agent A","veridical","STIM_SET_1/498175.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","50","234798","0.0-50.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","237914","0.0-51.0","v8fotb86","","","null","","Agent B","scrambled","STIM_SET_1/498175.bmp_pp154_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","52","237915","0.0-52.0","v8fotb86","","","","","","","",""
"1911.3250000000116","{""judgement"":0}","[0]","survey-likert","53","239827","0.0-53.0","v8fotb86","","","","","","","","0"
"2358.7000000000116","{""confidence"":2}","[0]","survey-likert","54","242186","0.0-54.0","v8fotb86","","","","","","","",""
"","","","call-function","55","242187","0.0-55.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","56","243693","0.0-56.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","246796","0.0-57.0","v8fotb86","","","null","","Agent A","scrambled","STIM_SET_1/1159446.bmp_pp60_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","58","248302","0.0-58.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","251403","0.0-59.0","v8fotb86","","","null","","Agent B","veridical","STIM_SET_1/1159446.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","60","251404","0.0-60.0","v8fotb86","","","","","","","",""
"2802.889999999985","{""judgement"":1}","[0]","survey-likert","61","254207","0.0-61.0","v8fotb86","","","","","","","","1"
"2301.0250000000233","{""confidence"":0}","[0]","survey-likert","62","256509","0.0-62.0","v8fotb86","","","","","","","",""
"","","","call-function","63","256510","0.0-63.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","64","258015","0.0-64.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","261132","0.0-65.0","v8fotb86","","","null","","Agent A","scrambled","STIM_SET_1/1592804.bmp_pp91_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","66","262636","0.0-66.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","265754","0.0-67.0","v8fotb86","","","null","","Agent B","veridical","STIM_SET_1/1592804.bmp_pp91_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","68","265754","0.0-68.0","v8fotb86","","","","","","","",""
"2494.515000000014","{""judgement"":0}","[0]","survey-likert","69","268249","0.0-69.0","v8fotb86","","","","","","","","1"
"1703.5449999999837","{""confidence"":1}","[0]","survey-likert","70","269954","0.0-70.0","v8fotb86","","","","","","","",""
"","","","call-function","71","269955","0.0-71.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","72","271459","0.0-72.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","274526","0.0-73.0","v8fotb86","","","null","","Agent A","scrambled","STIM_SET_1/1592133.bmp_pp75_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","74","276032","0.0-74.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","279141","0.0-75.0","v8fotb86","","","null","","Agent B","veridical","STIM_SET_1/1592133.bmp_pp75_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","76","279141","0.0-76.0","v8fotb86","","","","","","","",""
"2333.125","{""judgement"":0}","[0]","survey-likert","77","281475","0.0-77.0","v8fotb86","","","","","","","","1"
"2837.429999999993","{""confidence"":0}","[0]","survey-likert","78","284313","0.0-78.0","v8fotb86","","","","","","","",""
"","","","call-function","79","284314","0.0-79.0","v8fotb86","","","","","","","",""
"null","","","html-keyboard-response","80","285815","0.0-80.0","v8fotb86","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
