"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"90845.08","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","90853","0.0-0.0","vat48sj1","","","","","","","",""
"44863.53999999999","","","instructions","1","135718","0.0-1.0","vat48sj1","[{""page_index"":0,""viewing_time"":44863.39}]","","","","","","",""
"11599.945000000007","","","instructions","2","147319","0.0-2.0","vat48sj1","[{""page_index"":0,""viewing_time"":2481.8850000000093},{""page_index"":1,""viewing_time"":4327.054999999993},{""page_index"":2,""viewing_time"":4790.875}]","","","","","","",""
"2637.9199999999837","","","instructions","3","149957","0.0-3.0","vat48sj1","[{""page_index"":0,""viewing_time"":2637.8150000000023}]","","","","","","",""
"null","","","video-keyboard-response","4","153081","0.0-4.0","vat48sj1","","","null","","","","",""
"18971.48999999999","","","instructions","5","172053","0.0-5.0","vat48sj1","[{""page_index"":0,""viewing_time"":2346.389999999985},{""page_index"":1,""viewing_time"":3843.935000000027},{""page_index"":2,""viewing_time"":943.054999999993},{""page_index"":3,""viewing_time"":5512.440000000002},{""page_index"":4,""viewing_time"":6325.104999999981}]","","","","","","",""
"9510.660000000003","","","instructions","6","181565","0.0-6.0","vat48sj1","[{""page_index"":0,""viewing_time"":9510.540000000008}]","","","","","","",""
"","","","call-function","7","181566","0.0-7.0","vat48sj1","","","","","","","",""
"null","","","html-keyboard-response","8","183071","0.0-8.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","185860","0.0-9.0","vat48sj1","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159768.bmp_pp89_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","187366","0.0-10.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","190148","0.0-11.0","vat48sj1","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159768.bmp_pp89_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","190148","0.0-12.0","vat48sj1","","","","","","","",""
"6643.755000000005","{""judgement"":1}","[0]","survey-likert","13","196793","0.0-13.0","vat48sj1","","","","","","","","0"
"5117.9499999999825","{""confidence"":0}","[0]","survey-likert","14","201912","0.0-14.0","vat48sj1","","","","","","","",""
"","","","call-function","15","201913","0.0-15.0","vat48sj1","","","","","","","",""
"null","","","html-keyboard-response","16","203417","0.0-16.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","206205","0.0-17.0","vat48sj1","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159855.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","207707","0.0-18.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","210499","0.0-19.0","vat48sj1","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159855.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","210500","0.0-20.0","vat48sj1","","","","","","","",""
"11568.445000000007","{""judgement"":0}","[0]","survey-likert","21","222069","0.0-21.0","vat48sj1","","","","","","","","0"
"1873.1500000000233","{""confidence"":0}","[0]","survey-likert","22","223945","0.0-22.0","vat48sj1","","","","","","","",""
"","","","call-function","23","223945","0.0-23.0","vat48sj1","","","","","","","",""
"null","","","html-keyboard-response","24","225448","0.0-24.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","228320","0.0-25.0","vat48sj1","","","null","","Agent A","scrambled","FOR_REV_BLOBBY_STIM/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","26","229822","0.0-26.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","232626","0.0-27.0","vat48sj1","","","null","","Agent B","veridical","FOR_REV_BLOBBY_STIM/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","232626","0.0-28.0","vat48sj1","","","","","","","",""
"1766.4700000000012","{""judgement"":0}","[0]","survey-likert","29","234393","0.0-29.0","vat48sj1","","","","","","","","1"
"2288.204999999987","{""confidence"":3}","[0]","survey-likert","30","236682","0.0-30.0","vat48sj1","","","","","","","",""
"","","","call-function","31","236683","0.0-31.0","vat48sj1","","","","","","","",""
"null","","","html-keyboard-response","32","238188","0.0-32.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","241059","0.0-33.0","vat48sj1","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713681.bmp_pp86_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","242561","0.0-34.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","245377","0.0-35.0","vat48sj1","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713681.bmp_pp86_L2_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","36","245377","0.0-36.0","vat48sj1","","","","","","","",""
"2311.595000000001","{""judgement"":0}","[0]","survey-likert","37","247689","0.0-37.0","vat48sj1","","","","","","","","0"
"1998.0049999999756","{""confidence"":2}","[0]","survey-likert","38","249688","0.0-38.0","vat48sj1","","","","","","","",""
"","","","call-function","39","249689","0.0-39.0","vat48sj1","","","","","","","",""
"null","","","html-keyboard-response","40","251193","0.0-40.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","254033","0.0-41.0","vat48sj1","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592286.bmp_pp52_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","255535","0.0-42.0","vat48sj1","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
