"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"8588.03","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","8602","0.0-0.0","vlorxxl6","","","","","","","",""
"116587.04","","","instructions","1","125192","0.0-1.0","vlorxxl6","[{""page_index"":0,""viewing_time"":116586.885}]","","","","","","",""
"4413.544999999998","","","instructions","2","129606","0.0-2.0","vlorxxl6","[{""page_index"":0,""viewing_time"":960.1200000000099},{""page_index"":1,""viewing_time"":1726.8449999999866},{""page_index"":2,""viewing_time"":1726.4400000000023}]","","","","","","",""
"2507.4250000000175","","","instructions","3","132115","0.0-3.0","vlorxxl6","[{""page_index"":0,""viewing_time"":2507.320000000007}]","","","","","","",""
"null","","","video-keyboard-response","4","135190","0.0-4.0","vlorxxl6","","","null","","","","",""
"7688.195000000007","","","instructions","5","142879","0.0-5.0","vlorxxl6","[{""page_index"":0,""viewing_time"":1699.1000000000058},{""page_index"":1,""viewing_time"":1816.9049999999988},{""page_index"":2,""viewing_time"":913.3299999999872},{""page_index"":3,""viewing_time"":855.7050000000163},{""page_index"":4,""viewing_time"":2403.029999999999}]","","","","","","",""
"1704.6499999999942","","","instructions","6","144584","0.0-6.0","vlorxxl6","[{""page_index"":0,""viewing_time"":1704.5249999999942}]","","","","","","",""
"","","","call-function","7","144585","0.0-7.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","8","146088","0.0-8.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","149173","0.0-9.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/285946.bmp_pp79_L2_V2_veridical_freeview_isoFalsemismatch_285751.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","10","150680","0.0-10.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","153756","0.0-11.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/285751.bmp_pp55_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","153757","0.0-12.0","vlorxxl6","","","","","","","",""
"2754.3249999999825","{""judgement"":1}","[0]","survey-likert","13","156513","0.0-13.0","vlorxxl6","","","","","","","","1"
"1493.7850000000035","{""confidence"":2}","[0]","survey-likert","14","158008","0.0-14.0","vlorxxl6","","","","","","","",""
"","","","call-function","15","158008","0.0-15.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","16","159514","0.0-16.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","162592","0.0-17.0","vlorxxl6","","","null","","Agent A","veridical","STIM_SET_1_REAL/1160127.bmp_pp90_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","164097","0.0-18.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","167205","0.0-19.0","vlorxxl6","","","null","","Agent B","scrambled","STIM_SET_3/498372.bmp_pp95_L2_V2_veridical_freeview_isoFalsemismatch_1160127.bmp_L2_fps90.mp4",""
"","","","call-function","20","167206","0.0-20.0","vlorxxl6","","","","","","","",""
"2914.545000000013","{""judgement"":0}","[0]","survey-likert","21","170122","0.0-21.0","vlorxxl6","","","","","","","","0"
"1050.679999999993","{""confidence"":1}","[0]","survey-likert","22","171174","0.0-22.0","vlorxxl6","","","","","","","",""
"","","","call-function","23","171174","0.0-23.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","24","172675","0.0-24.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","175787","0.0-25.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/150463.bmp_pp55_L3_V2_veridical_freeview_isoFalsemismatch_1592619.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","26","177290","0.0-26.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","180375","0.0-27.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592619.bmp_pp56_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","180376","0.0-28.0","vlorxxl6","","","","","","","",""
"2226.9349999999977","{""judgement"":0}","[0]","survey-likert","29","182603","0.0-29.0","vlorxxl6","","","","","","","","1"
"993.2149999999965","{""confidence"":2}","[0]","survey-likert","30","183598","0.0-30.0","vlorxxl6","","","","","","","",""
"","","","call-function","31","183598","0.0-31.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","32","185102","0.0-32.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","188260","0.0-33.0","vlorxxl6","","","null","","Agent A","veridical","STIM_SET_1_REAL/498149.bmp_pp99_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","189765","0.0-34.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","192854","0.0-35.0","vlorxxl6","","","null","","Agent B","scrambled","STIM_SET_3/107955.bmp_pp90_L2_V2_veridical_freeview_isoFalsemismatch_498149.bmp_L2_fps90.mp4",""
"","","","call-function","36","192855","0.0-36.0","vlorxxl6","","","","","","","",""
"2917.6449999999895","{""judgement"":0}","[0]","survey-likert","37","195773","0.0-37.0","vlorxxl6","","","","","","","","0"
"3965.4400000000023","{""confidence"":1}","[0]","survey-likert","38","199740","0.0-38.0","vlorxxl6","","","","","","","",""
"","","","call-function","39","199741","0.0-39.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","40","201242","0.0-40.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","204308","0.0-41.0","vlorxxl6","","","null","","Agent A","veridical","STIM_SET_1_REAL/713089.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","42","205812","0.0-42.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","208934","0.0-43.0","vlorxxl6","","","null","","Agent B","scrambled","STIM_SET_3/1592201.bmp_pp97_L3_V2_veridical_freeview_isoFalsemismatch_713089.bmp_L3_fps90.mp4",""
"","","","call-function","44","208935","0.0-44.0","vlorxxl6","","","","","","","",""
"2211.8800000000047","{""judgement"":0}","[0]","survey-likert","45","211147","0.0-45.0","vlorxxl6","","","","","","","","0"
"1451.070000000007","{""confidence"":3}","[0]","survey-likert","46","212600","0.0-46.0","vlorxxl6","","","","","","","",""
"","","","call-function","47","212600","0.0-47.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","48","214103","0.0-48.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","217194","0.0-49.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/713633.bmp_pp58_L1_V2_veridical_freeview_isoFalsemismatch_713796.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","50","218698","0.0-50.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","221769","0.0-51.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/713796.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","52","221769","0.0-52.0","vlorxxl6","","","","","","","",""
"2217.209999999992","{""judgement"":1}","[0]","survey-likert","53","223987","0.0-53.0","vlorxxl6","","","","","","","","1"
"1022.2200000000012","{""confidence"":2}","[0]","survey-likert","54","225011","0.0-54.0","vlorxxl6","","","","","","","",""
"","","","call-function","55","225011","0.0-55.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","56","226512","0.0-56.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","229587","0.0-57.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/1591975.bmp_pp88_L2_V2_veridical_freeview_isoFalsemismatch_713017.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","58","231091","0.0-58.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","234160","0.0-59.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/713017.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","60","234162","0.0-60.0","vlorxxl6","","","","","","","",""
"7709.385000000009","{""judgement"":1}","[0]","survey-likert","61","241873","0.0-61.0","vlorxxl6","","","","","","","","1"
"1265.2850000000035","{""confidence"":1}","[0]","survey-likert","62","243139","0.0-62.0","vlorxxl6","","","","","","","",""
"","","","call-function","63","243140","0.0-63.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","64","244646","0.0-64.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","247737","0.0-65.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/713790.bmp_pp100_L3_V2_veridical_freeview_isoFalsemismatch_1592397.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","66","249242","0.0-66.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","252312","0.0-67.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592397.bmp_pp85_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","68","252313","0.0-68.0","vlorxxl6","","","","","","","",""
"9531.210000000021","{""judgement"":0}","[0]","survey-likert","69","261845","0.0-69.0","vlorxxl6","","","","","","","","1"
"1290.7000000000407","{""confidence"":1}","[0]","survey-likert","70","263137","0.0-70.0","vlorxxl6","","","","","","","",""
"","","","call-function","71","263138","0.0-71.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","72","264640","0.0-72.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","267740","0.0-73.0","vlorxxl6","","","null","","Agent A","veridical","STIM_SET_1_REAL/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","74","269243","0.0-74.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","272367","0.0-75.0","vlorxxl6","","","null","","Agent B","scrambled","STIM_SET_3/1159973.bmp_pp98_L1_V2_veridical_freeview_isoFalsemismatch_285933.bmp_L1_fps90.mp4",""
"","","","call-function","76","272367","0.0-76.0","vlorxxl6","","","","","","","",""
"1689.8300000000163","{""judgement"":0}","[0]","survey-likert","77","274058","0.0-77.0","vlorxxl6","","","","","","","","0"
"2064.0950000000303","{""confidence"":3}","[0]","survey-likert","78","276123","0.0-78.0","vlorxxl6","","","","","","","",""
"","","","call-function","79","276125","0.0-79.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","80","277628","0.0-80.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","280740","0.0-81.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/1159325.bmp_pp67_L2_V2_veridical_freeview_isoFalsemismatch_1593035.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","82","282243","0.0-82.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","83","285332","0.0-83.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","84","285333","0.0-84.0","vlorxxl6","","","","","","","",""
"4264.209999999963","{""judgement"":1}","[0]","survey-likert","85","289598","0.0-85.0","vlorxxl6","","","","","","","","1"
"1422.884999999951","{""confidence"":1}","[0]","survey-likert","86","291022","0.0-86.0","vlorxxl6","","","","","","","",""
"2070.5849999999627","","","instructions","87","293093","0.0-87.0","vlorxxl6","[{""page_index"":0,""viewing_time"":1211.4349999999977},{""page_index"":1,""viewing_time"":427.8999999999651},{""page_index"":2,""viewing_time"":431.0900000000256}]","","","","","","",""
"2452.414999999979","","","instructions","88","295546","0.0-88.0","vlorxxl6","[{""page_index"":0,""viewing_time"":685.3099999999977},{""page_index"":1,""viewing_time"":1092.195000000007},{""page_index"":2,""viewing_time"":674.7999999999884}]","","","","","","",""
"","","","call-function","89","295547","0.0-89.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","90","297049","0.0-90.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","91","300134","0.0-91.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/498258.bmp_pp51_L1_V2_veridical_freeview_isoFalsemismatch_498155.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","92","301637","0.0-92.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","93","304717","0.0-93.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","94","304718","0.0-94.0","vlorxxl6","","","","","","","",""
"2012.8850000000093","{""judgement"":0}","[0]","survey-likert","95","306732","0.0-95.0","vlorxxl6","","","","","","","","1"
"1162.5750000000116","{""confidence"":1}","[0]","survey-likert","96","307895","0.0-96.0","vlorxxl6","","","","","","","",""
"","","","call-function","97","307896","0.0-97.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","98","309401","0.0-98.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","99","312487","0.0-99.0","vlorxxl6","","","null","","Agent A","scrambled","STIM_SET_3/1592025.bmp_pp68_L1_V2_veridical_freeview_isoFalsemismatch_1592351.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","100","313992","0.0-100.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","101","317055","0.0-101.0","vlorxxl6","","","null","","Agent B","veridical","STIM_SET_1_REAL/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","102","317056","0.0-102.0","vlorxxl6","","","","","","","",""
"8713.484999999986","{""judgement"":0}","[0]","survey-likert","103","325770","0.0-103.0","vlorxxl6","","","","","","","","1"
"2188.835000000021","{""confidence"":1}","[0]","survey-likert","104","327960","0.0-104.0","vlorxxl6","","","","","","","",""
"","","","call-function","105","327960","0.0-105.0","vlorxxl6","","","","","","","",""
"null","","","html-keyboard-response","106","329462","0.0-106.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","107","332553","0.0-107.0","vlorxxl6","","","null","","Agent A","veridical","STIM_SET_1_REAL/497950.bmp_pp151_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","108","334056","0.0-108.0","vlorxxl6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
