"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"6384.05","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","6393","0.0-0.0","vrrer54g","","","","","","","",""
"6995.165000000001","","","instructions","1","13390","0.0-1.0","vrrer54g","[{""page_index"":0,""viewing_time"":6994.610000000001}]","","","","","","",""
"5838.9349999999995","","","instructions","2","19231","0.0-2.0","vrrer54g","[{""page_index"":0,""viewing_time"":3950.49},{""page_index"":1,""viewing_time"":569.0550000000003},{""page_index"":2,""viewing_time"":1319.260000000002}]","","","","","","",""
"791.4650000000001","","","instructions","3","20023","0.0-3.0","vrrer54g","[{""page_index"":0,""viewing_time"":791.3600000000006}]","","","","","","",""
"null","","","video-keyboard-response","4","23095","0.0-4.0","vrrer54g","","","null","","","","",""
"11464.410000000003","","","instructions","5","34560","0.0-5.0","vrrer54g","[{""page_index"":0,""viewing_time"":4589.220000000001},{""page_index"":1,""viewing_time"":3246.0550000000003},{""page_index"":2,""viewing_time"":3629.034999999996}]","","","","","","",""
"393.40000000000146","","","instructions","6","34954","0.0-6.0","vrrer54g","[{""page_index"":0,""viewing_time"":393.3000000000029}]","","","","","","",""
"588.489999999998","","","instructions","7","35543","0.0-7.0","vrrer54g","[{""page_index"":0,""viewing_time"":588.2750000000015}]","","","","","","",""
"null","","","video-keyboard-response","8","38617","0.0-8.0","vrrer54g","","","null","","","","",""
"4412.940000000002","","","instructions","9","43031","0.0-9.0","vrrer54g","[{""page_index"":0,""viewing_time"":1440.685000000005},{""page_index"":1,""viewing_time"":1094.7099999999991},{""page_index"":2,""viewing_time"":1877.3999999999942}]","","","","","","",""
"1569.8899999999994","","","instructions","10","44601","0.0-10.0","vrrer54g","[{""page_index"":0,""viewing_time"":1569.7750000000015}]","","","","","","",""
"","","","call-function","11","44602","0.0-11.0","vrrer54g","","","","","","","",""
"null","","","html-keyboard-response","12","46109","0.0-12.0","vrrer54g","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","49177","0.0-13.0","vrrer54g","","","null","","Agent A","veridical","STIM_SET_2_144/1592298.bmp_pp56_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","14","50681","0.0-14.0","vrrer54g","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","53754","0.0-15.0","vrrer54g","","","null","","Agent B","scrambled","STIM_SET_5/1592298.bmp_pp56_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","16","53754","0.0-16.0","vrrer54g","","","","","","","",""
"1751.114999999998","{""judgement"":0}","[0]","survey-likert","17","55506","0.0-17.0","vrrer54g","","","","","","","","0"
"1162.6749999999956","{""confidence"":1}","[0]","survey-likert","18","56670","0.0-18.0","vrrer54g","","","","","","","",""
"","","","call-function","19","56671","0.0-19.0","vrrer54g","","","","","","","",""
"null","","","html-keyboard-response","20","58176","0.0-20.0","vrrer54g","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
