"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"564628.77","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","564638","0.0-0.0","vzogssju","","","","","","","",""
"179145.66000000003","","","instructions","1","743785","0.0-1.0","vzogssju","[{""page_index"":0,""viewing_time"":179145.47999999998}]","","","","","","",""
"17190.65499999991","","","instructions","2","760977","0.0-2.0","vzogssju","[{""page_index"":0,""viewing_time"":8767.66499999992},{""page_index"":1,""viewing_time"":1275.670000000042},{""page_index"":2,""viewing_time"":7147.199999999953}]","","","","","","",""
"2787.3800000000047","","","instructions","3","763765","0.0-3.0","vzogssju","[{""page_index"":0,""viewing_time"":2787.2700000000186}]","","","","","","",""
"null","","","video-keyboard-response","4","766840","0.0-4.0","vzogssju","","","null","","","","",""
"13772.270000000019","","","instructions","5","780613","0.0-5.0","vzogssju","[{""page_index"":0,""viewing_time"":3867.944999999949},{""page_index"":1,""viewing_time"":3900.155000000028},{""page_index"":2,""viewing_time"":6004.0650000000605}]","","","","","","",""
"3378.2399999999907","","","instructions","6","783992","0.0-6.0","vzogssju","[{""page_index"":0,""viewing_time"":3378.1350000000093}]","","","","","","",""
"1484.7949999999255","","","instructions","7","785477","0.0-7.0","vzogssju","[{""page_index"":0,""viewing_time"":1484.5749999999534}]","","","","","","",""
"null","","","video-keyboard-response","8","788552","0.0-8.0","vzogssju","","","null","","","","",""
"10112.390000000014","","","instructions","9","798665","0.0-9.0","vzogssju","[{""page_index"":0,""viewing_time"":872.3050000000512},{""page_index"":1,""viewing_time"":2726.0100000000093},{""page_index"":2,""viewing_time"":6513.939999999944}]","","","","","","",""
"13155.505000000005","","","instructions","10","811821","0.0-10.0","vzogssju","[{""page_index"":0,""viewing_time"":13155.390000000014}]","","","","","","",""
"","","","call-function","11","811822","0.0-11.0","vzogssju","","","","","","","",""
"null","","","html-keyboard-response","12","813324","0.0-12.0","vzogssju","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","816399","0.0-13.0","vzogssju","","","null","","Agent A","scrambled","STIM_SET_2/1159329.bmp_pp61_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","817902","0.0-14.0","vzogssju","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","820977","0.0-15.0","vzogssju","","","null","","Agent B","veridical","STIM_SET_2/1159329.bmp_pp61_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","820977","0.0-16.0","vzogssju","","","","","","","",""
"6475.650000000023","{""judgement"":1}","[0]","survey-likert","17","827454","0.0-17.0","vzogssju","","","","","","","","1"
"4435.054999999935","{""confidence"":0}","[0]","survey-likert","18","831891","0.0-18.0","vzogssju","","","","","","","",""
"","","","call-function","19","831892","0.0-19.0","vzogssju","","","","","","","",""
"null","","","html-keyboard-response","20","833394","0.0-20.0","vzogssju","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","836459","0.0-21.0","vzogssju","","","null","","Agent A","scrambled","STIM_SET_2/286034.bmp_pp69_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","837961","0.0-22.0","vzogssju","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","841028","0.0-23.0","vzogssju","","","null","","Agent B","veridical","STIM_SET_2/286034.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","841029","0.0-24.0","vzogssju","","","","","","","",""
"3834.8249999999534","{""judgement"":0}","[0]","survey-likert","25","844865","0.0-25.0","vzogssju","","","","","","","","1"
"1677.6699999999255","{""confidence"":2}","[0]","survey-likert","26","846544","0.0-26.0","vzogssju","","","","","","","",""
"","","","call-function","27","846544","0.0-27.0","vzogssju","","","","","","","",""
"null","","","html-keyboard-response","28","848046","0.0-28.0","vzogssju","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","851117","0.0-29.0","vzogssju","","","null","","Agent A","veridical","STIM_SET_2/713652.bmp_pp89_L1_V1_veridical_freeview_isoTrue.mp4",""
