"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"14253.78","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","14263","0.0-0.0","w6xvdhgb","","","","","","","",""
"15551.34","","","instructions","1","29816","0.0-1.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":15551.185000000001}]","","","","","","",""
"11370.929999999997","","","instructions","2","41187","0.0-2.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":5139.204999999998},{""page_index"":1,""viewing_time"":1121.6949999999997},{""page_index"":2,""viewing_time"":5109.9100000000035}]","","","","","","",""
"2520.5999999999985","","","instructions","3","43708","0.0-3.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":2520.4950000000026}]","","","","","","",""
"null","","","video-keyboard-response","4","46782","0.0-4.0","w6xvdhgb","","","null","","","","",""
"10479.945","","","instructions","5","57263","0.0-5.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":1600.520000000004},{""page_index"":1,""viewing_time"":1874.0049999999974},{""page_index"":2,""viewing_time"":7005.305}]","","","","","","",""
"2790.2249999999985","","","instructions","6","60053","0.0-6.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":2790.1200000000026}]","","","","","","",""
"1446.810000000005","","","instructions","7","61500","0.0-7.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":1446.5900000000038}]","","","","","","",""
"null","","","video-keyboard-response","8","64575","0.0-8.0","w6xvdhgb","","","null","","","","",""
"9163.419999999998","","","instructions","9","73739","0.0-9.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":966.0350000000035},{""page_index"":1,""viewing_time"":2625.8849999999948},{""page_index"":2,""viewing_time"":5571.354999999996}]","","","","","","",""
"5240.860000000001","","","instructions","10","78980","0.0-10.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":5240.739999999991}]","","","","","","",""
"","","","call-function","11","78981","0.0-11.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","12","80487","0.0-12.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","83556","0.0-13.0","w6xvdhgb","","","null","","Agent A","veridical","STIM_SET_2/1592150.bmp_pp77_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","85059","0.0-14.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","88130","0.0-15.0","w6xvdhgb","","","null","","Agent B","scrambled","STIM_SET_2/1592150.bmp_pp77_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","16","88131","0.0-16.0","w6xvdhgb","","","","","","","",""
"1868.9900000000052","{""judgement"":0}","[0]","survey-likert","17","90001","0.0-17.0","w6xvdhgb","","","","","","","","0"
"4764.005000000005","{""confidence"":1}","[0]","survey-likert","18","94766","0.0-18.0","w6xvdhgb","","","","","","","",""
"","","","call-function","19","94767","0.0-19.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","20","96273","0.0-20.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","99342","0.0-21.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/1592025.bmp_pp68_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","100848","0.0-22.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","103922","0.0-23.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/1592025.bmp_pp68_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","103922","0.0-24.0","w6xvdhgb","","","","","","","",""
"2105.375","{""judgement"":0}","[0]","survey-likert","25","106030","0.0-25.0","w6xvdhgb","","","","","","","","1"
"1348.2400000000052","{""confidence"":0}","[0]","survey-likert","26","107379","0.0-26.0","w6xvdhgb","","","","","","","",""
"","","","call-function","27","107380","0.0-27.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","28","108884","0.0-28.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","111956","0.0-29.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/1159973.bmp_pp98_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","113460","0.0-30.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","116554","0.0-31.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/1159973.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","116554","0.0-32.0","w6xvdhgb","","","","","","","",""
"3170.7850000000035","{""judgement"":0}","[0]","survey-likert","33","119726","0.0-33.0","w6xvdhgb","","","","","","","","1"
"1797.8800000000047","{""confidence"":0}","[0]","survey-likert","34","121525","0.0-34.0","w6xvdhgb","","","","","","","",""
"","","","call-function","35","121525","0.0-35.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","36","123028","0.0-36.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","126118","0.0-37.0","w6xvdhgb","","","null","","Agent A","veridical","STIM_SET_2/1159392.bmp_pp96_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","127625","0.0-38.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","130715","0.0-39.0","w6xvdhgb","","","null","","Agent B","scrambled","STIM_SET_2/1159392.bmp_pp96_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","40","130715","0.0-40.0","w6xvdhgb","","","","","","","",""
"1157.070000000007","{""judgement"":0}","[0]","survey-likert","41","131873","0.0-41.0","w6xvdhgb","","","","","","","","0"
"1222.4200000000128","{""confidence"":1}","[0]","survey-likert","42","133097","0.0-42.0","w6xvdhgb","","","","","","","",""
"","","","call-function","43","133097","0.0-43.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","44","134600","0.0-44.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","137700","0.0-45.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/1592350.bmp_pp55_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","46","139203","0.0-46.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","142307","0.0-47.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/1592350.bmp_pp55_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","48","142308","0.0-48.0","w6xvdhgb","","","","","","","",""
"1691.570000000007","{""judgement"":1}","[0]","survey-likert","49","144000","0.0-49.0","w6xvdhgb","","","","","","","","1"
"949.9550000000163","{""confidence"":0}","[0]","survey-likert","50","144951","0.0-50.0","w6xvdhgb","","","","","","","",""
"","","","call-function","51","144952","0.0-51.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","52","146458","0.0-52.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","53","149555","0.0-53.0","w6xvdhgb","","","null","","Agent A","veridical","STIM_SET_2/1592530.bmp_pp75_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","54","151057","0.0-54.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","55","154130","0.0-55.0","w6xvdhgb","","","null","","Agent B","scrambled","STIM_SET_2/1592530.bmp_pp75_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","56","154131","0.0-56.0","w6xvdhgb","","","","","","","",""
"3817.320000000007","{""judgement"":1}","[0]","survey-likert","57","157949","0.0-57.0","w6xvdhgb","","","","","","","","0"
"936.820000000007","{""confidence"":0}","[0]","survey-likert","58","158887","0.0-58.0","w6xvdhgb","","","","","","","",""
"","","","call-function","59","158887","0.0-59.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","60","160389","0.0-60.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","61","163465","0.0-61.0","w6xvdhgb","","","null","","Agent A","veridical","STIM_SET_2/498261.bmp_pp84_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","62","164971","0.0-62.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","63","168046","0.0-63.0","w6xvdhgb","","","null","","Agent B","scrambled","STIM_SET_2/498261.bmp_pp84_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","64","168046","0.0-64.0","w6xvdhgb","","","","","","","",""
"1187.3850000000093","{""judgement"":0}","[0]","survey-likert","65","169234","0.0-65.0","w6xvdhgb","","","","","","","","0"
"2215.5750000000116","{""confidence"":1}","[0]","survey-likert","66","171451","0.0-66.0","w6xvdhgb","","","","","","","",""
"","","","call-function","67","171451","0.0-67.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","68","172954","0.0-68.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","69","176022","0.0-69.0","w6xvdhgb","","","null","","Agent A","veridical","STIM_SET_2/1591920.bmp_pp97_L3_V1_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","70","177526","0.0-70.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","71","180622","0.0-71.0","w6xvdhgb","","","null","","Agent B","scrambled","STIM_SET_2/1591920.bmp_pp97_L3_V1_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","72","180623","0.0-72.0","w6xvdhgb","","","","","","","",""
"2818.3850000000093","{""judgement"":0}","[0]","survey-likert","73","183442","0.0-73.0","w6xvdhgb","","","","","","","","0"
"2644.8399999999965","{""confidence"":0}","[0]","survey-likert","74","186089","0.0-74.0","w6xvdhgb","","","","","","","",""
"","","","call-function","75","186089","0.0-75.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","76","187591","0.0-76.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","77","190661","0.0-77.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/1591975.bmp_pp88_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","78","192164","0.0-78.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","79","195231","0.0-79.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/1591975.bmp_pp88_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","80","195231","0.0-80.0","w6xvdhgb","","","","","","","",""
"1951.2950000000128","{""judgement"":1}","[0]","survey-likert","81","197184","0.0-81.0","w6xvdhgb","","","","","","","","1"
"1517.5400000000081","{""confidence"":1}","[0]","survey-likert","82","198702","0.0-82.0","w6xvdhgb","","","","","","","",""
"","","","call-function","83","198703","0.0-83.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","84","200208","0.0-84.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","85","203279","0.0-85.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/1592017.bmp_pp154_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","86","204781","0.0-86.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","87","207850","0.0-87.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/1592017.bmp_pp154_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","88","207850","0.0-88.0","w6xvdhgb","","","","","","","",""
"2075.1199999999953","{""judgement"":1}","[0]","survey-likert","89","209926","0.0-89.0","w6xvdhgb","","","","","","","","1"
"1288.5199999999895","{""confidence"":2}","[0]","survey-likert","90","211216","0.0-90.0","w6xvdhgb","","","","","","","",""
"16157.589999999997","","","instructions","91","227374","0.0-91.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":1598.2350000000151},{""page_index"":1,""viewing_time"":13852.924999999988},{""page_index"":2,""viewing_time"":706.1100000000151}]","","","","","","",""
"2601.404999999999","","","instructions","92","229976","0.0-92.0","w6xvdhgb","[{""page_index"":0,""viewing_time"":543.3099999999977},{""page_index"":1,""viewing_time"":1405.1149999999907},{""page_index"":2,""viewing_time"":652.8699999999953}]","","","","","","",""
"","","","call-function","93","229976","0.0-93.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","94","231478","0.0-94.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","95","234583","0.0-95.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/1592747.bmp_pp53_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","96","236085","0.0-96.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","97","239188","0.0-97.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","98","239188","0.0-98.0","w6xvdhgb","","","","","","","",""
"1355.2399999999907","{""judgement"":1}","[0]","survey-likert","99","240544","0.0-99.0","w6xvdhgb","","","","","","","","1"
"1107.1149999999907","{""confidence"":2}","[0]","survey-likert","100","241652","0.0-100.0","w6xvdhgb","","","","","","","",""
"","","","call-function","101","241652","0.0-101.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","102","243154","0.0-102.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","103","246258","0.0-103.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/713381.bmp_pp82_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","104","247761","0.0-104.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","105","250861","0.0-105.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/713381.bmp_pp82_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","106","250861","0.0-106.0","w6xvdhgb","","","","","","","",""
"1318.9949999999953","{""judgement"":1}","[0]","survey-likert","107","252181","0.0-107.0","w6xvdhgb","","","","","","","","1"
"1645.1499999999942","{""confidence"":2}","[0]","survey-likert","108","253827","0.0-108.0","w6xvdhgb","","","","","","","",""
"","","","call-function","109","253828","0.0-109.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","110","255334","0.0-110.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","111","258410","0.0-111.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/285959.bmp_pp93_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","112","259914","0.0-112.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","113","262993","0.0-113.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/285959.bmp_pp93_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","114","262994","0.0-114.0","w6xvdhgb","","","","","","","",""
"1521.1149999999907","{""judgement"":1}","[0]","survey-likert","115","264516","0.0-115.0","w6xvdhgb","","","","","","","","1"
"1497.4400000000023","{""confidence"":2}","[0]","survey-likert","116","266014","0.0-116.0","w6xvdhgb","","","","","","","",""
"","","","call-function","117","266014","0.0-117.0","w6xvdhgb","","","","","","","",""
"null","","","html-keyboard-response","118","267521","0.0-118.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","119","270589","0.0-119.0","w6xvdhgb","","","null","","Agent A","scrambled","STIM_SET_2/1592314.bmp_pp100_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","120","272090","0.0-120.0","w6xvdhgb","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","121","275159","0.0-121.0","w6xvdhgb","","","null","","Agent B","veridical","STIM_SET_2/1592314.bmp_pp100_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","122","275159","0.0-122.0","w6xvdhgb","","","","","","","",""
