"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"52302.659999999996","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","52311","0.0-0.0","wexsd9v0","","","","","","","",""
"34143.814999999995","","","instructions","1","86457","0.0-1.0","wexsd9v0","[{""page_index"":0,""viewing_time"":34143.665}]","","","","","","",""
"18400.48999999999","","","instructions","2","104858","0.0-2.0","wexsd9v0","[{""page_index"":0,""viewing_time"":8854.12999999999},{""page_index"":1,""viewing_time"":1927.9800000000105},{""page_index"":2,""viewing_time"":7618.099999999991}]","","","","","","",""
"4003.1399999999994","","","instructions","3","108862","0.0-3.0","wexsd9v0","[{""page_index"":0,""viewing_time"":4003.029999999999}]","","","","","","",""
"null","","","video-keyboard-response","4","111936","0.0-4.0","wexsd9v0","","","null","","","","",""
"15279.86","","","instructions","5","127216","0.0-5.0","wexsd9v0","[{""page_index"":0,""viewing_time"":4243.654999999999},{""page_index"":1,""viewing_time"":5828.220000000001},{""page_index"":2,""viewing_time"":5207.875}]","","","","","","",""
"4903.360000000001","","","instructions","6","132120","0.0-6.0","wexsd9v0","[{""page_index"":0,""viewing_time"":4903.25499999999}]","","","","","","",""
"1351.6449999999895","","","instructions","7","133472","0.0-7.0","wexsd9v0","[{""page_index"":0,""viewing_time"":1351.429999999993}]","","","","","","",""
"null","","","video-keyboard-response","8","136544","0.0-8.0","wexsd9v0","","","null","","","","",""
"15385.065000000002","","","instructions","9","151930","0.0-9.0","wexsd9v0","[{""page_index"":0,""viewing_time"":1852.2549999999756},{""page_index"":1,""viewing_time"":4103.625},{""page_index"":2,""viewing_time"":9429.050000000017}]","","","","","","",""
"6228.5749999999825","","","instructions","10","158159","0.0-10.0","wexsd9v0","[{""page_index"":0,""viewing_time"":6228.454999999987}]","","","","","","",""
"","","","call-function","11","158160","0.0-11.0","wexsd9v0","","","","","","","",""
"null","","","html-keyboard-response","12","159663","0.0-12.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","162734","0.0-13.0","wexsd9v0","","","null","","Agent A","veridical","STIM_SET_2/713652.bmp_pp89_L1_V1_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","164238","0.0-14.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","167305","0.0-15.0","wexsd9v0","","","null","","Agent B","scrambled","STIM_SET_2/713652.bmp_pp89_L1_V1_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","16","167305","0.0-16.0","wexsd9v0","","","","","","","",""
"9759.014999999985","{""judgement"":1}","[0]","survey-likert","17","177066","0.0-17.0","wexsd9v0","","","","","","","","0"
"3083.6849999999977","{""confidence"":1}","[0]","survey-likert","18","180151","0.0-18.0","wexsd9v0","","","","","","","",""
"","","","call-function","19","180152","0.0-19.0","wexsd9v0","","","","","","","",""
"null","","","html-keyboard-response","20","181655","0.0-20.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","184731","0.0-21.0","wexsd9v0","","","null","","Agent A","scrambled","STIM_SET_2/713920.bmp_pp76_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","186236","0.0-22.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","189310","0.0-23.0","wexsd9v0","","","null","","Agent B","veridical","STIM_SET_2/713920.bmp_pp76_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","189311","0.0-24.0","wexsd9v0","","","","","","","",""
"2147.4250000000175","{""judgement"":1}","[0]","survey-likert","25","191459","0.0-25.0","wexsd9v0","","","","","","","","1"
"1867.015000000014","{""confidence"":2}","[0]","survey-likert","26","193328","0.0-26.0","wexsd9v0","","","","","","","",""
"","","","call-function","27","193328","0.0-27.0","wexsd9v0","","","","","","","",""
"null","","","html-keyboard-response","28","194832","0.0-28.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","197906","0.0-29.0","wexsd9v0","","","null","","Agent A","scrambled","STIM_SET_2/1159508.bmp_pp151_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","199411","0.0-30.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","202486","0.0-31.0","wexsd9v0","","","null","","Agent B","veridical","STIM_SET_2/1159508.bmp_pp151_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","202486","0.0-32.0","wexsd9v0","","","","","","","",""
"8646.369999999995","{""judgement"":1}","[0]","survey-likert","33","211134","0.0-33.0","wexsd9v0","","","","","","","","1"
"3557.915000000008","{""confidence"":2}","[0]","survey-likert","34","214693","0.0-34.0","wexsd9v0","","","","","","","",""
"","","","call-function","35","214693","0.0-35.0","wexsd9v0","","","","","","","",""
"null","","","html-keyboard-response","36","216194","0.0-36.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","219256","0.0-37.0","wexsd9v0","","","null","","Agent A","scrambled","STIM_SET_2/107955.bmp_pp90_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","220758","0.0-38.0","wexsd9v0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","223855","0.0-39.0","wexsd9v0","","","null","","Agent B","veridical","STIM_SET_2/107955.bmp_pp90_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","40","223855","0.0-40.0","wexsd9v0","","","","","","","",""
"1822.2600000000093","{""judgement"":1}","[0]","survey-likert","41","225679","0.0-41.0","wexsd9v0","","","","","","","","1"
"1780.179999999993","{""confidence"":2}","[0]","survey-likert","42","227460","0.0-42.0","wexsd9v0","","","","","","","",""
"","","","call-function","43","227461","0.0-43.0","wexsd9v0","","","","","","","",""
