"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"114891.455","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","114900","0.0-0.0","wx0d9fdn","","","","","","","",""
"55146.36499999999","","","instructions","1","170048","0.0-1.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":55146.215}]","","","","","","",""
"19630.08500000002","","","instructions","2","189679","0.0-2.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":12446.050000000017},{""page_index"":1,""viewing_time"":1401.8899999999849},{""page_index"":2,""viewing_time"":5782.024999999994}]","","","","","","",""
"2271.350000000006","","","instructions","3","191950","0.0-3.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":2271.2449999999953}]","","","","","","",""
"null","","","video-keyboard-response","4","195029","0.0-4.0","wx0d9fdn","","","null","","","","",""
"9131.86499999999","","","instructions","5","204162","0.0-5.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":2444.6199999999953},{""page_index"":1,""viewing_time"":2572},{""page_index"":2,""viewing_time"":4115.075000000012}]","","","","","","",""
"2246.2399999999907","","","instructions","6","206409","0.0-6.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":2246.1350000000093}]","","","","","","",""
"1170.664999999979","","","instructions","7","207580","0.0-7.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":1170.4499999999825}]","","","","","","",""
"null","","","video-keyboard-response","8","210655","0.0-8.0","wx0d9fdn","","","null","","","","",""
"13898.015000000014","","","instructions","9","224554","0.0-9.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":2701.959999999992},{""page_index"":1,""viewing_time"":5680.885000000009},{""page_index"":2,""viewing_time"":5515.029999999999}]","","","","","","",""
"5645.4800000000105","","","instructions","10","230200","0.0-10.0","wx0d9fdn","[{""page_index"":0,""viewing_time"":5645.360000000015}]","","","","","","",""
"","","","call-function","11","230201","0.0-11.0","wx0d9fdn","","","","","","","",""
"null","","","html-keyboard-response","12","231703","0.0-12.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","234770","0.0-13.0","wx0d9fdn","","","null","","Agent A","scrambled","STIM_SET_2/285932.bmp_pp64_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","236272","0.0-14.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","239341","0.0-15.0","wx0d9fdn","","","null","","Agent B","veridical","STIM_SET_2/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","239342","0.0-16.0","wx0d9fdn","","","","","","","",""
"5626.099999999977","{""judgement"":1}","[0]","survey-likert","17","244969","0.0-17.0","wx0d9fdn","","","","","","","","1"
"3294.734999999986","{""confidence"":0}","[0]","survey-likert","18","248265","0.0-18.0","wx0d9fdn","","","","","","","",""
"","","","call-function","19","248265","0.0-19.0","wx0d9fdn","","","","","","","",""
"null","","","html-keyboard-response","20","249772","0.0-20.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","252872","0.0-21.0","wx0d9fdn","","","null","","Agent A","scrambled","STIM_SET_2/498326.bmp_pp57_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","254376","0.0-22.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","257474","0.0-23.0","wx0d9fdn","","","null","","Agent B","veridical","STIM_SET_2/498326.bmp_pp57_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","24","257474","0.0-24.0","wx0d9fdn","","","","","","","",""
"2608.805000000022","{""judgement"":1}","[0]","survey-likert","25","260084","0.0-25.0","wx0d9fdn","","","","","","","","1"
"3331.75999999998","{""confidence"":1}","[0]","survey-likert","26","263417","0.0-26.0","wx0d9fdn","","","","","","","",""
"","","","call-function","27","263418","0.0-27.0","wx0d9fdn","","","","","","","",""
"null","","","html-keyboard-response","28","264919","0.0-28.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","267998","0.0-29.0","wx0d9fdn","","","null","","Agent A","scrambled","STIM_SET_2/713858.bmp_pp57_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","269505","0.0-30.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","272586","0.0-31.0","wx0d9fdn","","","null","","Agent B","veridical","STIM_SET_2/713858.bmp_pp57_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","32","272587","0.0-32.0","wx0d9fdn","","","","","","","",""
"2006.625","{""judgement"":1}","[0]","survey-likert","33","274595","0.0-33.0","wx0d9fdn","","","","","","","","1"
"1449.9100000000326","{""confidence"":0}","[0]","survey-likert","34","276046","0.0-34.0","wx0d9fdn","","","","","","","",""
"","","","call-function","35","276047","0.0-35.0","wx0d9fdn","","","","","","","",""
"null","","","html-keyboard-response","36","277552","0.0-36.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","280619","0.0-37.0","wx0d9fdn","","","null","","Agent A","veridical","STIM_SET_2/285684.bmp_pp80_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","282124","0.0-38.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","285191","0.0-39.0","wx0d9fdn","","","null","","Agent B","scrambled","STIM_SET_2/285684.bmp_pp80_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","40","285192","0.0-40.0","wx0d9fdn","","","","","","","",""
"2206.5650000000023","{""judgement"":0}","[0]","survey-likert","41","287399","0.0-41.0","wx0d9fdn","","","","","","","","0"
"6416.40499999997","{""confidence"":0}","[0]","survey-likert","42","293817","0.0-42.0","wx0d9fdn","","","","","","","",""
"","","","call-function","43","293818","0.0-43.0","wx0d9fdn","","","","","","","",""
"null","","","html-keyboard-response","44","295321","0.0-44.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","298395","0.0-45.0","wx0d9fdn","","","null","","Agent A","veridical","STIM_SET_2/1159973.bmp_pp98_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","46","299901","0.0-46.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","302998","0.0-47.0","wx0d9fdn","","","null","","Agent B","scrambled","STIM_SET_2/1159973.bmp_pp98_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","48","302998","0.0-48.0","wx0d9fdn","","","","","","","",""
"3539.6300000000047","{""judgement"":1}","[0]","survey-likert","49","306539","0.0-49.0","wx0d9fdn","","","","","","","","0"
"3241.5499999999884","{""confidence"":1}","[0]","survey-likert","50","309781","0.0-50.0","wx0d9fdn","","","","","","","",""
"","","","call-function","51","309782","0.0-51.0","wx0d9fdn","","","","","","","",""
"null","","","html-keyboard-response","52","311287","0.0-52.0","wx0d9fdn","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
