"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"9964.11","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","9973","0.0-0.0","x736ef9v","","","","","","","",""
"16444.96","","","instructions","1","26419","0.0-1.0","x736ef9v","[{""page_index"":0,""viewing_time"":16444.809999999998}]","","","","","","",""
"16337.179999999997","","","instructions","2","42757","0.0-2.0","x736ef9v","[{""page_index"":0,""viewing_time"":2922.7949999999983},{""page_index"":1,""viewing_time"":8816.149999999998},{""page_index"":2,""viewing_time"":4598.110000000001}]","","","","","","",""
"2812.739999999998","","","instructions","3","45571","0.0-3.0","x736ef9v","[{""page_index"":0,""viewing_time"":2812.635000000002}]","","","","","","",""
"null","","","video-keyboard-response","4","48644","0.0-4.0","x736ef9v","","","null","","","","",""
"22379.85","","","instructions","5","71024","0.0-5.0","x736ef9v","[{""page_index"":0,""viewing_time"":4520.7950000000055},{""page_index"":1,""viewing_time"":5613.009999999995},{""page_index"":2,""viewing_time"":1299.9700000000012},{""page_index"":3,""viewing_time"":5944},{""page_index"":4,""viewing_time"":5001.9100000000035}]","","","","","","",""
"5765.895000000004","","","instructions","6","76790","0.0-6.0","x736ef9v","[{""page_index"":0,""viewing_time"":5765.770000000004}]","","","","","","",""
"","","","call-function","7","76791","0.0-7.0","x736ef9v","","","","","","","",""
"null","","","html-keyboard-response","8","78297","0.0-8.0","x736ef9v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","81083","0.0-9.0","x736ef9v","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1159440.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","82588","0.0-10.0","x736ef9v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","85374","0.0-11.0","x736ef9v","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1159440.bmp_pp98_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","85374","0.0-12.0","x736ef9v","","","","","","","",""
"6002.0350000000035","{""judgement"":0}","[0]","survey-likert","13","91377","0.0-13.0","x736ef9v","","","","","","","","0"
"6782.1600000000035","{""confidence"":1}","[0]","survey-likert","14","98161","0.0-14.0","x736ef9v","","","","","","","",""
"","","","call-function","15","98161","0.0-15.0","x736ef9v","","","","","","","",""
"null","","","html-keyboard-response","16","99662","0.0-16.0","x736ef9v","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","102540","0.0-17.0","x736ef9v","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713089.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","104043","0.0-18.0","x736ef9v","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","106936","0.0-19.0","x736ef9v","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713089.bmp_pp60_L3_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","106937","0.0-20.0","x736ef9v","","","","","","","",""
"5827.649999999994","{""judgement"":0}","[0]","survey-likert","21","112766","0.0-21.0","x736ef9v","","","","","","","","0"
