"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"27895.030000000002","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","27904","0.0-0.0","x9fyxrs9","","","","","","","",""
"20820.145000000004","","","instructions","1","48725","0.0-1.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":20819.990000000005}]","","","","","","",""
"9499.760000000002","","","instructions","2","58226","0.0-2.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":4213.610000000001},{""page_index"":1,""viewing_time"":1276.3050000000003},{""page_index"":2,""viewing_time"":4009.7249999999985}]","","","","","","",""
"2831.720000000001","","","instructions","3","61058","0.0-3.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":2831.5999999999985}]","","","","","","",""
"null","","","video-keyboard-response","4","64131","0.0-4.0","x9fyxrs9","","","null","","","","",""
"18128.03","","","instructions","5","82260","0.0-5.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":5327.059999999998},{""page_index"":1,""viewing_time"":2604.845000000001},{""page_index"":2,""viewing_time"":10196.020000000004}]","","","","","","",""
"3057.2899999999936","","","instructions","6","85318","0.0-6.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":3057.1900000000023}]","","","","","","",""
"1326.6300000000047","","","instructions","7","86645","0.0-7.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":1326.4150000000081}]","","","","","","",""
"null","","","video-keyboard-response","8","89720","0.0-8.0","x9fyxrs9","","","null","","","","",""
"8488.705000000002","","","instructions","9","98209","0.0-9.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":2479.75499999999},{""page_index"":1,""viewing_time"":2820.1050000000105},{""page_index"":2,""viewing_time"":3188.709999999992}]","","","","","","",""
"2073.5449999999983","","","instructions","10","100283","0.0-10.0","x9fyxrs9","[{""page_index"":0,""viewing_time"":2073.429999999993}]","","","","","","",""
"","","","call-function","11","100284","0.0-11.0","x9fyxrs9","","","","","","","",""
"null","","","html-keyboard-response","12","101791","0.0-12.0","x9fyxrs9","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","104854","0.0-13.0","x9fyxrs9","","","null","","Agent A","scrambled","STIM_SET_2/285715.bmp_pp67_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","106358","0.0-14.0","x9fyxrs9","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","109420","0.0-15.0","x9fyxrs9","","","null","","Agent B","veridical","STIM_SET_2/285715.bmp_pp67_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","109421","0.0-16.0","x9fyxrs9","","","","","","","",""
"9786.875","{""judgement"":1}","[0]","survey-likert","17","119209","0.0-17.0","x9fyxrs9","","","","","","","","1"
"1475.4700000000012","{""confidence"":2}","[0]","survey-likert","18","120686","0.0-18.0","x9fyxrs9","","","","","","","",""
"","","","call-function","19","120686","0.0-19.0","x9fyxrs9","","","","","","","",""
"null","","","html-keyboard-response","20","122188","0.0-20.0","x9fyxrs9","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","125287","0.0-21.0","x9fyxrs9","","","null","","Agent A","veridical","STIM_SET_2/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue.mp4",""
