"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"8524.875","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","8532","0.0-0.0","xffq2jk0","","","","","","","",""
"13345.494999999999","","","instructions","1","21879","0.0-1.0","xffq2jk0","[{""page_index"":0,""viewing_time"":13344.945}]","","","","","","",""
"11722.695","","","instructions","2","33604","0.0-2.0","xffq2jk0","[{""page_index"":0,""viewing_time"":5337.540000000001},{""page_index"":1,""viewing_time"":1502.130000000001},{""page_index"":2,""viewing_time"":4882.899999999998}]","","","","","","",""
"1852.7950000000055","","","instructions","3","35457","0.0-3.0","xffq2jk0","[{""page_index"":0,""viewing_time"":1852.6900000000023}]","","","","","","",""
"null","","","video-keyboard-response","4","38533","0.0-4.0","xffq2jk0","","","null","","","","",""
"8129.309999999998","","","instructions","5","46663","0.0-5.0","xffq2jk0","[{""page_index"":0,""viewing_time"":3039.084999999999},{""page_index"":1,""viewing_time"":2406.9949999999953},{""page_index"":2,""viewing_time"":2683.125}]","","","","","","",""
"2304.5699999999997","","","instructions","6","48969","0.0-6.0","xffq2jk0","[{""page_index"":0,""viewing_time"":2304.459999999999}]","","","","","","",""
"1072.1949999999997","","","instructions","7","50042","0.0-7.0","xffq2jk0","[{""page_index"":0,""viewing_time"":1071.9700000000012}]","","","","","","",""
"null","","","video-keyboard-response","8","53115","0.0-8.0","xffq2jk0","","","null","","","","",""
"9223.934999999998","","","instructions","9","62339","0.0-9.0","xffq2jk0","[{""page_index"":0,""viewing_time"":1341.9700000000012},{""page_index"":1,""viewing_time"":3448.8600000000006},{""page_index"":2,""viewing_time"":4432.9649999999965}]","","","","","","",""
"5233.619999999995","","","instructions","10","67574","0.0-10.0","xffq2jk0","[{""page_index"":0,""viewing_time"":5233.505000000005}]","","","","","","",""
"","","","call-function","11","67575","0.0-11.0","xffq2jk0","","","","","","","",""
"null","","","html-keyboard-response","12","69079","0.0-12.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","72150","0.0-13.0","xffq2jk0","","","null","","Agent A","scrambled","STIM_SET_5/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","14","73653","0.0-14.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","76720","0.0-15.0","xffq2jk0","","","null","","Agent B","veridical","STIM_SET_2_144/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","16","76721","0.0-16.0","xffq2jk0","","","","","","","",""
"2033.7000000000116","{""judgement"":1}","[0]","survey-likert","17","78756","0.0-17.0","xffq2jk0","","","","","","","","1"
"1979.5650000000023","{""confidence"":1}","[0]","survey-likert","18","80736","0.0-18.0","xffq2jk0","","","","","","","",""
"","","","call-function","19","80737","0.0-19.0","xffq2jk0","","","","","","","",""
"null","","","html-keyboard-response","20","82238","0.0-20.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","85319","0.0-21.0","xffq2jk0","","","null","","Agent A","veridical","STIM_SET_2_144/286034.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","22","86823","0.0-22.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","89902","0.0-23.0","xffq2jk0","","","null","","Agent B","scrambled","STIM_SET_5/286034.bmp_pp69_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","24","89902","0.0-24.0","xffq2jk0","","","","","","","",""
"2166.300000000003","{""judgement"":0}","[0]","survey-likert","25","92069","0.0-25.0","xffq2jk0","","","","","","","","0"
"1927.6100000000006","{""confidence"":0}","[0]","survey-likert","26","93998","0.0-26.0","xffq2jk0","","","","","","","",""
"","","","call-function","27","93999","0.0-27.0","xffq2jk0","","","","","","","",""
"null","","","html-keyboard-response","28","95500","0.0-28.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","98590","0.0-29.0","xffq2jk0","","","null","","Agent A","scrambled","STIM_SET_5/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","30","100095","0.0-30.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","103172","0.0-31.0","xffq2jk0","","","null","","Agent B","veridical","STIM_SET_2_144/498372.bmp_pp95_L2_V1_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","32","103172","0.0-32.0","xffq2jk0","","","","","","","",""
"3190.0149999999994","{""judgement"":1}","[0]","survey-likert","33","106363","0.0-33.0","xffq2jk0","","","","","","","","1"
"3636.100000000006","{""confidence"":0}","[0]","survey-likert","34","110000","0.0-34.0","xffq2jk0","","","","","","","",""
"","","","call-function","35","110001","0.0-35.0","xffq2jk0","","","","","","","",""
"null","","","html-keyboard-response","36","111505","0.0-36.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","114580","0.0-37.0","xffq2jk0","","","null","","Agent A","veridical","STIM_SET_2_144/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","38","116085","0.0-38.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","119147","0.0-39.0","xffq2jk0","","","null","","Agent B","scrambled","STIM_SET_5/1159860.bmp_pp152_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","40","119148","0.0-40.0","xffq2jk0","","","","","","","",""
"3378.779999999999","{""judgement"":0}","[0]","survey-likert","41","122528","0.0-41.0","xffq2jk0","","","","","","","","0"
"3239.0699999999924","{""confidence"":0}","[0]","survey-likert","42","125768","0.0-42.0","xffq2jk0","","","","","","","",""
"","","","call-function","43","125769","0.0-43.0","xffq2jk0","","","","","","","",""
"null","","","html-keyboard-response","44","127273","0.0-44.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","130360","0.0-45.0","xffq2jk0","","","null","","Agent A","veridical","STIM_SET_2_144/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"null","","","html-keyboard-response","46","131867","0.0-46.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","47","134934","0.0-47.0","xffq2jk0","","","null","","Agent B","scrambled","STIM_SET_5/1160204.bmp_pp54_L2_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"","","","call-function","48","134935","0.0-48.0","xffq2jk0","","","","","","","",""
"2286.070000000007","{""judgement"":0}","[0]","survey-likert","49","137222","0.0-49.0","xffq2jk0","","","","","","","","0"
"2280.5599999999977","{""confidence"":0}","[0]","survey-likert","50","139505","0.0-50.0","xffq2jk0","","","","","","","",""
"","","","call-function","51","139506","0.0-51.0","xffq2jk0","","","","","","","",""
"null","","","html-keyboard-response","52","141010","0.0-52.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","53","144079","0.0-53.0","xffq2jk0","","","null","","Agent A","scrambled","STIM_SET_5/713274.bmp_pp73_L3_V1.0_veridical_freeview_isoTrue_Hflip_fps144.mp4",""
"null","","","html-keyboard-response","54","145584","0.0-54.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","55","148654","0.0-55.0","xffq2jk0","","","null","","Agent B","veridical","STIM_SET_2_144/713274.bmp_pp73_L3_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","56","148655","0.0-56.0","xffq2jk0","","","","","","","",""
"2789.4550000000163","{""judgement"":1}","[0]","survey-likert","57","151445","0.0-57.0","xffq2jk0","","","","","","","","1"
"1679.265000000014","{""confidence"":0}","[0]","survey-likert","58","153126","0.0-58.0","xffq2jk0","","","","","","","",""
"","","","call-function","59","153127","0.0-59.0","xffq2jk0","","","","","","","",""
"null","","","html-keyboard-response","60","154631","0.0-60.0","xffq2jk0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
