"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"9713.470000000001","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","9723","0.0-0.0","xsroldsy","","","","","","","",""
"13915.859999999999","","","instructions","1","23640","0.0-1.0","xsroldsy","[{""page_index"":0,""viewing_time"":13915.28}]","","","","","","",""
"13201.915","","","instructions","2","36844","0.0-2.0","xsroldsy","[{""page_index"":0,""viewing_time"":2595.6899999999987},{""page_index"":1,""viewing_time"":7342.259999999998},{""page_index"":2,""viewing_time"":3263.840000000004}]","","","","","","",""
"2145.7050000000017","","","instructions","3","38990","0.0-3.0","xsroldsy","[{""page_index"":0,""viewing_time"":2145.5999999999985}]","","","","","","",""
"null","","","video-keyboard-response","4","42066","0.0-4.0","xsroldsy","","","null","","","","",""
"13983.575000000004","","","instructions","5","56050","0.0-5.0","xsroldsy","[{""page_index"":0,""viewing_time"":3641.355000000003},{""page_index"":1,""viewing_time"":1663.1200000000026},{""page_index"":2,""viewing_time"":868.9099999999962},{""page_index"":3,""viewing_time"":4232.300000000003},{""page_index"":4,""viewing_time"":3577.7649999999994}]","","","","","","",""
"3098.779999999999","","","instructions","6","59149","0.0-6.0","xsroldsy","[{""page_index"":0,""viewing_time"":3098.654999999999}]","","","","","","",""
"","","","call-function","7","59150","0.0-7.0","xsroldsy","","","","","","","",""
"null","","","html-keyboard-response","8","60654","0.0-8.0","xsroldsy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","63446","0.0-9.0","xsroldsy","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","64950","0.0-10.0","xsroldsy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","67740","0.0-11.0","xsroldsy","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/1592351.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","12","67741","0.0-12.0","xsroldsy","","","","","","","",""
"12874.090000000011","{""judgement"":0}","[0]","survey-likert","13","80616","0.0-13.0","xsroldsy","","","","","","","","0"
"1346.1699999999983","{""confidence"":1}","[0]","survey-likert","14","81963","0.0-14.0","xsroldsy","","","","","","","",""
"","","","call-function","15","81964","0.0-15.0","xsroldsy","","","","","","","",""
"null","","","html-keyboard-response","16","83470","0.0-16.0","xsroldsy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","86287","0.0-17.0","xsroldsy","","","null","","Agent A","veridical","FOR_REV_BLOBBY_STIM/713593.bmp_pp64_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","87789","0.0-18.0","xsroldsy","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","90633","0.0-19.0","xsroldsy","","","null","","Agent B","scrambled","FOR_REV_BLOBBY_STIM/713593.bmp_pp64_L1_V1.0_veridical_freeview_isoFalse_fps144_reversed_REAL.mp4",""
"","","","call-function","20","90634","0.0-20.0","xsroldsy","","","","","","","",""
"1688.179999999993","{""judgement"":0}","[0]","survey-likert","21","92324","0.0-21.0","xsroldsy","","","","","","","","0"
"1515.9349999999977","{""confidence"":3}","[0]","survey-likert","22","93841","0.0-22.0","xsroldsy","","","","","","","",""
"","","","call-function","23","93841","0.0-23.0","xsroldsy","","","","","","","",""
"null","","","html-keyboard-response","24","95344","0.0-24.0","xsroldsy","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
