"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"63506.3","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","63515","0.0-0.0","xvd3jtq6","","","","","","","",""
"41133.31","","","instructions","1","104651","0.0-1.0","xvd3jtq6","[{""page_index"":0,""viewing_time"":41133.15000000001}]","","","","","","",""
"14845.570000000007","","","instructions","2","119497","0.0-2.0","xvd3jtq6","[{""page_index"":0,""viewing_time"":987.0099999999948},{""page_index"":1,""viewing_time"":5257.090000000011},{""page_index"":2,""viewing_time"":8601.315000000002}]","","","","","","",""
"4671.360000000001","","","instructions","3","124170","0.0-3.0","xvd3jtq6","[{""page_index"":0,""viewing_time"":4671.25499999999}]","","","","","","",""
"null","","","video-keyboard-response","4","127244","0.0-4.0","xvd3jtq6","","","null","","","","",""
"13959.589999999997","","","instructions","5","141205","0.0-5.0","xvd3jtq6","[{""page_index"":0,""viewing_time"":2325.62999999999},{""page_index"":1,""viewing_time"":2374.1399999999994},{""page_index"":2,""viewing_time"":947.9100000000035},{""page_index"":3,""viewing_time"":4012.9550000000163},{""page_index"":4,""viewing_time"":4298.8249999999825}]","","","","","","",""
"3196.5200000000186","","","instructions","6","144402","0.0-6.0","xvd3jtq6","[{""page_index"":0,""viewing_time"":3196.2700000000186}]","","","","","","",""
"","","","call-function","7","144403","0.0-7.0","xvd3jtq6","","","","","","","",""
"null","","","html-keyboard-response","8","145905","0.0-8.0","xvd3jtq6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","148973","0.0-9.0","xvd3jtq6","","","null","","Agent A","veridical","STIM_SET_1_REAL/713796.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","150477","0.0-10.0","xvd3jtq6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","153555","0.0-11.0","xvd3jtq6","","","null","","Agent B","scrambled","STIM_SET_3/713633.bmp_pp58_L1_V2_veridical_freeview_isoFalsemismatch_713796.bmp_L3_fps90.mp4",""
"","","","call-function","12","153556","0.0-12.0","xvd3jtq6","","","","","","","",""
"5201.755000000005","{""judgement"":1}","[0]","survey-likert","13","158759","0.0-13.0","xvd3jtq6","","","","","","","","0"
"3509.1449999999895","{""confidence"":0}","[0]","survey-likert","14","162270","0.0-14.0","xvd3jtq6","","","","","","","",""
"","","","call-function","15","162270","0.0-15.0","xvd3jtq6","","","","","","","",""
"null","","","html-keyboard-response","16","163771","0.0-16.0","xvd3jtq6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","166847","0.0-17.0","xvd3jtq6","","","null","","Agent A","veridical","STIM_SET_1_REAL/713620.bmp_pp65_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","168354","0.0-18.0","xvd3jtq6","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","171444","0.0-19.0","xvd3jtq6","","","null","","Agent B","scrambled","STIM_SET_3/498398.bmp_pp81_L1_V2_veridical_freeview_isoFalsemismatch_713620.bmp_L3_fps90.mp4",""
"","","","call-function","20","171445","0.0-20.0","xvd3jtq6","","","","","","","",""
"8308.540000000008","{""judgement"":0}","[0]","survey-likert","21","179755","0.0-21.0","xvd3jtq6","","","","","","","","0"
"1451.5","{""confidence"":0}","[0]","survey-likert","22","181208","0.0-22.0","xvd3jtq6","","","","","","","",""
"","","","call-function","23","181209","0.0-23.0","xvd3jtq6","","","","","","","",""
"null","","","html-keyboard-response","24","182710","0.0-24.0","xvd3jtq6","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
