"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"8984.470000000001","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","8993","0.0-0.0","y3bp5sq0","","","","","","","",""
"19066.15","","","instructions","1","28060","0.0-1.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":19065.589999999997}]","","","","","","",""
"9011.779999999999","","","instructions","2","37073","0.0-2.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":4157.100000000002},{""page_index"":1,""viewing_time"":1126.4699999999975},{""page_index"":2,""viewing_time"":3728.090000000004}]","","","","","","",""
"2409.814999999995","","","instructions","3","39484","0.0-3.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":2409.709999999999}]","","","","","","",""
"null","","","video-keyboard-response","4","42556","0.0-4.0","y3bp5sq0","","","null","","","","",""
"9692.735","","","instructions","5","52249","0.0-5.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":1924.6549999999988},{""page_index"":1,""viewing_time"":2386.909999999996},{""page_index"":2,""viewing_time"":5381.065000000002}]","","","","","","",""
"2129.4749999999985","","","instructions","6","54379","0.0-6.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":2129.3700000000026}]","","","","","","",""
"1064.739999999998","","","instructions","7","55444","0.0-7.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":1064.5199999999968}]","","","","","","",""
"null","","","video-keyboard-response","8","58517","0.0-8.0","y3bp5sq0","","","null","","","","",""
"19270.694999999992","","","instructions","9","77788","0.0-9.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":1360.979999999996},{""page_index"":1,""viewing_time"":5678.430000000008},{""page_index"":2,""viewing_time"":12231.149999999994}]","","","","","","",""
"2570.5050000000047","","","instructions","10","80359","0.0-10.0","y3bp5sq0","[{""page_index"":0,""viewing_time"":2570.395000000004}]","","","","","","",""
"","","","call-function","11","80360","0.0-11.0","y3bp5sq0","","","","","","","",""
"null","","","html-keyboard-response","12","81862","0.0-12.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","84929","0.0-13.0","y3bp5sq0","","","null","","Agent A","scrambled","STIM_SET_2/285932.bmp_pp64_L1_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","86432","0.0-14.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","89499","0.0-15.0","y3bp5sq0","","","null","","Agent B","veridical","STIM_SET_2/285932.bmp_pp64_L1_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","89499","0.0-16.0","y3bp5sq0","","","","","","","",""
"3908.5449999999983","{""judgement"":0}","[0]","survey-likert","17","93409","0.0-17.0","y3bp5sq0","","","","","","","","1"
"1696.7049999999872","{""confidence"":1}","[0]","survey-likert","18","95107","0.0-18.0","y3bp5sq0","","","","","","","",""
"","","","call-function","19","95107","0.0-19.0","y3bp5sq0","","","","","","","",""
"null","","","html-keyboard-response","20","96610","0.0-20.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","99705","0.0-21.0","y3bp5sq0","","","null","","Agent A","veridical","STIM_SET_2/1592567.bmp_pp70_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","101208","0.0-22.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","104296","0.0-23.0","y3bp5sq0","","","null","","Agent B","scrambled","STIM_SET_2/1592567.bmp_pp70_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","24","104296","0.0-24.0","y3bp5sq0","","","","","","","",""
"5829.225000000006","{""judgement"":1}","[0]","survey-likert","25","110126","0.0-25.0","y3bp5sq0","","","","","","","","0"
"1349.340000000011","{""confidence"":0}","[0]","survey-likert","26","111477","0.0-26.0","y3bp5sq0","","","","","","","",""
"","","","call-function","27","111477","0.0-27.0","y3bp5sq0","","","","","","","",""
"null","","","html-keyboard-response","28","112979","0.0-28.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","29","116044","0.0-29.0","y3bp5sq0","","","null","","Agent A","veridical","STIM_SET_2/713829.bmp_pp60_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","30","117548","0.0-30.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","31","120641","0.0-31.0","y3bp5sq0","","","null","","Agent B","scrambled","STIM_SET_2/713829.bmp_pp60_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","32","120642","0.0-32.0","y3bp5sq0","","","","","","","",""
"1649.99500000001","{""judgement"":0}","[0]","survey-likert","33","122293","0.0-33.0","y3bp5sq0","","","","","","","","0"
"1371.215000000011","{""confidence"":0}","[0]","survey-likert","34","123665","0.0-34.0","y3bp5sq0","","","","","","","",""
"","","","call-function","35","123665","0.0-35.0","y3bp5sq0","","","","","","","",""
"null","","","html-keyboard-response","36","125167","0.0-36.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","37","128245","0.0-37.0","y3bp5sq0","","","null","","Agent A","scrambled","STIM_SET_2/1159592.bmp_pp91_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","38","129747","0.0-38.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","39","132852","0.0-39.0","y3bp5sq0","","","null","","Agent B","veridical","STIM_SET_2/1159592.bmp_pp91_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","40","132852","0.0-40.0","y3bp5sq0","","","","","","","",""
"1432.4599999999919","{""judgement"":1}","[0]","survey-likert","41","134286","0.0-41.0","y3bp5sq0","","","","","","","","1"
"938.8999999999942","{""confidence"":0}","[0]","survey-likert","42","135226","0.0-42.0","y3bp5sq0","","","","","","","",""
"","","","call-function","43","135226","0.0-43.0","y3bp5sq0","","","","","","","",""
"null","","","html-keyboard-response","44","136730","0.0-44.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","45","139837","0.0-45.0","y3bp5sq0","","","null","","Agent A","veridical","STIM_SET_2/498396.bmp_pp99_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","46","141341","0.0-46.0","y3bp5sq0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
