"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"9470.12","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","9477","0.0-0.0","y7ysemqr","","","","","","","",""
"80636.43000000001","","","instructions","1","90116","0.0-1.0","y7ysemqr","[{""page_index"":0,""viewing_time"":80636.275}]","","","","","","",""
"7663.834999999992","","","instructions","2","97781","0.0-2.0","y7ysemqr","[{""page_index"":0,""viewing_time"":829.3899999999994},{""page_index"":1,""viewing_time"":4420.0899999999965},{""page_index"":2,""viewing_time"":2414.225000000006}]","","","","","","",""
"1692.2749999999942","","","instructions","3","99475","0.0-3.0","y7ysemqr","[{""page_index"":0,""viewing_time"":1692.1549999999988}]","","","","","","",""
"null","","","video-keyboard-response","4","102552","0.0-4.0","y7ysemqr","","","null","","","","",""
"10698.020000000004","","","instructions","5","113251","0.0-5.0","y7ysemqr","[{""page_index"":0,""viewing_time"":672.6399999999994},{""page_index"":1,""viewing_time"":2524},{""page_index"":2,""viewing_time"":884.9800000000105},{""page_index"":3,""viewing_time"":3517.3649999999907},{""page_index"":4,""viewing_time"":3098.8300000000017}]","","","","","","",""
"5302.849999999991","","","instructions","6","118555","0.0-6.0","y7ysemqr","[{""page_index"":0,""viewing_time"":5302.724999999991}]","","","","","","",""
"","","","call-function","7","118556","0.0-7.0","y7ysemqr","","","","","","","",""
"null","","","html-keyboard-response","8","120058","0.0-8.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","123129","0.0-9.0","y7ysemqr","","","null","","Agent A","scrambled","STIM_SET_3/1592298.bmp_pp56_L3_V2_veridical_freeview_isoFalsemismatch_1593146.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","10","124631","0.0-10.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","127709","0.0-11.0","y7ysemqr","","","null","","Agent B","veridical","STIM_SET_1_REAL/1593146.bmp_pp93_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","127711","0.0-12.0","y7ysemqr","","","","","","","",""
"1480.1199999999953","{""judgement"":1}","[0]","survey-likert","13","129192","0.0-13.0","y7ysemqr","","","","","","","","1"
"3024.554999999993","{""confidence"":2}","[0]","survey-likert","14","132218","0.0-14.0","y7ysemqr","","","","","","","",""
"","","","call-function","15","132220","0.0-15.0","y7ysemqr","","","","","","","",""
"null","","","html-keyboard-response","16","133724","0.0-16.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","136803","0.0-17.0","y7ysemqr","","","null","","Agent A","veridical","STIM_SET_1_REAL/713211.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","18","138309","0.0-18.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","141430","0.0-19.0","y7ysemqr","","","null","","Agent B","scrambled","STIM_SET_3/1592921.bmp_pp69_L3_V2_veridical_freeview_isoFalsemismatch_713211.bmp_L3_fps90.mp4",""
"","","","call-function","20","141431","0.0-20.0","y7ysemqr","","","","","","","",""
"1658.7049999999872","{""judgement"":1}","[0]","survey-likert","21","143091","0.0-21.0","y7ysemqr","","","","","","","","0"
"2668.484999999986","{""confidence"":1}","[0]","survey-likert","22","145762","0.0-22.0","y7ysemqr","","","","","","","",""
"","","","call-function","23","145763","0.0-23.0","y7ysemqr","","","","","","","",""
"null","","","html-keyboard-response","24","147264","0.0-24.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","150365","0.0-25.0","y7ysemqr","","","null","","Agent A","scrambled","STIM_SET_3/713274.bmp_pp73_L3_V2_veridical_freeview_isoFalsemismatch_497950.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","26","151872","0.0-26.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","154962","0.0-27.0","y7ysemqr","","","null","","Agent B","veridical","STIM_SET_1_REAL/497950.bmp_pp151_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","154963","0.0-28.0","y7ysemqr","","","","","","","",""
"2203.850000000006","{""judgement"":1}","[0]","survey-likert","29","157168","0.0-29.0","y7ysemqr","","","","","","","","1"
"1902.0299999999988","{""confidence"":3}","[0]","survey-likert","30","159072","0.0-30.0","y7ysemqr","","","","","","","",""
"","","","call-function","31","159073","0.0-31.0","y7ysemqr","","","","","","","",""
"null","","","html-keyboard-response","32","160576","0.0-32.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","163677","0.0-33.0","y7ysemqr","","","null","","Agent A","veridical","STIM_SET_1_REAL/713620.bmp_pp65_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","34","165180","0.0-34.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","168261","0.0-35.0","y7ysemqr","","","null","","Agent B","scrambled","STIM_SET_3/498398.bmp_pp81_L1_V2_veridical_freeview_isoFalsemismatch_713620.bmp_L3_fps90.mp4",""
"","","","call-function","36","168262","0.0-36.0","y7ysemqr","","","","","","","",""
"2911.4400000000023","{""judgement"":0}","[0]","survey-likert","37","171174","0.0-37.0","y7ysemqr","","","","","","","","0"
"1375.0100000000093","{""confidence"":1}","[0]","survey-likert","38","172551","0.0-38.0","y7ysemqr","","","","","","","",""
"","","","call-function","39","172552","0.0-39.0","y7ysemqr","","","","","","","",""
"null","","","html-keyboard-response","40","174054","0.0-40.0","y7ysemqr","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","177154","0.0-41.0","y7ysemqr","","","null","","Agent A","veridical","STIM_SET_1_REAL/713017.bmp_pp152_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
