"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"26842.06","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","26851","0.0-0.0","yo2qhtaz","","","","","","","",""
"1533416.2200000002","","","instructions","1","1560272","0.0-1.0","yo2qhtaz","[{""page_index"":0,""viewing_time"":1533415.985}]","","","","","","",""
"21444.89500000002","","","instructions","2","1581718","0.0-2.0","yo2qhtaz","[{""page_index"":0,""viewing_time"":1900.7050000000745},{""page_index"":1,""viewing_time"":11959.020000000019},{""page_index"":2,""viewing_time"":7585.0449999999255}]","","","","","","",""
"3043.1699999999255","","","instructions","3","1584762","0.0-3.0","yo2qhtaz","[{""page_index"":0,""viewing_time"":3043.064999999944}]","","","","","","",""
"null","","","video-keyboard-response","4","1587838","0.0-4.0","yo2qhtaz","","","null","","","","",""
"40466.62999999989","","","instructions","5","1628305","0.0-5.0","yo2qhtaz","[{""page_index"":0,""viewing_time"":10928.455000000075},{""page_index"":1,""viewing_time"":7618.189999999944},{""page_index"":2,""viewing_time"":1772.969999999972},{""page_index"":3,""viewing_time"":7698.129999999888},{""page_index"":4,""viewing_time"":12448.76000000001}]","","","","","","",""
"6342.760000000009","","","instructions","6","1634649","0.0-6.0","yo2qhtaz","[{""page_index"":0,""viewing_time"":6342.635000000009}]","","","","","","",""
"","","","call-function","7","1634649","0.0-7.0","yo2qhtaz","","","","","","","",""
"null","","","html-keyboard-response","8","1636155","0.0-8.0","yo2qhtaz","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","1639236","0.0-9.0","yo2qhtaz","","","null","","Agent A","scrambled","STIM_SET_3/1159874.bmp_pp96_L2_V2_veridical_freeview_isoFalsemismatch_1159515.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","10","1640739","0.0-10.0","yo2qhtaz","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","1643808","0.0-11.0","yo2qhtaz","","","null","","Agent B","veridical","STIM_SET_1_REAL/1159515.bmp_pp84_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","12","1643809","0.0-12.0","yo2qhtaz","","","","","","","",""
"3198.2700000000186","{""judgement"":1}","[0]","survey-likert","13","1647009","0.0-13.0","yo2qhtaz","","","","","","","","1"
"12176.465000000084","{""confidence"":3}","[0]","survey-likert","14","1659186","0.0-14.0","yo2qhtaz","","","","","","","",""
"","","","call-function","15","1659187","0.0-15.0","yo2qhtaz","","","","","","","",""
"null","","","html-keyboard-response","16","1660689","0.0-16.0","yo2qhtaz","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","1663766","0.0-17.0","yo2qhtaz","","","null","","Agent A","scrambled","STIM_SET_3/285684.bmp_pp80_L3_V2_veridical_freeview_isoFalsemismatch_713760.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","18","1665272","0.0-18.0","yo2qhtaz","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","1668350","0.0-19.0","yo2qhtaz","","","null","","Agent B","veridical","STIM_SET_1_REAL/713760.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","20","1668351","0.0-20.0","yo2qhtaz","","","","","","","",""
"3328.655000000028","{""judgement"":1}","[0]","survey-likert","21","1671681","0.0-21.0","yo2qhtaz","","","","","","","","1"
"4492.719999999972","{""confidence"":2}","[0]","survey-likert","22","1676175","0.0-22.0","yo2qhtaz","","","","","","","",""
"","","","call-function","23","1676176","0.0-23.0","yo2qhtaz","","","","","","","",""
"null","","","html-keyboard-response","24","1677678","0.0-24.0","yo2qhtaz","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","1680786","0.0-25.0","yo2qhtaz","","","null","","Agent A","veridical","STIM_SET_1_REAL/1593146.bmp_pp93_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","26","1682292","0.0-26.0","yo2qhtaz","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
