"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"53983.115","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","53991","0.0-0.0","yufk5om2","","","","","","","",""
"64674.244999999995","","","instructions","1","118668","0.0-1.0","yufk5om2","[{""page_index"":0,""viewing_time"":64674.09}]","","","","","","",""
"19407.690000000002","","","instructions","2","138077","0.0-2.0","yufk5om2","[{""page_index"":0,""viewing_time"":1496.2749999999942},{""page_index"":1,""viewing_time"":7358.7300000000105},{""page_index"":2,""viewing_time"":10552.559999999998}]","","","","","","",""
"3101.4949999999953","","","instructions","3","141179","0.0-3.0","yufk5om2","[{""page_index"":0,""viewing_time"":3101.334999999992}]","","","","","","",""
"null","","","video-keyboard-response","4","144259","0.0-4.0","yufk5om2","","","null","","","","",""
"30711.235000000015","","","instructions","5","174971","0.0-5.0","yufk5om2","[{""page_index"":0,""viewing_time"":6541.6050000000105},{""page_index"":1,""viewing_time"":5124.184999999998},{""page_index"":2,""viewing_time"":1546.2700000000186},{""page_index"":3,""viewing_time"":5136.375},{""page_index"":4,""viewing_time"":12362.669999999984}]","","","","","","",""
"4583.154999999999","","","instructions","6","179555","0.0-6.0","yufk5om2","[{""page_index"":0,""viewing_time"":4583.024999999994}]","","","","","","",""
"","","","call-function","7","179557","0.0-7.0","yufk5om2","","","","","","","",""
"null","","","html-keyboard-response","8","181059","0.0-8.0","yufk5om2","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","184140","0.0-9.0","yufk5om2","","","null","","Agent A","veridical","STIM_SET_1_REAL/713749.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","185643","0.0-10.0","yufk5om2","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","188719","0.0-11.0","yufk5om2","","","null","","Agent B","scrambled","STIM_SET_3/713858.bmp_pp57_L1_V2_veridical_freeview_isoFalsemismatch_713749.bmp_L2_fps90.mp4",""
"","","","call-function","12","188720","0.0-12.0","yufk5om2","","","","","","","",""
