"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"45971.82","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","45980","0.0-0.0","z5ryc1do","","","","","","","",""
"3347.625","","","instructions","1","49328","0.0-1.0","z5ryc1do","[{""page_index"":0,""viewing_time"":3347.4749999999985}]","","","","","","",""
"12640.949999999997","","","instructions","2","61970","0.0-2.0","z5ryc1do","[{""page_index"":0,""viewing_time"":4870.894999999997},{""page_index"":1,""viewing_time"":1323.925000000003},{""page_index"":2,""viewing_time"":6446.004999999997}]","","","","","","",""
"2137.699999999997","","","instructions","3","64108","0.0-3.0","z5ryc1do","[{""page_index"":0,""viewing_time"":2137.595000000001}]","","","","","","",""
"null","","","video-keyboard-response","4","67183","0.0-4.0","z5ryc1do","","","null","","","","",""
"14292.184999999998","","","instructions","5","81476","0.0-5.0","z5ryc1do","[{""page_index"":0,""viewing_time"":2039.6800000000076},{""page_index"":1,""viewing_time"":1641.1100000000006},{""page_index"":2,""viewing_time"":10611.284999999989}]","","","","","","",""
"2362.020000000004","","","instructions","6","83838","0.0-6.0","z5ryc1do","[{""page_index"":0,""viewing_time"":2361.915000000008}]","","","","","","",""
"1178.8600000000006","","","instructions","7","85017","0.0-7.0","z5ryc1do","[{""page_index"":0,""viewing_time"":1178.6650000000081}]","","","","","","",""
"null","","","video-keyboard-response","8","88094","0.0-8.0","z5ryc1do","","","null","","","","",""
"5556.255000000005","","","instructions","9","93650","0.0-9.0","z5ryc1do","[{""page_index"":0,""viewing_time"":1573.604999999996},{""page_index"":1,""viewing_time"":1888.3899999999994},{""page_index"":2,""viewing_time"":2094.125}]","","","","","","",""
"2084.9349999999977","","","instructions","10","95736","0.0-10.0","z5ryc1do","[{""page_index"":0,""viewing_time"":2084.8050000000076}]","","","","","","",""
"","","","call-function","11","95737","0.0-11.0","z5ryc1do","","","","","","","",""
"null","","","html-keyboard-response","12","97242","0.0-12.0","z5ryc1do","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","13","100318","0.0-13.0","z5ryc1do","","","null","","Agent A","scrambled","STIM_SET_2/150463.bmp_pp55_L3_V1.0_scrambled_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","14","101821","0.0-14.0","z5ryc1do","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","15","104896","0.0-15.0","z5ryc1do","","","null","","Agent B","veridical","STIM_SET_2/150463.bmp_pp55_L3_V1.0_veridical_freeview_isoTrue.mp4",""
"","","","call-function","16","104896","0.0-16.0","z5ryc1do","","","","","","","",""
"2364.0800000000017","{""judgement"":0}","[0]","survey-likert","17","107262","0.0-17.0","z5ryc1do","","","","","","","","1"
"1565.4949999999953","{""confidence"":0}","[0]","survey-likert","18","108828","0.0-18.0","z5ryc1do","","","","","","","",""
"","","","call-function","19","108829","0.0-19.0","z5ryc1do","","","","","","","",""
"null","","","html-keyboard-response","20","110330","0.0-20.0","z5ryc1do","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","21","113428","0.0-21.0","z5ryc1do","","","null","","Agent A","veridical","STIM_SET_2/1160049.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue.mp4",""
"null","","","html-keyboard-response","22","114931","0.0-22.0","z5ryc1do","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","23","118027","0.0-23.0","z5ryc1do","","","null","","Agent B","scrambled","STIM_SET_2/1160049.bmp_pp53_L2_V1.0_scrambled_freeview_isoTrue.mp4",""
"","","","call-function","24","118027","0.0-24.0","z5ryc1do","","","","","","","",""
