"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"25763.245000000003","{""Experimenter"":[""Confirmed subject's identity"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","25771","0.0-0.0","z6aj31k0","","","","","","","",""
"5151.305","","","instructions","1","30924","0.0-1.0","z6aj31k0","[{""page_index"":0,""viewing_time"":5151.139999999999}]","","","","","","",""
"8299.329999999998","{""Age"":4,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","39225","0.0-2.0","z6aj31k0","","","","","","","",""
"54214.635","","","instructions","3","93440","0.0-3.0","z6aj31k0","[{""page_index"":0,""viewing_time"":51640.605},{""page_index"":1,""viewing_time"":1105.9149999999936},{""page_index"":2,""viewing_time"":1467.9850000000006}]","","","","","","",""
"1906.5149999999994","","","instructions","4","95347","0.0-4.0","z6aj31k0","[{""page_index"":0,""viewing_time"":1906.4100000000035}]","","","","","","",""
"null","","","video-keyboard-response","5","98423","0.0-5.0","z6aj31k0","","","null","","","","",""
"5639.050000000003","","","instructions","6","104062","0.0-6.0","z6aj31k0","[{""page_index"":0,""viewing_time"":1180.8699999999953},{""page_index"":1,""viewing_time"":3649.195000000007},{""page_index"":2,""viewing_time"":808.875}]","","","","","","",""
"594.7250000000058","","","instructions","7","104657","0.0-7.0","z6aj31k0","[{""page_index"":0,""viewing_time"":594.6199999999953}]","","","","","","",""
"1153.604999999996","","","instructions","8","105811","0.0-8.0","z6aj31k0","[{""page_index"":0,""viewing_time"":1153.3800000000047}]","","","","","","",""
"null","","","video-keyboard-response","9","108902","0.0-9.0","z6aj31k0","","","null","","","","",""
"6603.255000000005","","","instructions","10","115505","0.0-10.0","z6aj31k0","[{""page_index"":0,""viewing_time"":1079.395000000004},{""page_index"":1,""viewing_time"":1805.8899999999994},{""page_index"":2,""viewing_time"":3717.824999999997}]","","","","","","",""
"1964.324999999997","","","instructions","11","117470","0.0-11.0","z6aj31k0","[{""page_index"":0,""viewing_time"":1964.199999999997}]","","","","","","",""
"","","","call-function","12","117471","0.0-12.0","z6aj31k0","","","","","","","",""
"null","","","html-keyboard-response","13","118977","0.0-13.0","z6aj31k0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","14","121734","0.0-14.0","z6aj31k0","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","15","123238","0.0-15.0","z6aj31k0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","16","126008","0.0-16.0","z6aj31k0","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/1592747.bmp_pp53_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","17","126008","0.0-17.0","z6aj31k0","","","","","","","",""
"5824.299999999988","{""judgement"":0}","[0]","survey-likert","18","131834","0.0-18.0","z6aj31k0","","","","","","","","1"
"1533.8600000000151","{""confidence"":0}","[0]","survey-likert","19","133369","0.0-19.0","z6aj31k0","","","","","","","",""
"","","","call-function","20","133370","0.0-20.0","z6aj31k0","","","","","","","",""
"null","","","html-keyboard-response","21","134872","0.0-21.0","z6aj31k0","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","22","137642","0.0-22.0","z6aj31k0","","","null","","Agent A","scrambled","FOR_REV_MAP_BLOBBY_STIM/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_fps144_reversed_REAL.mp4",""
"null","","","html-keyboard-response","23","139143","0.0-23.0","z6aj31k0","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","24","141909","0.0-24.0","z6aj31k0","","","null","","Agent B","veridical","FOR_REV_MAP_BLOBBY_STIM/713328.bmp_pp86_L2_V1.0_veridical_freeview_isoTrue_fps144.mp4",""
"","","","call-function","25","141911","0.0-25.0","z6aj31k0","","","","","","","",""
