"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"77607.37","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","77616","0.0-0.0","z6pxpp20","","","","","","","",""
"3340.4000000000087","","","instructions","1","80958","0.0-1.0","z6pxpp20","[{""page_index"":0,""viewing_time"":3340.24500000001}]","","","","","","",""
"9588.794999999998","","","instructions","2","90548","0.0-2.0","z6pxpp20","[{""page_index"":0,""viewing_time"":1805.645000000004},{""page_index"":1,""viewing_time"":3933.029999999999},{""page_index"":2,""viewing_time"":3849.9949999999953}]","","","","","","",""
"2230.284999999989","","","instructions","3","92779","0.0-3.0","z6pxpp20","[{""page_index"":0,""viewing_time"":2230.179999999993}]","","","","","","",""
"null","","","video-keyboard-response","4","95855","0.0-4.0","z6pxpp20","","","null","","","","",""
"15481.479999999996","","","instructions","5","111337","0.0-5.0","z6pxpp20","[{""page_index"":0,""viewing_time"":3736.2350000000006},{""page_index"":1,""viewing_time"":2996.925000000003},{""page_index"":2,""viewing_time"":973.1349999999948},{""page_index"":3,""viewing_time"":3568.979999999996},{""page_index"":4,""viewing_time"":4206.080000000002}]","","","","","","",""
"13784.479999999996","","","instructions","6","125122","0.0-6.0","z6pxpp20","[{""page_index"":0,""viewing_time"":13784.354999999996}]","","","","","","",""
"","","","call-function","7","125123","0.0-7.0","z6pxpp20","","","","","","","",""
"null","","","html-keyboard-response","8","126627","0.0-8.0","z6pxpp20","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","129705","0.0-9.0","z6pxpp20","","","null","","Agent A","scrambled","STIM_SET_1/1160168.bmp_pp53_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
