"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"17218.175","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","17227","0.0-0.0","zj41psak","","","","","","","",""
"64612.380000000005","","","instructions","1","81841","0.0-1.0","zj41psak","[{""page_index"":0,""viewing_time"":64612.229999999996}]","","","","","","",""
"10338.485","","","instructions","2","92180","0.0-2.0","zj41psak","[{""page_index"":0,""viewing_time"":1877.5149999999994},{""page_index"":1,""viewing_time"":4610.860000000001},{""page_index"":2,""viewing_time"":3849.9850000000006}]","","","","","","",""
"2276.300000000003","","","instructions","3","94457","0.0-3.0","zj41psak","[{""page_index"":0,""viewing_time"":2276.195000000007}]","","","","","","",""
"null","","","video-keyboard-response","4","97535","0.0-4.0","zj41psak","","","null","","","","",""
"14322.265","","","instructions","5","111858","0.0-5.0","zj41psak","[{""page_index"":0,""viewing_time"":1654.0950000000012},{""page_index"":1,""viewing_time"":2028.0699999999924},{""page_index"":2,""viewing_time"":880.0550000000076},{""page_index"":3,""viewing_time"":2839.25},{""page_index"":4,""viewing_time"":6920.664999999994}]","","","","","","",""
"3093.3849999999948","","","instructions","6","114952","0.0-6.0","zj41psak","[{""page_index"":0,""viewing_time"":3093.2599999999948}]","","","","","","",""
"","","","call-function","7","114953","0.0-7.0","zj41psak","","","","","","","",""
"null","","","html-keyboard-response","8","116455","0.0-8.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","119535","0.0-9.0","zj41psak","","","null","","Agent A","veridical","STIM_SET_1_REAL/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","121037","0.0-10.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","124124","0.0-11.0","zj41psak","","","null","","Agent B","scrambled","STIM_SET_3/498258.bmp_pp51_L1_V2_veridical_freeview_isoFalsemismatch_498155.bmp_L2_fps90.mp4",""
"","","","call-function","12","124124","0.0-12.0","zj41psak","","","","","","","",""
"2056.4000000000087","{""judgement"":0}","[0]","survey-likert","13","126182","0.0-13.0","zj41psak","","","","","","","","0"
"2101.3399999999965","{""confidence"":3}","[0]","survey-likert","14","128285","0.0-14.0","zj41psak","","","","","","","",""
"","","","call-function","15","128285","0.0-15.0","zj41psak","","","","","","","",""
"null","","","html-keyboard-response","16","129791","0.0-16.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","132869","0.0-17.0","zj41psak","","","null","","Agent A","scrambled","STIM_SET_3/713689.bmp_pp153_L3_V2_veridical_freeview_isoFalsemismatch_498175.bmp_L1_fps90.mp4",""
"null","","","html-keyboard-response","18","134372","0.0-18.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","137471","0.0-19.0","zj41psak","","","null","","Agent B","veridical","STIM_SET_1_REAL/498175.bmp_pp154_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","20","137471","0.0-20.0","zj41psak","","","","","","","",""
"1835.0100000000093","{""judgement"":1}","[0]","survey-likert","21","139308","0.0-21.0","zj41psak","","","","","","","","1"
"1765.7449999999953","{""confidence"":3}","[0]","survey-likert","22","141075","0.0-22.0","zj41psak","","","","","","","",""
"","","","call-function","23","141076","0.0-23.0","zj41psak","","","","","","","",""
"null","","","html-keyboard-response","24","142578","0.0-24.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","145686","0.0-25.0","zj41psak","","","null","","Agent A","scrambled","STIM_SET_3/285715.bmp_pp67_L2_V2_veridical_freeview_isoFalsemismatch_1159882.bmp_L2_fps90.mp4",""
"null","","","html-keyboard-response","26","147192","0.0-26.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","150281","0.0-27.0","zj41psak","","","null","","Agent B","veridical","STIM_SET_1_REAL/1159882.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","28","150282","0.0-28.0","zj41psak","","","","","","","",""
"3862.454999999987","{""judgement"":1}","[0]","survey-likert","29","154145","0.0-29.0","zj41psak","","","","","","","","1"
"2290.6299999999756","{""confidence"":1}","[0]","survey-likert","30","156437","0.0-30.0","zj41psak","","","","","","","",""
"","","","call-function","31","156437","0.0-31.0","zj41psak","","","","","","","",""
"null","","","html-keyboard-response","32","157942","0.0-32.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","161017","0.0-33.0","zj41psak","","","null","","Agent A","scrambled","STIM_SET_3/713742.bmp_pp91_L3_V2_veridical_freeview_isoFalsemismatch_498170.bmp_L3_fps90.mp4",""
"null","","","html-keyboard-response","34","162519","0.0-34.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","165610","0.0-35.0","zj41psak","","","null","","Agent B","veridical","STIM_SET_1_REAL/498170.bmp_pp153_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","36","165611","0.0-36.0","zj41psak","","","","","","","",""
"10494.070000000007","{""judgement"":1}","[0]","survey-likert","37","176106","0.0-37.0","zj41psak","","","","","","","","1"
"3272.6199999999953","{""confidence"":1}","[0]","survey-likert","38","179380","0.0-38.0","zj41psak","","","","","","","",""
"","","","call-function","39","179381","0.0-39.0","zj41psak","","","","","","","",""
"null","","","html-keyboard-response","40","180885","0.0-40.0","zj41psak","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
