"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"98086.6","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","98094","0.0-0.0","zy3xcfb7","","","","","","","",""
"21962.64499999999","","","instructions","1","120059","0.0-1.0","zy3xcfb7","[{""page_index"":0,""viewing_time"":21962.484999999986}]","","","","","","",""
"29873.615000000005","","","instructions","2","149933","0.0-2.0","zy3xcfb7","[{""page_index"":0,""viewing_time"":1561.7249999999913},{""page_index"":1,""viewing_time"":7034.794999999998},{""page_index"":2,""viewing_time"":21276.970000000016}]","","","","","","",""
"4395.320000000007","","","instructions","3","154329","0.0-3.0","zy3xcfb7","[{""page_index"":0,""viewing_time"":4395.2149999999965}]","","","","","","",""
"null","","","video-keyboard-response","4","157404","0.0-4.0","zy3xcfb7","","","null","","","","",""
"24013.17499999999","","","instructions","5","181419","0.0-5.0","zy3xcfb7","[{""page_index"":0,""viewing_time"":4183.010000000009},{""page_index"":1,""viewing_time"":3170.859999999986},{""page_index"":2,""viewing_time"":1356.0750000000116},{""page_index"":3,""viewing_time"":7582.945000000007},{""page_index"":4,""viewing_time"":7720.079999999987}]","","","","","","",""
"3360.070000000007","","","instructions","6","184780","0.0-6.0","zy3xcfb7","[{""page_index"":0,""viewing_time"":3359.954999999987}]","","","","","","",""
"","","","call-function","7","184780","0.0-7.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","8","186283","0.0-8.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","189360","0.0-9.0","zy3xcfb7","","","null","","Agent A","scrambled","STIM_SET_1/1592581.bmp_pp100_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","10","190866","0.0-10.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","193945","0.0-11.0","zy3xcfb7","","","null","","Agent B","veridical","STIM_SET_1/1592581.bmp_pp100_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","12","193945","0.0-12.0","zy3xcfb7","","","","","","","",""
"5022.414999999979","{""judgement"":0}","[0]","survey-likert","13","198969","0.0-13.0","zy3xcfb7","","","","","","","","1"
"3022.7149999999965","{""confidence"":0}","[0]","survey-likert","14","201993","0.0-14.0","zy3xcfb7","","","","","","","",""
"","","","call-function","15","201994","0.0-15.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","16","203495","0.0-16.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","206567","0.0-17.0","zy3xcfb7","","","null","","Agent A","scrambled","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","18","208072","0.0-18.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","19","211182","0.0-19.0","zy3xcfb7","","","null","","Agent B","veridical","STIM_SET_1/1593035.bmp_pp94_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","20","211182","0.0-20.0","zy3xcfb7","","","","","","","",""
"3069.3249999999825","{""judgement"":0}","[0]","survey-likert","21","214254","0.0-21.0","zy3xcfb7","","","","","","","","1"
"4053.084999999992","{""confidence"":2}","[0]","survey-likert","22","218308","0.0-22.0","zy3xcfb7","","","","","","","",""
"","","","call-function","23","218308","0.0-23.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","24","219809","0.0-24.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","25","222883","0.0-25.0","zy3xcfb7","","","null","","Agent A","scrambled","STIM_SET_1/285905.bmp_pp57_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","26","224387","0.0-26.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","27","227510","0.0-27.0","zy3xcfb7","","","null","","Agent B","veridical","STIM_SET_1/285905.bmp_pp57_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","28","227510","0.0-28.0","zy3xcfb7","","","","","","","",""
"3238.3949999999895","{""judgement"":1}","[0]","survey-likert","29","230750","0.0-29.0","zy3xcfb7","","","","","","","","1"
"4217.11500000002","{""confidence"":1}","[0]","survey-likert","30","234968","0.0-30.0","zy3xcfb7","","","","","","","",""
"","","","call-function","31","234968","0.0-31.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","32","236472","0.0-32.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","33","239589","0.0-33.0","zy3xcfb7","","","null","","Agent A","scrambled","STIM_SET_1/1591876.bmp_pp63_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","34","241092","0.0-34.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","35","244208","0.0-35.0","zy3xcfb7","","","null","","Agent B","veridical","STIM_SET_1/1591876.bmp_pp63_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","36","244208","0.0-36.0","zy3xcfb7","","","","","","","",""
"4719.255000000005","{""judgement"":1}","[0]","survey-likert","37","248929","0.0-37.0","zy3xcfb7","","","","","","","","1"
"4158.059999999998","{""confidence"":0}","[0]","survey-likert","38","253088","0.0-38.0","zy3xcfb7","","","","","","","",""
"","","","call-function","39","253088","0.0-39.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","40","254592","0.0-40.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","41","257659","0.0-41.0","zy3xcfb7","","","null","","Agent A","scrambled","STIM_SET_1/713403.bmp_pp80_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","42","259166","0.0-42.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","43","262236","0.0-43.0","zy3xcfb7","","","null","","Agent B","veridical","STIM_SET_1/713403.bmp_pp80_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","44","262237","0.0-44.0","zy3xcfb7","","","","","","","",""
"2821.7849999999744","{""judgement"":0}","[0]","survey-likert","45","265060","0.0-45.0","zy3xcfb7","","","","","","","","1"
"1897.625","{""confidence"":2}","[0]","survey-likert","46","266959","0.0-46.0","zy3xcfb7","","","","","","","",""
"","","","call-function","47","266960","0.0-47.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","48","268464","0.0-48.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","49","271548","0.0-49.0","zy3xcfb7","","","null","","Agent A","veridical","STIM_SET_1/1159784.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","50","273052","0.0-50.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","51","276132","0.0-51.0","zy3xcfb7","","","null","","Agent B","scrambled","STIM_SET_1/1159784.bmp_pp73_L3_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","52","276132","0.0-52.0","zy3xcfb7","","","","","","","",""
"3667.5899999999674","{""judgement"":1}","[0]","survey-likert","53","279801","0.0-53.0","zy3xcfb7","","","","","","","","0"
"1887.820000000007","{""confidence"":2}","[0]","survey-likert","54","281690","0.0-54.0","zy3xcfb7","","","","","","","",""
"","","","call-function","55","281691","0.0-55.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","56","283193","0.0-56.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","57","286271","0.0-57.0","zy3xcfb7","","","null","","Agent A","veridical","STIM_SET_1/712977.bmp_pp51_L1_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","58","287774","0.0-58.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","59","290892","0.0-59.0","zy3xcfb7","","","null","","Agent B","scrambled","STIM_SET_1/712977.bmp_pp51_L1_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","60","290893","0.0-60.0","zy3xcfb7","","","","","","","",""
"3810.7849999999744","{""judgement"":0}","[0]","survey-likert","61","294704","0.0-61.0","zy3xcfb7","","","","","","","","0"
"2896.829999999958","{""confidence"":0}","[0]","survey-likert","62","297603","0.0-62.0","zy3xcfb7","","","","","","","",""
"","","","call-function","63","297603","0.0-63.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","64","299106","0.0-64.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","65","302221","0.0-65.0","zy3xcfb7","","","null","","Agent A","veridical","STIM_SET_1/1592499.bmp_pp96_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","66","303727","0.0-66.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","67","306839","0.0-67.0","zy3xcfb7","","","null","","Agent B","scrambled","STIM_SET_1/1592499.bmp_pp96_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"","","","call-function","68","306840","0.0-68.0","zy3xcfb7","","","","","","","",""
"4233.34500000003","{""judgement"":1}","[0]","survey-likert","69","311074","0.0-69.0","zy3xcfb7","","","","","","","","0"
"2315.615000000049","{""confidence"":1}","[0]","survey-likert","70","313391","0.0-70.0","zy3xcfb7","","","","","","","",""
"","","","call-function","71","313391","0.0-71.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","72","314896","0.0-72.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","73","318008","0.0-73.0","zy3xcfb7","","","null","","Agent A","scrambled","STIM_SET_1/498111.bmp_pp88_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","74","319510","0.0-74.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","75","322618","0.0-75.0","zy3xcfb7","","","null","","Agent B","veridical","STIM_SET_1/498111.bmp_pp88_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","76","322618","0.0-76.0","zy3xcfb7","","","","","","","",""
"3344.9400000000023","{""judgement"":0}","[0]","survey-likert","77","325964","0.0-77.0","zy3xcfb7","","","","","","","","1"
"2625.344999999972","{""confidence"":1}","[0]","survey-likert","78","328590","0.0-78.0","zy3xcfb7","","","","","","","",""
"","","","call-function","79","328591","0.0-79.0","zy3xcfb7","","","","","","","",""
"null","","","html-keyboard-response","80","330093","0.0-80.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","81","333170","0.0-81.0","zy3xcfb7","","","null","","Agent A","scrambled","STIM_SET_1/498155.bmp_pp61_L2_V1.0_scrambled_freeview_isoFalse.mp4",""
"null","","","html-keyboard-response","82","334675","0.0-82.0","zy3xcfb7","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","83","337757","0.0-83.0","zy3xcfb7","","","null","","Agent B","veridical","STIM_SET_1/498155.bmp_pp61_L2_V1.0_veridical_freeview_isoFalse.mp4",""
"","","","call-function","84","337757","0.0-84.0","zy3xcfb7","","","","","","","",""
"2886.0200000000186","{""judgement"":0}","[0]","survey-likert","85","340644","0.0-85.0","zy3xcfb7","","","","","","","","1"
"2262.319999999949","{""confidence"":0}","[0]","survey-likert","86","342908","0.0-86.0","zy3xcfb7","","","","","","","",""
