"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct_answer"
"141743.19999999998","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","141752","0.0-0.0","zynxvp2b","","","","","","","",""
"30448.554999999993","","","instructions","1","172202","0.0-1.0","zynxvp2b","[{""page_index"":0,""viewing_time"":30448.389999999985}]","","","","","","",""
"14439.929999999993","","","instructions","2","186644","0.0-2.0","zynxvp2b","[{""page_index"":0,""viewing_time"":60.60999999998603},{""page_index"":1,""viewing_time"":8080.529999999999},{""page_index"":2,""viewing_time"":6298.2149999999965}]","","","","","","",""
"2482","","","instructions","3","189127","0.0-3.0","zynxvp2b","[{""page_index"":0,""viewing_time"":2481.8949999999895}]","","","","","","",""
"null","","","video-keyboard-response","4","192202","0.0-4.0","zynxvp2b","","","null","","","","",""
"20183.415000000008","","","instructions","5","212386","0.0-5.0","zynxvp2b","[{""page_index"":0,""viewing_time"":2994.320000000007},{""page_index"":1,""viewing_time"":3593.6900000000023},{""page_index"":2,""viewing_time"":2510.2299999999814},{""page_index"":3,""viewing_time"":4610.565000000002},{""page_index"":4,""viewing_time"":6474.4800000000105}]","","","","","","",""
"7826.349999999977","","","instructions","6","220213","0.0-6.0","zynxvp2b","[{""page_index"":0,""viewing_time"":7826.239999999991}]","","","","","","",""
"","","","call-function","7","220214","0.0-7.0","zynxvp2b","","","","","","","",""
"null","","","html-keyboard-response","8","221717","0.0-8.0","zynxvp2b","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","9","224787","0.0-9.0","zynxvp2b","","","null","","Agent A","veridical","STIM_SET_1_REAL/285933.bmp_pp81_L1_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","10","226292","0.0-10.0","zynxvp2b","","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","",""
"null","","","video-keyboard-response","11","229366","0.0-11.0","zynxvp2b","","","null","","Agent B","scrambled","STIM_SET_3/1159973.bmp_pp98_L1_V2_veridical_freeview_isoFalsemismatch_285933.bmp_L1_fps90.mp4",""
"","","","call-function","12","229366","0.0-12.0","zynxvp2b","","","","","","","",""
"4385.815000000002","{""judgement"":0}","[0]","survey-likert","13","233754","0.0-13.0","zynxvp2b","","","","","","","","0"
"7175.514999999985","{""confidence"":2}","[0]","survey-likert","14","240931","0.0-14.0","zynxvp2b","","","","","","","",""
"","","","call-function","15","240931","0.0-15.0","zynxvp2b","","","","","","","",""
"null","","","html-keyboard-response","16","242435","0.0-16.0","zynxvp2b","","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","",""
"null","","","video-keyboard-response","17","245514","0.0-17.0","zynxvp2b","","","null","","Agent A","veridical","STIM_SET_1_REAL/61537.bmp_pp73_L3_V1.0_veridical_freeview_isoFalse_fps144.mp4",""
