"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"117793.96","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","117802","0.0-0.0","4ucl52rb","","","","","","","",""
"69237.615","","","instructions","1","187041","0.0-1.0","4ucl52rb","[{""page_index"":0,""viewing_time"":69237.46500000001}]","","","","","","",""
"8304.015000000014","{""Age"":13,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","195347","0.0-2.0","4ucl52rb","","","","","","","",""
"3578.5449999999837","","","instructions","3","198926","0.0-3.0","4ucl52rb","[{""page_index"":0,""viewing_time"":3578.4400000000023}]","","","","","","",""
"16741.824999999983","","","instructions","4","215668","0.0-4.0","4ucl52rb","[{""page_index"":0,""viewing_time"":1968.8549999999814},{""page_index"":1,""viewing_time"":6704.029999999999},{""page_index"":2,""viewing_time"":8068.805000000022}]","","","","","","",""
"3433.375","","","instructions","5","219102","0.0-5.0","4ucl52rb","[{""page_index"":0,""viewing_time"":3432.6749999999884}]","","","","","","",""
"null","","","video-keyboard-response","6","222182","0.0-6.0","4ucl52rb","","","null","","","","",""
"39690.725000000006","","","instructions","7","261874","0.0-7.0","4ucl52rb","[{""page_index"":0,""viewing_time"":3510.679999999993},{""page_index"":1,""viewing_time"":4240.950000000012},{""page_index"":2,""viewing_time"":1120.5650000000023},{""page_index"":3,""viewing_time"":4920.329999999987},{""page_index"":4,""viewing_time"":3587.0650000000023},{""page_index"":5,""viewing_time"":10358.945000000007},{""page_index"":6,""viewing_time"":8181.619999999995},{""page_index"":7,""viewing_time"":3770.390000000014}]","","","","","","",""
"5853.1750000000175","","","instructions","8","267728","0.0-8.0","4ucl52rb","[{""page_index"":0,""viewing_time"":5853.040000000008}]","","","","","","",""
"2085.670000000042","","","instructions","9","269814","0.0-9.0","4ucl52rb","[{""page_index"":0,""viewing_time"":2085.570000000007}]","","","","","","",""
"","","","call-function","10","269815","0.0-10.0","4ucl52rb","","","","","","","",""
"null","","","html-keyboard-response","11","271318","0.0-11.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","274380","0.0-12.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_10/1592367.bmp_pp62_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","275884","0.0-13.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","278954","0.0-14.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_10/1592367.bmp_pp88_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","278954","0.0-15.0","4ucl52rb","","","","","","","",""
"4183.969999999972","","","categorize-html","16","285141","0.0-16.0","4ucl52rb","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","17","285648","0.0-17.0","4ucl52rb",""," ","null","","","","",""
"","","","call-function","18","285649","0.0-18.0","4ucl52rb","","","","","","","",""
"null","","","html-keyboard-response","19","287151","0.0-19.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","290226","0.0-20.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_10/1592038.bmp_pp62_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","291729","0.0-21.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","294823","0.0-22.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_10/1592038.bmp_pp88_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","294823","0.0-23.0","4ucl52rb","","","","","","","",""
"3250.015000000014","","","categorize-html","24","300076","0.0-24.0","4ucl52rb","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","25","300578","0.0-25.0","4ucl52rb",""," ","null","","","","",""
"","","","call-function","26","300578","0.0-26.0","4ucl52rb","","","","","","","",""
"null","","","html-keyboard-response","27","302082","0.0-27.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","305208","0.0-28.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_10/498286.bmp_pp88_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","306712","0.0-29.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","30","309827","0.0-30.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_10/498286.bmp_pp62_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","31","309827","0.0-31.0","4ucl52rb","","","","","","","",""
"974.2799999999697","","","categorize-html","32","312807","0.0-32.0","4ucl52rb","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","33","313309","0.0-33.0","4ucl52rb",""," ","null","","","","",""
"","","","call-function","34","313309","0.0-34.0","4ucl52rb","","","","","","","",""
"null","","","html-keyboard-response","35","314813","0.0-35.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","36","317925","0.0-36.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_10/1160168.bmp_pp62_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","37","319430","0.0-37.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","38","322551","0.0-38.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_10/1160168.bmp_pp88_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","39","322551","0.0-39.0","4ucl52rb","","","","","","","",""
"601.9099999999744","","","categorize-html","40","325156","0.0-40.0","4ucl52rb","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","41","325659","0.0-41.0","4ucl52rb",""," ","null","","","","",""
"","","","call-function","42","325659","0.0-42.0","4ucl52rb","","","","","","","",""
"null","","","html-keyboard-response","43","327163","0.0-43.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","44","330264","0.0-44.0","4ucl52rb","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_10/1591805.bmp_pp62_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","45","331767","0.0-45.0","4ucl52rb","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
