"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"28435.745000000003","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","28443","0.0-0.0","wt61tbc5","","","","","","","",""
"108265.215","","","instructions","1","136710","0.0-1.0","wt61tbc5","[{""page_index"":0,""viewing_time"":108265.065}]","","","","","","",""
"6919.3399999999965","{""Age"":2,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","143632","0.0-2.0","wt61tbc5","","","","","","","",""
"2039.4150000000081","","","instructions","3","145672","0.0-3.0","wt61tbc5","[{""page_index"":0,""viewing_time"":2039.3099999999977}]","","","","","","",""
"23087.845","","","instructions","4","168760","0.0-4.0","wt61tbc5","[{""page_index"":0,""viewing_time"":8375.559999999998},{""page_index"":1,""viewing_time"":7700.415000000008},{""page_index"":2,""viewing_time"":7011.744999999995}]","","","","","","",""
"3806.845000000001","","","instructions","5","172567","0.0-5.0","wt61tbc5","[{""page_index"":0,""viewing_time"":3806.7399999999907}]","","","","","","",""
"null","","","video-keyboard-response","6","175641","0.0-6.0","wt61tbc5","","","null","","","","",""
"33931.07500000001","","","instructions","7","209573","0.0-7.0","wt61tbc5","[{""page_index"":0,""viewing_time"":4496.210000000021},{""page_index"":1,""viewing_time"":4574.864999999991},{""page_index"":2,""viewing_time"":1975.9750000000058},{""page_index"":3,""viewing_time"":4897.049999999988},{""page_index"":4,""viewing_time"":5043.059999999998},{""page_index"":5,""viewing_time"":4616.875},{""page_index"":6,""viewing_time"":5196.760000000009},{""page_index"":7,""viewing_time"":3130.154999999999}]","","","","","","",""
"14478.99000000002","","","instructions","8","224052","0.0-8.0","wt61tbc5","[{""page_index"":0,""viewing_time"":14478.74000000002}]","","","","","","",""
"2856.4500000000116","","","instructions","9","226909","0.0-9.0","wt61tbc5","[{""page_index"":0,""viewing_time"":2856.3399999999965}]","","","","","","",""
"","","","call-function","10","226910","0.0-10.0","wt61tbc5","","","","","","","",""
"null","","","html-keyboard-response","11","228413","0.0-11.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","231482","0.0-12.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_11/1159609.bmp_pp67_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","232988","0.0-13.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","236051","0.0-14.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_11/1159609.bmp_pp70_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","236051","0.0-15.0","wt61tbc5","","","","","","","",""
"1400.5599999999977","","","categorize-html","16","239455","0.0-16.0","wt61tbc5","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","17","239957","0.0-17.0","wt61tbc5",""," ","null","","","","",""
"","","","call-function","18","239958","0.0-18.0","wt61tbc5","","","","","","","",""
"null","","","html-keyboard-response","19","241461","0.0-19.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","244536","0.0-20.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_11/1159325.bmp_pp70_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","246043","0.0-21.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","249107","0.0-22.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_11/1159325.bmp_pp67_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","249108","0.0-23.0","wt61tbc5","","","","","","","",""
"3182.985000000015","","","categorize-html","24","254299","0.0-24.0","wt61tbc5","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","25","254800","0.0-25.0","wt61tbc5",""," ","null","","","","",""
"","","","call-function","26","254801","0.0-26.0","wt61tbc5","","","","","","","",""
"null","","","html-keyboard-response","27","256304","0.0-27.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","259397","0.0-28.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_11/1592254.bmp_pp67_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","260900","0.0-29.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","30","263984","0.0-30.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_11/1592254.bmp_pp70_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","31","263984","0.0-31.0","wt61tbc5","","","","","","","",""
"2979.984999999986","","","categorize-html","32","268971","0.0-32.0","wt61tbc5","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","33","269473","0.0-33.0","wt61tbc5",""," ","null","","","","",""
"","","","call-function","34","269473","0.0-34.0","wt61tbc5","","","","","","","",""
"null","","","html-keyboard-response","35","270980","0.0-35.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","36","274066","0.0-36.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_11/1592083.bmp_pp67_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","37","275570","0.0-37.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","38","278664","0.0-38.0","wt61tbc5","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_11/1592083.bmp_pp70_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","39","278664","0.0-39.0","wt61tbc5","","","","","","","",""
"1228.3349999999627","","","categorize-html","40","281895","0.0-40.0","wt61tbc5","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","41","282400","0.0-41.0","wt61tbc5",""," ","null","","","","",""
"","","","call-function","42","282400","0.0-42.0","wt61tbc5","","","","","","","",""
"null","","","html-keyboard-response","43","283903","0.0-43.0","wt61tbc5","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
