"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"1720727.045","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","1720737","0.0-0.0","l4vexvox","","","","","","","",""
"55476.23499999987","","","instructions","1","1776214","0.0-1.0","l4vexvox","[{""page_index"":0,""viewing_time"":55476.08499999996}]","","","","","","",""
"7477.449999999953","{""Age"":2,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","1783694","0.0-2.0","l4vexvox","","","","","","","",""
"1384.6049999999814","","","instructions","3","1785079","0.0-3.0","l4vexvox","[{""page_index"":0,""viewing_time"":1384.5}]","","","","","","",""
"22231.709999999963","","","instructions","4","1807311","0.0-4.0","l4vexvox","[{""page_index"":0,""viewing_time"":853.6300000001211},{""page_index"":1,""viewing_time"":15285.780000000028},{""page_index"":2,""viewing_time"":6092.179999999935}]","","","","","","",""
"2168.5150000001304","","","instructions","5","1809480","0.0-5.0","l4vexvox","[{""page_index"":0,""viewing_time"":2168.4150000000373}]","","","","","","",""
"null","","","video-keyboard-response","6","1812553","0.0-6.0","l4vexvox","","","null","","","","",""
"28065.34999999986","","","instructions","7","1840620","0.0-7.0","l4vexvox","[{""page_index"":0,""viewing_time"":2602.75},{""page_index"":1,""viewing_time"":2503.1399999998976},{""page_index"":2,""viewing_time"":58.97999999998137},{""page_index"":3,""viewing_time"":3597.7900000000373},{""page_index"":4,""viewing_time"":5171.090000000084},{""page_index"":5,""viewing_time"":8224.964999999851},{""page_index"":6,""viewing_time"":4342.949999999953},{""page_index"":7,""viewing_time"":1563.094999999972}]","","","","","","",""
"5560.540000000037","","","instructions","8","1846181","0.0-8.0","l4vexvox","[{""page_index"":0,""viewing_time"":5560.415000000037}]","","","","","","",""
"2807.475000000093","","","instructions","9","1848989","0.0-9.0","l4vexvox","[{""page_index"":0,""viewing_time"":2807.375}]","","","","","","",""
"","","","call-function","10","1848990","0.0-10.0","l4vexvox","","","","","","","",""
"null","","","html-keyboard-response","11","1850496","0.0-11.0","l4vexvox","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
