"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"88974.98","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","88982","0.0-0.0","emepc1uo","","","","","","","",""
"40911.115000000005","","","instructions","1","129894","0.0-1.0","emepc1uo","[{""page_index"":0,""viewing_time"":40910.96500000001}]","","","","","","",""
"8708.26000000001","{""Age"":13,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","138604","0.0-2.0","emepc1uo","","","","","","","",""
"3337.6599999999744","","","instructions","3","141943","0.0-3.0","emepc1uo","[{""page_index"":0,""viewing_time"":3337.554999999993}]","","","","","","",""
"15461.86500000002","","","instructions","4","157405","0.0-4.0","emepc1uo","[{""page_index"":0,""viewing_time"":1939.8400000000256},{""page_index"":1,""viewing_time"":7004.094999999972},{""page_index"":2,""viewing_time"":6517.805000000022}]","","","","","","",""
"3681.4099999999744","","","instructions","5","161087","0.0-5.0","emepc1uo","[{""page_index"":0,""viewing_time"":3681.304999999993}]","","","","","","",""
"null","","","video-keyboard-response","6","164163","0.0-6.0","emepc1uo","","","null","","","","",""
"39414.88500000001","","","instructions","7","203578","0.0-7.0","emepc1uo","[{""page_index"":0,""viewing_time"":3919.3000000000175},{""page_index"":1,""viewing_time"":85.47999999998137},{""page_index"":2,""viewing_time"":2057.765000000014},{""page_index"":3,""viewing_time"":7691.929999999993},{""page_index"":4,""viewing_time"":6297.065000000002},{""page_index"":5,""viewing_time"":10629.994999999995},{""page_index"":6,""viewing_time"":8621.170000000013},{""page_index"":7,""viewing_time"":112.0449999999837}]","","","","","","",""
"9478.630000000005","","","instructions","8","213057","0.0-8.0","emepc1uo","[{""page_index"":0,""viewing_time"":9478.390000000014}]","","","","","","",""
"2559.304999999993","","","instructions","9","215617","0.0-9.0","emepc1uo","[{""page_index"":0,""viewing_time"":2559.194999999978}]","","","","","","",""
"","","","call-function","10","215617","0.0-10.0","emepc1uo","","","","","","","",""
"null","","","html-keyboard-response","11","217125","0.0-11.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","220216","0.0-12.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_13/285610.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","221723","0.0-13.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","224808","0.0-14.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_13/285610.bmp_pp73_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","224809","0.0-15.0","emepc1uo","","","","","","","",""
"5511.890000000014","","","categorize-html","16","232325","0.0-16.0","emepc1uo","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","17","232833","0.0-17.0","emepc1uo",""," ","null","","","","",""
"","","","call-function","18","232834","0.0-18.0","emepc1uo","","","","","","","",""
"null","","","html-keyboard-response","19","234336","0.0-19.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","20","237423","0.0-20.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_13/61537.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","21","238930","0.0-21.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","22","242024","0.0-22.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_13/61537.bmp_pp73_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","23","242024","0.0-23.0","emepc1uo","","","","","","","",""
"6856.8249999999825","","","categorize-html","24","250888","0.0-24.0","emepc1uo","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","true"
"null","","","html-keyboard-response","25","251390","0.0-25.0","emepc1uo",""," ","null","","","","",""
"","","","call-function","26","251390","0.0-26.0","emepc1uo","","","","","","","",""
"null","","","html-keyboard-response","27","252895","0.0-27.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","28","255977","0.0-28.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_13/713796.bmp_pp73_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","29","257485","0.0-29.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","30","260581","0.0-30.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_13/713796.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","31","260582","0.0-31.0","emepc1uo","","","","","","","",""
"2187.195000000007","","","categorize-html","32","264772","0.0-32.0","emepc1uo","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","50","","","","","false"
"null","","","html-keyboard-response","33","265273","0.0-33.0","emepc1uo",""," ","null","","","","",""
"","","","call-function","34","265273","0.0-34.0","emepc1uo","","","","","","","",""
"null","","","html-keyboard-response","35","266775","0.0-35.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","36","269886","0.0-36.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_13/1592241.bmp_pp60_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","37","271393","0.0-37.0","emepc1uo","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","38","274483","0.0-38.0","emepc1uo","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_13/1592241.bmp_pp73_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","39","274483","0.0-39.0","emepc1uo","","","","","","","",""
"6245.554999999993","","","categorize-html","40","282733","0.0-40.0","emepc1uo","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","41","283239","0.0-41.0","emepc1uo",""," ","null","","","","",""
