"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"15415.18","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","15422","0.0-0.0","u977e3wb","","","","","","","",""
"27337.545","","","instructions","1","42761","0.0-1.0","u977e3wb","[{""page_index"":0,""viewing_time"":27336.994999999995}]","","","","","","",""
"6412.2750000000015","{""Age"":3,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","49176","0.0-2.0","u977e3wb","","","","","","","",""
"2848.459999999999","","","instructions","3","52026","0.0-3.0","u977e3wb","[{""page_index"":0,""viewing_time"":2848.355000000003}]","","","","","","",""
"10250.154999999999","","","instructions","4","62276","0.0-4.0","u977e3wb","[{""page_index"":0,""viewing_time"":894.7350000000006},{""page_index"":1,""viewing_time"":3144.0799999999945},{""page_index"":2,""viewing_time"":6211.209999999999}]","","","","","","",""
"1816.5350000000035","","","instructions","5","64093","0.0-5.0","u977e3wb","[{""page_index"":0,""viewing_time"":1816.4300000000003}]","","","","","","",""
"null","","","video-keyboard-response","6","67172","0.0-6.0","u977e3wb","","","null","","","","",""
"31804.545","","","instructions","7","98977","0.0-7.0","u977e3wb","[{""page_index"":0,""viewing_time"":3036.439999999988},{""page_index"":1,""viewing_time"":2223.970000000001},{""page_index"":2,""viewing_time"":940.0299999999988},{""page_index"":3,""viewing_time"":3950.3899999999994},{""page_index"":4,""viewing_time"":4486.045000000013},{""page_index"":3,""viewing_time"":3734.5949999999866},{""page_index"":4,""viewing_time"":1408.9100000000035},{""page_index"":5,""viewing_time"":5684.184999999998},{""page_index"":6,""viewing_time"":4253.020000000004},{""page_index"":7,""viewing_time"":2086.8350000000064}]","","","","","","",""
"40039.68500000001","","","instructions","8","139017","0.0-8.0","u977e3wb","[{""page_index"":0,""viewing_time"":40039.43500000001}]","","","","","","",""
"3681.709999999992","","","instructions","9","142699","0.0-9.0","u977e3wb","[{""page_index"":0,""viewing_time"":3681.600000000006}]","","","","","","",""
"","","","call-function","10","142700","0.0-10.0","u977e3wb","","","","","","","",""
"null","","","html-keyboard-response","11","144206","0.0-11.0","u977e3wb","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","147266","0.0-12.0","u977e3wb","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","LEARNING_STIM_14/107909.bmp_pp82_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","148772","0.0-13.0","u977e3wb","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","151838","0.0-14.0","u977e3wb","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","LEARNING_STIM_14/107909.bmp_pp94_L2_V1_veridical_freeview_isoFalse_fps144.mp4",""
