"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"19484.605","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","19492","0.0-0.0","n8aye2cc","","","","","","","",""
"1030813.7449999999","","","instructions","1","1050309","0.0-1.0","n8aye2cc","[{""page_index"":0,""viewing_time"":1030813.1950000001}]","","","","","","",""
"7939.135000000009","{""Age"":9,""Sex"":1,""Gender"":1}","[0,1,2]","survey-likert","2","1058251","0.0-2.0","n8aye2cc","","","","","","","",""
"940.3549999999814","","","instructions","3","1059192","0.0-3.0","n8aye2cc","[{""page_index"":0,""viewing_time"":940.2550000001211}]","","","","","","",""
"990622.5750000002","","","instructions","4","2049817","0.0-4.0","n8aye2cc","[{""page_index"":0,""viewing_time"":1234.4250000000466},{""page_index"":1,""viewing_time"":17337.889999999898},{""page_index"":2,""viewing_time"":972050.1050000002}]","","","","","","",""
"6188.324999999953","","","instructions","5","2056006","0.0-5.0","n8aye2cc","[{""page_index"":0,""viewing_time"":6188.214999999851}]","","","","","","",""
"null","","","video-keyboard-response","6","2059085","0.0-6.0","n8aye2cc","","","null","","","","",""
"33614.320000000065","","","instructions","7","2092701","0.0-7.0","n8aye2cc","[{""page_index"":0,""viewing_time"":3759.905000000028},{""page_index"":1,""viewing_time"":3215.5849999999627},{""page_index"":2,""viewing_time"":954.1350000000093},{""page_index"":3,""viewing_time"":6538.270000000019},{""page_index"":4,""viewing_time"":3306.590000000084},{""page_index"":5,""viewing_time"":6771.774999999907},{""page_index"":6,""viewing_time"":6904.084999999963},{""page_index"":7,""viewing_time"":2163.340000000084}]","","","","","","",""
"14770.780000000028","","","instructions","8","2107473","0.0-8.0","n8aye2cc","[{""page_index"":0,""viewing_time"":14770.639999999898}]","","","","","","",""
"6659.285000000149","","","instructions","9","2114133","0.0-9.0","n8aye2cc","[{""page_index"":0,""viewing_time"":6659.174999999814}]","","","","","","",""
"","","","call-function","10","2114133","0.0-10.0","n8aye2cc","","","","","","","",""
"null","","","html-keyboard-response","11","2115634","0.0-11.0","n8aye2cc","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
