"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"13708.305","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","13716","0.0-0.0","djqos8yn","","","","","","","",""
"95660","","","instructions","1","109378","0.0-1.0","djqos8yn","[{""page_index"":0,""viewing_time"":95659.84999999999}]","","","","","","",""
"7571.270000000004","{""Age"":5,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","116951","0.0-2.0","djqos8yn","","","","","","","",""
"1284.75","","","instructions","3","118236","0.0-3.0","djqos8yn","[{""page_index"":0,""viewing_time"":1284.645000000004}]","","","","","","",""
"20205.38500000001","","","instructions","4","138442","0.0-4.0","djqos8yn","[{""page_index"":0,""viewing_time"":1140.574999999997},{""page_index"":1,""viewing_time"":10517.945000000007},{""page_index"":2,""viewing_time"":8546.669999999998}]","","","","","","",""
"2988.540000000008","","","instructions","5","141431","0.0-5.0","djqos8yn","[{""page_index"":0,""viewing_time"":2988.4400000000023}]","","","","","","",""
"null","","","video-keyboard-response","6","144504","0.0-6.0","djqos8yn","","","null","","","","",""
"65103.66500000001","","","instructions","7","209608","0.0-7.0","djqos8yn","[{""page_index"":0,""viewing_time"":7546.570000000007},{""page_index"":1,""viewing_time"":6863.049999999988},{""page_index"":2,""viewing_time"":1485.0200000000186},{""page_index"":3,""viewing_time"":8339.470000000001},{""page_index"":4,""viewing_time"":7392.5199999999895},{""page_index"":5,""viewing_time"":9548.214999999997},{""page_index"":6,""viewing_time"":20112.77000000002},{""page_index"":7,""viewing_time"":3815.9249999999884}]","","","","","","",""
"59521.19","","","instructions","8","269131","0.0-8.0","djqos8yn","[{""page_index"":0,""viewing_time"":59520.544999999984}]","","","","","","",""
"2085.2449999999953","","","instructions","9","271217","0.0-9.0","djqos8yn","[{""page_index"":0,""viewing_time"":2085.1450000000186}]","","","","","","",""
"","","","call-function","10","271218","0.0-10.0","djqos8yn","","","","","","","",""
"null","","","html-keyboard-response","11","272724","0.0-11.0","djqos8yn","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
"null","","","video-keyboard-response","12","275795","0.0-12.0","djqos8yn","","","null","","<span style=""color:Black; font-size:50px;"">Casey","Casey","STIM_SET_16/1159762.bmp_pp84_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"null","","","html-keyboard-response","13","277300","0.0-13.0","djqos8yn","","<span style=""color:Black; font-size:50px;"">Video 2</span>","null","","","","",""
"null","","","video-keyboard-response","14","280378","0.0-14.0","djqos8yn","","","null","","<span style=""color:Black; font-size:50px;"">Sandy","Sandy","STIM_SET_16/1159762.bmp_pp97_L3_V1_veridical_freeview_isoFalse_fps144.mp4",""
"","","","call-function","15","280378","0.0-15.0","djqos8yn","","","","","","","",""
"5647.77999999997","","","categorize-html","16","288028","0.0-16.0","djqos8yn","","Which video showed <span style=""font-size:30px"">Sandy's</span> attention?","49","","","","","false"
"null","","","html-keyboard-response","17","288530","0.0-17.0","djqos8yn",""," ","null","","","","",""
"","","","call-function","18","288531","0.0-18.0","djqos8yn","","","","","","","",""
"null","","","html-keyboard-response","19","290037","0.0-19.0","djqos8yn","","<span style=""color:Black; font-size:50px;"">Video 1</span>","null","","","","",""
