"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","ID","view_history","stimulus","key_press","value","agent","condition","image","correct"
"103267.535","{""Experimenter"":[""Confirmed subject's identity (ID card)"",""Confirmed normal or corrected-to-normal vision"",""Obtained consent (signature and date)"",""Checked the test room lighting"",""Checked computer screen lighting"",""Checked distance from screen to chin rest (50cm)"",""Cleaned and adjusted chin rest"",""Counterbalanced the order of the tasks"",""Opened the experiment in Firefox"",""Made the experiment full screen"",""Encouraged subject to silence phone, put away distractors, etc.""]}","[0]","survey-multi-select","0","103275","0.0-0.0","8vxb6zgp","","","","","","","",""
"49551.16500000001","","","instructions","1","152828","0.0-1.0","8vxb6zgp","[{""page_index"":0,""viewing_time"":49551.005000000005}]","","","","","","",""
"6511.514999999985","{""Age"":3,""Sex"":0,""Gender"":0}","[0,1,2]","survey-likert","2","159342","0.0-2.0","8vxb6zgp","","","","","","","",""
"1674.429999999993","","","instructions","3","161017","0.0-3.0","8vxb6zgp","[{""page_index"":0,""viewing_time"":1674.2550000000047}]","","","","","","",""
"10576.424999999988","","","instructions","4","171594","0.0-4.0","8vxb6zgp","[{""page_index"":0,""viewing_time"":858.3699999999953},{""page_index"":1,""viewing_time"":4186.095000000001},{""page_index"":2,""viewing_time"":5531.834999999992}]","","","","","","",""
"2203.5599999999977","","","instructions","5","173798","0.0-5.0","8vxb6zgp","[{""page_index"":0,""viewing_time"":2203.459999999992}]","","","","","","",""
"null","","","video-keyboard-response","6","176887","0.0-6.0","8vxb6zgp","","","null","","","","",""
"38157.25","","","instructions","7","215046","0.0-7.0","8vxb6zgp","[{""page_index"":0,""viewing_time"":4740.9800000000105},{""page_index"":1,""viewing_time"":3355},{""page_index"":2,""viewing_time"":1833.6999999999825},{""page_index"":3,""viewing_time"":7000.200000000012},{""page_index"":4,""viewing_time"":5026.889999999985},{""page_index"":5,""viewing_time"":6877.235000000015},{""page_index"":6,""viewing_time"":6130.674999999988},{""page_index"":7,""viewing_time"":3191.945000000007}]","","","","","","",""
"61386.70499999999","","","instructions","8","276433","0.0-8.0","8vxb6zgp","[{""page_index"":0,""viewing_time"":61386.570000000036}]","","","","","","",""
"2319.960000000021","","","instructions","9","278754","0.0-9.0","8vxb6zgp","[{""page_index"":0,""viewing_time"":2319.8099999999977}]","","","","","","",""
